competitors_name,country,total,place,judging,finals,category,competition,location,date,url,img_url
Heather Hei Man Kam,"{'city': '', 'state': '', 'country': 'Hong Kong'}",9.0,3,9.0,0.0,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Ameera Klement,"{'city': '', 'state': '', 'country': 'Germany'}",24.0,8,24.0,0.0,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Nittaya Kongthun,"{'city': '', 'state': '', 'country': 'Thailand'}",4.0,1,4.0,0.0,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Pricila Rodrigues,"{'city': '', 'state': '', 'country': 'Brazil'}",5.0,2,5.0,0.0,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Kana Suzuki,"{'city': '', 'state': '', 'country': 'Japan'}",12.0,4,12.0,0.0,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Wendy Tsai,"{'city': '', 'state': '', 'country': 'Taiwan'}",21.0,7,21.0,0.0,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Jiaqi Wei,"{'city': '', 'state': '', 'country': 'China'}",15.0,5,15.0,0.0,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Hongmei Zhou,"{'city': '', 'state': '', 'country': 'China'}",18.0,6,18.0,0.0,Women's Bikini,2024-musclecontest-japan-pro,"Kawasaki,Japan",2024-02-11,https://www.ifbbpro.com/competition/2024-musclecontest-japan-pro/,https://ifbbpro.com/wp-content/uploads/2024/02/2024japanPRO_021124_scorecardBIK-800x624.jpg
Abdullah Al Salem,"{'city': '', 'state': '', 'country': 'Kuwait'}",12.0,4,12.0,0.0,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Carlos Asiedu Ocran,"{'city': '', 'state': '', 'country': 'China'}",3.0,1,3.0,0.0,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Ilya Kvashnin,"{'city': '', 'state': '', 'country': 'Russia'}",24.0,8,24.0,0.0,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Khrisna Purnama Putra,"{'city': '', 'state': '', 'country': 'Indonesia'}",6.0,2,6.0,0.0,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Yiming Wei,"{'city': '', 'state': '', 'country': 'China'}",9.0,3,9.0,0.0,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Ren Yi Xie,"{'city': '', 'state': '', 'country': 'China'}",18.0,6,18.0,0.0,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Han Yang,"{'city': '', 'state': '', 'country': 'China'}",21.0,7,21.0,0.0,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Xingwang Yang,"{'city': '', 'state': '', 'country': 'China'}",15.0,5,15.0,0.0,Men's Physique,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Xinyi Chen,"{'city': '', 'state': '', 'country': 'China'}",9.0,3,9.0,0.0,Women's Bikini,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Heather Hei Man Kam,"{'city': '', 'state': '', 'country': 'Hong Kong'}",6.0,2,6.0,0.0,Women's Bikini,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Jiaqi Wei,"{'city': '', 'state': '', 'country': 'China'}",3.0,1,3.0,0.0,Women's Bikini,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Hongmei Zhou,"{'city': '', 'state': '', 'country': 'China'}",12.0,4,12.0,0.0,Women's Bikini,2024-china-pro,"Shanghai,China",2024-03-01,https://www.ifbbpro.com/competition/2024-china-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024chinaPRO_030124_scorecard-800x830.jpg
Amanda Marques Pereira,"{'city': '', 'state': '', 'country': 'Brazil'}",50.0,10,50.0,0.0,Women's Bikini,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
Eli Fernandez,"{'city': '', 'state': '', 'country': 'Mexico'}",29.0,6,29.0,0.0,Women's Bikini,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
Tamekia Carter,"{'city': '', 'state': '', 'country': 'United States'}",55.0,11,55.0,0.0,Women's Bikini,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
Vania Auguste,"{'city': '', 'state': '', 'country': 'United States'}",15.0,3,15.0,0.0,Women's Bikini,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
Ottavia Mazza,"{'city': '', 'state': '', 'country': 'Italy'}",40.0,8,40.0,0.0,Women's Bikini,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
Aimee Delgado,"{'city': '', 'state': '', 'country': 'United States'}",8.0,2,8.0,0.0,Women's Bikini,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
Phoebe Hagan,"{'city': '', 'state': '', 'country': 'United Kingdom'}",26.0,5,26.0,0.0,Women's Bikini,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
Rhoda Allie,"{'city': '', 'state': '', 'country': 'Canada'}",35.0,7,35.0,0.0,Women's Bikini,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
Ivanna Escandar,"{'city': '', 'state': '', 'country': 'Spain'}",45.0,9,45.0,0.0,Women's Bikini,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
Angelica Teixeira,"{'city': '', 'state': '', 'country': 'United States'}",20.0,4,20.0,0.0,Women's Bikini,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
Lauralie Chapados,"{'city': '', 'state': '', 'country': 'United States'}",7.0,1,7.0,0.0,Women's Bikini,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard2-800x772.jpg
Akim Williams,"{'city': '', 'state': '', 'country': 'United States'}",55.0,6,35.0,20.0,Men's Bodybuilding,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
Antoine Vaillant,"{'city': '', 'state': '', 'country': 'Canada'}",65.0,7,30.0,35.0,Men's Bodybuilding,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
Justin Rodriguez,"{'city': '', 'state': '', 'country': 'United States'}",80.0,8,40.0,40.0,Men's Bodybuilding,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
Rafael Brandao,"{'city': '', 'state': '', 'country': 'Brazil'}",30.0,3,15.0,15.0,Men's Bodybuilding,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
Jonathan Delarosa,"{'city': '', 'state': '', 'country': 'United States'}",48.0,4,23.0,25.0,Men's Bodybuilding,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
Samson Dauda,"{'city': '', 'state': '', 'country': 'United Kingdom'}",20.0,2,10.0,10.0,Men's Bodybuilding,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
Hadi Choopan,"{'city': '', 'state': '', 'country': 'Iran'}",10.0,1,5.0,5.0,Men's Bodybuilding,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
James Hollingshead,"{'city': '', 'state': '', 'country': 'United Kingdom'}",53.0,5,23.0,30.0,Men's Bodybuilding,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
Horse Marcello De Angelis,"{'city': '', 'state': '', 'country': 'Brazil'}",90.0,9,45.0,45.0,Men's Bodybuilding,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
Mohamed Shaaban Elimbabi,"{'city': '', 'state': '', 'country': 'United States'}",100.0,10,50.0,50.0,Men's Bodybuilding,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
Kyron Holden,"{'city': '', 'state': '', 'country': 'United States'}",19.0,4,19.0,0.0,Men's Physique,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
Corey Morris,"{'city': '', 'state': '', 'country': 'United States'}",25.0,5,25.0,0.0,Men's Physique,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
Diogo Montenegro,"{'city': '', 'state': '', 'country': 'Brazil'}",5.0,1,5.0,0.0,Men's Physique,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
Andres Ramos,"{'city': '', 'state': '', 'country': 'United States'}",50.0,10,50.0,0.0,Men's Physique,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
Vitor Chaves,"{'city': '', 'state': '', 'country': 'Brazil'}",16.0,3,16.0,0.0,Men's Physique,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
Vinicius Mateus Vieira Lima,"{'city': '', 'state': '', 'country': 'Brazil'}",10.0,2,10.0,0.0,Men's Physique,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
Emmanuel Costa,"{'city': '', 'state': '', 'country': 'Brazil'}",44.0,9,44.0,0.0,Men's Physique,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
Emanual Hunter,"{'city': '', 'state': '', 'country': 'United States'}",30.0,6,30.0,0.0,Men's Physique,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
Jonas Jamena,"{'city': '', 'state': '', 'country': 'United States'}",42.0,8,42.0,0.0,Men's Physique,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
Mahmood Al-Maghrabi,"{'city': '', 'state': '', 'country': 'Bahrain'}",55.0,11,55.0,0.0,Men's Physique,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
Ismael Martinez Dominguez,"{'city': '', 'state': '', 'country': 'Mexico'}",35.0,7,35.0,0.0,Men's Physique,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day2scorecard1-800x1059.jpg
Amanda Burnett,"{'city': '', 'state': '', 'country': 'United States'}",40.0,8,40.0,0.0,Women's Wellness,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard2-800x470.jpg
Isabelle Pereira Nunes,"{'city': '', 'state': '', 'country': 'United States'}",10.0,2,10.0,0.0,Women's Wellness,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard2-800x470.jpg
Sandra Colorado Acal,"{'city': '', 'state': '', 'country': 'Spain'}",17.0,3,17.0,0.0,Women's Wellness,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard2-800x470.jpg
Lili Dong,"{'city': '', 'state': '', 'country': 'United States'}",25.0,5,25.0,0.0,Women's Wellness,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard2-800x470.jpg
Andrea Hrenko,"{'city': '', 'state': '', 'country': 'United States'}",55.0,11,55.0,0.0,Women's Wellness,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard2-800x470.jpg
Courtney Starr,"{'city': '', 'state': '', 'country': 'United States'}",45.0,9,45.0,0.0,Women's Wellness,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard2-800x470.jpg
Hye Yoon Kim,"{'city': '', 'state': '', 'country': 'South Korea'}",35.0,7,35.0,0.0,Women's Wellness,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard2-800x470.jpg
Anne-Marie Gobeil,"{'city': '', 'state': '', 'country': 'Canada'}",30.0,6,30.0,0.0,Women's Wellness,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard2-800x470.jpg
Johanna Calcano,"{'city': '', 'state': '', 'country': 'United States'}",50.0,10,50.0,0.0,Women's Wellness,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard2-800x470.jpg
Francielle Mattos,"{'city': '', 'state': '', 'country': 'Brazil'}",5.0,1,5.0,0.0,Women's Wellness,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard2-800x470.jpg
Bruna Seredich,"{'city': '', 'state': '', 'country': 'United States'}",18.0,4,18.0,0.0,Women's Wellness,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard2-800x470.jpg
Urs Kalecinski,"{'city': '', 'state': '', 'country': 'Germany'}",16.0,3,16.0,0.0,Men's Classic Physique,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard1-1-800x1087.jpg
Damien Patrick,"{'city': '', 'state': '', 'country': 'United States'}",30.0,6,30.0,0.0,Men's Classic Physique,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard1-1-800x1087.jpg
Wesley Vissers,"{'city': '', 'state': '', 'country': 'Netherlands'}",7.0,1,7.0,0.0,Men's Classic Physique,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard1-1-800x1087.jpg
Ramon Rocha Queiroz,"{'city': '', 'state': '', 'country': 'Brazil'}",8.0,2,8.0,0.0,Men's Classic Physique,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard1-1-800x1087.jpg
Michael Daboul,"{'city': '', 'state': '', 'country': 'United Kingdom'}",25.0,5,25.0,0.0,Men's Classic Physique,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard1-1-800x1087.jpg
Kendahl Richmond,"{'city': '', 'state': '', 'country': 'United States'}",49.0,10,49.0,0.0,Men's Classic Physique,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard1-1-800x1087.jpg
Emanuele Ricotti,"{'city': '', 'state': '', 'country': 'Italy'}",35.0,7,35.0,0.0,Men's Classic Physique,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard1-1-800x1087.jpg
Eric Brown Jr,"{'city': '', 'state': '', 'country': 'United States'}",46.0,9,46.0,0.0,Men's Classic Physique,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard1-1-800x1087.jpg
Darren Farrell,"{'city': '', 'state': '', 'country': 'United Arab Emirates'}",40.0,8,40.0,0.0,Men's Classic Physique,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard1-1-800x1087.jpg
Breon Ansley,"{'city': '', 'state': '', 'country': 'United States'}",19.0,4,19.0,0.0,Men's Classic Physique,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard1-1-800x1087.jpg
Tamara Vahn,"{'city': '', 'state': '', 'country': 'Canada'}",92.0,6,10.0,82.0,Women's Fitness,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard1-1-800x1087.jpg
Ariel Khadr,"{'city': '', 'state': '', 'country': 'United States'}",32.0,1,20.0,12.0,Women's Fitness,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard1-1-800x1087.jpg
Aurika Tyrgale,"{'city': '', 'state': '', 'country': 'Russia'}",86.0,5,30.0,56.0,Women's Fitness,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard1-1-800x1087.jpg
Abby Bolton,"{'city': '', 'state': '', 'country': 'Canada'}",147.0,10,55.0,92.0,Women's Fitness,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard1-1-800x1087.jpg
Jodi Boam,"{'city': '', 'state': '', 'country': 'Canada'}",47.0,3,5.0,42.0,Women's Fitness,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard1-1-800x1087.jpg
Jaclyn Baker,"{'city': '', 'state': '', 'country': 'United States'}",43.0,2,25.0,18.0,Women's Fitness,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard1-1-800x1087.jpg
Nikolett Szabo,"{'city': '', 'state': '', 'country': 'Hungary'}",168.0,12,60.0,108.0,Women's Fitness,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard1-1-800x1087.jpg
Anna Fomina,"{'city': '', 'state': '', 'country': 'United States'}",118.0,8,38.0,80.0,Women's Fitness,2024-arnold-classic,"Columbus,OHUnited States",2024-03-01,https://www.ifbbpro.com/competition/2024-arnold-classic/,https://www.ifbbpro.com/wp-content/uploads/2024/01/2024arnoldusaPRO_030124_Day1scorecard1-1-800x1087.jpg
