,start_date,end_date,url,location,comp_type,divisions,division_type,promoter,promoter_website
33,April 12,,https://www.ifbbpro.com/competition/2025-fibo-pro-championships/,"Cologne, Germany",IFBB Pro,Women's Figure,Open,Jens Thieme & Michael Kohler,
34,April 19,,https://www.ifbbpro.com/competition/2025-st-louis-pro/,"St. Louis, MO, United States",IFBB Pro,Men's Physique,Open,Jack Titone,http://www.npcmidwest.com
35,April 19,,https://www.ifbbpro.com/competition/2025-st-louis-pro/,"St. Louis, MO, United States",IFBB Pro,Women's Wellness,Open,Jack Titone,http://www.npcmidwest.com
36,April 19,,https://www.ifbbpro.com/competition/2025-vancouver-island-showdown-pro/,"Victoria, British ColombiaCanada",IFBB Pro,Women's Bodybuilding,Open,Corey Swiergosz,http://www.influentialSports.com
37,April 19,,https://www.ifbbpro.com/competition/2025-vancouver-island-showdown-pro/,"Victoria, British ColombiaCanada",IFBB Pro,Women's Physique,Open,Corey Swiergosz,http://www.influentialSports.com
38,April 19,,https://www.ifbbpro.com/competition/2025-vancouver-island-showdown-pro/,"Victoria, British ColombiaCanada",IFBB Pro,Women's Wellness,Open,Corey Swiergosz,http://www.influentialSports.com
39,April 19,,https://www.ifbbpro.com/competition/2025-1-bro-bikini-pro-show/,"Maidenhead, , United Kingdom",IFBB Pro,Women's Bikini,Open,2 Bros Pros,https://www.2bpevents.com/
40,April 20,,https://www.ifbbpro.com/competition/2025-huanji-china-pro/,"Shanghai, China",IFBB Pro,Men's Physique,Open,George Zhang,https://www.instagram.com/ifbb_huanji_china_pro/
41,April 20,,https://www.ifbbpro.com/competition/2025-huanji-china-pro/,"Shanghai, China",IFBB Pro,Women's Bikini,Open,George Zhang,https://www.instagram.com/ifbb_huanji_china_pro/
42,April 26,,https://www.ifbbpro.com/competition/2025-wasatch-warrior/,"Salt Lake City, UT, United States",IFBB Pro,Men's Physique,Open and Masters,Robyn Maher,https://thewasatchwarrior.com/
43,April 26,,https://www.ifbbpro.com/competition/2025-wasatch-warrior/,"Salt Lake City, UT, United States",IFBB Pro,Women's Bikini,Open and Masters,Robyn Maher,https://thewasatchwarrior.com/
44,April 26,,https://www.ifbbpro.com/competition/2025-los-angles-grand-prix/,"Anaheim, California",IFBB Pro,Men's Physique,Open,Tamer El Guindy (USA),https://musclecontest.com/
45,April 26,,https://www.ifbbpro.com/competition/2025-grl-pwr-championships/,"Orlando, Florida",IFBB Pro,Women's Bikini,Open and Masters,Shannon Dey,
46,April 26,,https://www.ifbbpro.com/competition/2025-grl-pwr-championships/,"Orlando, Florida",IFBB Pro,Women's Wellness,Open and Masters,Shannon Dey,
47,April 26,,https://www.ifbbpro.com/competition/2025-world-of-monsterzym-korea-pro/,"Seoul, Korea,  Republic of",IFBB Pro,Women's Bikini,Open,Sungyeob Steve Kim,https://event.monsterzym.com/
48,May 2,,https://www.ifbbpro.com/competition/2025-emerald-cup-masters/,"Bellevue, WA, United States",IFBB Pro,Men's Bodybuilding,Masters,Ivan Ribic,http://www.ribicproductions.com
49,May 2,,https://www.ifbbpro.com/competition/2025-emerald-cup-masters/,"Bellevue, WA, United States",IFBB Pro,Men's Classic Physique,Masters,Ivan Ribic,http://www.ribicproductions.com
50,May 2,,https://www.ifbbpro.com/competition/2025-emerald-cup-masters/,"Bellevue, WA, United States",IFBB Pro,Men's Physique,Masters,Ivan Ribic,http://www.ribicproductions.com
51,May 2,,https://www.ifbbpro.com/competition/2025-emerald-cup-masters/,"Bellevue, WA, United States",IFBB Pro,Women's Bikini,Masters,Ivan Ribic,http://www.ribicproductions.com
52,May 2,,https://www.ifbbpro.com/competition/2025-emerald-cup-masters/,"Bellevue, WA, United States",IFBB Pro,Women's Figure,Masters,Ivan Ribic,http://www.ribicproductions.com
53,May 2,,https://www.ifbbpro.com/competition/2025-emerald-cup-masters/,"Bellevue, WA, United States",IFBB Pro,Women's Physique,Masters,Ivan Ribic,http://www.ribicproductions.com
54,May 2,,https://www.ifbbpro.com/competition/2025-emerald-cup-masters/,"Bellevue, WA, United States",IFBB Pro,Women's Wellness,Masters,Ivan Ribic,http://www.ribicproductions.com
55,May 3,,https://www.ifbbpro.com/competition/2025-musclecontest-sao-paulo/,"Sao Paulo, Brazil",IFBB Pro,Men's Physique,Open,Tamer El Guindy (International),http://www.musclecontestinternational.com
56,May 3,,https://www.ifbbpro.com/competition/2025-emerald-cup-natural-pro/,"Bellevue, WA, United States",IFBB Pro,Men's Physique,Natural,Ivan Ribic,http://www.ribicproductions.com
57,May 3,,https://www.ifbbpro.com/competition/2025-emerald-cup-natural-pro/,"Bellevue, WA, United States",IFBB Pro,Women's Fitness,Natural,Ivan Ribic,http://www.ribicproductions.com
