,start_date,end_date,url,location,comp_type,divisions,division_type,promoter,promoter_website
33,May 10,,https://www.ifbbpro.com/competition/2025-kokeny-classic-hungary-pro/,"Budapest, Hungary",IFBB Pro,"[""Men's 212 Bodybuilding"",""Men's Classic Physique"",""Women's Bikini""]",Open,Ildiko Buranits,https://www.ifbbproleaguehungary.hu/
34,May 11,,https://www.ifbbpro.com/competition/2025-dms-china-pro-3/,"Jiangyin, China",IFBB Pro,"[""Men's Classic Physique"",""Men's Physique""]",Open,DMS China,https://www.dms-sports.com/en/
35,May 17,,https://www.ifbbpro.com/competition/2025-new-york-pro/,"Teaneck, NJ, United States",IFBB Pro,"[""Men's 212 Bodybuilding"",""Men's Bodybuilding"",""Men's Classic Physique"",""Men's Physique"",""Women's Bikini"",""Women's Bodybuilding"",""Women's Figure"",""Women's Physique"",""Women's Wellness""]",Open,Steve Weinberger,https://www.bevfrancis.com/npcnortheast/
36,May 17,,https://www.ifbbpro.com/competition/2025-musclecontest-bullman-pro/,"Dublin, Ireland",IFBB Pro,"[""Men's Classic Physique""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com
37,May 17,May 18,https://www.ifbbpro.com/competition/2025-world-of-monsterzym-korea-pro-2/,"Seoul, Korea,  Republic of",IFBB Pro,"[""Men's Classic Physique""]",Open,Sungyeob Steve Kim,https://event.monsterzym.com/
38,May 24,,https://www.ifbbpro.com/competition/2025-kansas-city-natural-championships/,"Kansas City, MO, United States",IFBB Pro,"[""Women's Bikini""]",Natural,Jack Titone,http://www.npcmidwest.com
39,May 24,,https://www.ifbbpro.com/competition/2025-miami-pro/,"Miami, FL, United States",IFBB Pro,"[""Men's Physique"",""Women's Bikini"",""Women's Wellness""]",Open and Masters,Geobanny Paula,https://miamifitexpo.com/
40,May 24,,https://www.ifbbpro.com/competition/2025-optimum-classic-championships/,"Shreveport, LA, United States",IFBB Pro,"[""Men's Classic Physique"",""Men's Physique"",""Women's Bikini"",""Women's Figure"",""Women's Physique"",""Women's Wellness""]",Open,Robert Blount,https://www.optimumclassic.com/
41,May 24,,https://www.ifbbpro.com/competition/2025-california-state-championships/,"Anaheim, California",IFBB Pro,"[""Men's Bodybuilding""]",Open,Tamer El Guindy (USA),https://musclecontest.com/
42,May 24,,https://www.ifbbpro.com/competition/2025-agp-natural-pro-show/,"Gyeonggi State, Korea,  Republic of",IFBB Pro,"[""Men's Bodybuilding"",""Men's Classic Physique"",""Men's Physique"",""Women's Bikini""]",Natural,Alex Hong,https://ifbbprokorea.com/
43,May 25,,https://www.ifbbpro.com/competition/2025-agp-pro-show/,"Gyeonggi State, Korea,  Republic of",IFBB Pro,"[""Men's Classic Physique"",""Men's Physique"",""Women's Bikini""]",,Alex Hong,https://ifbbprokorea.com/
44,May 25,,https://www.ifbbpro.com/competition/2025-everest-muscle-games-poland-pro/,"Warsaw, Poland",IFBB Pro,"[""Men's Classic Physique"",""Men's Physique"",""Women's Bikini"",""Women's Wellness""]",Open,Robert Piotrkowicz,https://ifbbpro.com.pl/
45,May 31,,https://www.ifbbpro.com/competition/2025-legion-sports-fest/,"Reno, Nevada",IFBB Pro,"[""Men's Bodybuilding"",""Men's Classic Physique"",""Men's Physique"",""Women's Bikini"",""Women's Fitness"",""Women's Wellness""]",Open,Chris Minnes,https://centerpodium.com/
46,May 31,,https://www.ifbbpro.com/competition/2025-battle-of-the-titans-natural-pro/,"Nashville, Tennessee",IFBB Pro,"[""Women's Bikini"",""Women's Wellness""]",Natural and Masters,Whitney Wiser,https://wiserfit.mykajabi.com/npc-natural-titans
47,June 7,,https://www.ifbbpro.com/competition/2025-southern-california-championships/,"San Diego, California",IFBB Pro,"[""Women's Wellness""]",Open,Tamer El Guindy (USA),https://musclecontest.com/
48,June 7,,https://www.ifbbpro.com/competition/2025-oklahoma-classic-pro-am/,"Tulsa, OK, United States",IFBB Pro,"[""Men's Classic Physique""]",Open and Masters,Eileen Calabrese,https://npcoklahoma.com/
49,June 7,,https://www.ifbbpro.com/competition/2025-adela-garcia-classic-pro-am/,"Austin, TX, United States",IFBB Pro,"[""Women's Fitness""]",Open and Masters,Adela Garcia,https://npcadelagarcia.com/
50,June 7,,https://www.ifbbpro.com/competition/2025-dc-pro-am/,"Manassas, VA, United States",IFBB Pro,"[""Men's Physique"",""Women's Bikini""]",Open,Gary Udit,https://www.garyudit.com/
51,June 7,,https://www.ifbbpro.com/competition/2025-mile-high-pro/,"Denver, CO, United States",IFBB Pro,"[""Men's Physique"",""Women's Bikini""]",Open and Masters,Jeff Taylor,https://musclequest.com/
52,June 7,,https://www.ifbbpro.com/competition/2025-omaha-pro/,"Omaha, NE, United States",IFBB Pro,"[""Women's Physique""]",Open,Jack Titone,http://www.npcmidwest.com
53,June 8,,https://www.ifbbpro.com/competition/2025-toronto-pro-supershow/,"Toronto, OntarioCanada",IFBB Pro,"[""Men's 212 Bodybuilding"",""Men's Bodybuilding"",""Men's Classic Physique"",""Men's Physique"",""Men's Wheelchair"",""Women's Bikini"",""Women's Bodybuilding"",""Women's Figure"",""Women's Physique"",""Women's Wellness""]",Open and Masters,Ron Hache,
54,June 8,,https://www.ifbbpro.com/competition/2025-dc-natural-pro/,"Manassas, VA, United States",IFBB Pro,"[""Men's Physique"",""Women's Bikini""]",Natural,Gary Udit,https://www.garyudit.com/
55,June 8,,https://www.ifbbpro.com/competition/2025-spanish-master-pro/,"Madrid, Spain",IFBB Pro,"[""Women's Bikini"",""Women's Figure"",""Women's Physique"",""Women's Wellness""]",Masters,Gabriel Opare,https://npcworldwidespain.es/
56,June 14,,https://www.ifbbpro.com/competition/2025-nevada-state-championships/,"Las Vegas, NV, United States",IFBB Pro,"[""Women's Bikini""]",Open,Tamer El Guindy (USA),https://musclecontest.com/
57,June 14,,https://www.ifbbpro.com/competition/2025-clash-of-the-titanz-natural-pro/,"Douglasville, GA, United States",IFBB Pro,"[""Men's Classic Physique"",""Women's Figure""]",Natural,Daniel Stuckart,https://www.npctitanzclashproam.com/
58,June 15,,https://www.ifbbpro.com/competition/2025-dms-china-pro-2/,"Ningjin, China",IFBB Pro,"[""Men's Classic Physique"",""Men's Physique""]",Open,DMS China,https://www.dms-sports.com/en/
59,June 15,,https://www.ifbbpro.com/competition/2025-empro-classic-spain-pro/,"Alicante, Spain",IFBB Pro,"[""Men's Classic Physique"",""Men's Physique"",""Men's Wheelchair"",""Women's Bikini"",""Women's Bodybuilding"",""Women's Figure"",""Women's Physique"",""Women's Wellness""]",Open,Emilio Martinez (Empro),https://emproclassic.com/
60,June 20,,https://www.ifbbpro.com/competition/20205-world-classic/,"Chattanooga, Tennessee",IFBB Pro,"[""Men's Physique""]",Open,Sandy Williamson | Robin Chang | Doug Green,https://npcjrnats.com/
61,June 20,June 22,https://www.ifbbpro.com/competition/2025-dubai-pro/,"Dubai, , United Arab Emirates",IFBB Pro,"[""Men's 212 Bodybuilding"",""Men's Bodybuilding"",""Men's Classic Physique"",""Men's Physique""]",Open,Mo Barakat & Adel Al Ali,
62,June 21,,https://www.ifbbpro.com/competition/2025-world-classic-2/,"Chattanooga, Tennessee",IFBB Pro,"[""Women's Bikini""]",Open,Sandy Williamson | Robin Chang | Doug Green,https://npcjrnats.com/
63,June 21,,https://www.ifbbpro.com/competition/2025-tanji-johnson-classic/,"Tacoma, WA, United States",IFBB Pro,"[""Women's Wellness""]",Open and Masters,Tanji Johnson,https://tjclassic.com/
64,June 21,,https://www.ifbbpro.com/competition/2025-south-florida-pro/,"Boca Raton, FL, United States",IFBB Pro,"[""Men's 212 Bodybuilding""]",Open and Masters,John Hnatyschak,https://chzldclassic.com/
65,June 21,,https://www.ifbbpro.com/competition/2025-body-be-1-classic-pro-am/,"Montgomery, AL, United States",IFBB Pro,"[""Men's Classic Physique"",""Men's Physique"",""Women's Figure"",""Women's Fitness""]",Open and Masters,Roland Huff (BodyBe1),https://www.bodybe1classic.com/
66,June 21,,https://www.ifbbpro.com/competition/2025-world-of-monsterzym-korea-pro-3/,"Seoul, Korea,  Republic of",IFBB Pro,"[""Men's Physique""]",Open,Sungyeob Steve Kim,https://event.monsterzym.com/
67,June 22,,https://www.ifbbpro.com/competition/2025-huanji-china-pro-2/,"Beijing, China",IFBB Pro,"[""Men's Bodybuilding"",""Men's Classic Physique"",""Men's Physique"",""Women's Figure""]",Open,George Zhang,https://www.instagram.com/ifbb_huanji_china_pro/
68,June 28,,https://www.ifbbpro.com/competition/2025-st-pete-pro/,"St. Petersburg, Florida",IFBB Pro,"[""Men's Physique""]",Open and Masters,David Herskovitz,https://www.herskiepro.com/
69,June 28,,https://www.ifbbpro.com/competition/2025-indy-supershow/,"Carmel, IN, United States",IFBB Pro,"[""Men's Classic Physique"",""Women's Bikini""]",Open and Masters,Gary Udit,https://www.garyudit.com/
70,June 28,,https://www.ifbbpro.com/competition/2025-oregon-natural-pro/,"Salem, OR, United States",IFBB Pro,"[""Men's Classic Physique"",""Women's Figure""]",Natural,Dominic Current,https://www.npcoregonchampionships.com/
71,June 29,,https://www.ifbbpro.com/competition/2025-flex-weekend-italy-pro/,"Milan, Italy",IFBB Pro,"[""Men's Bodybuilding"",""Men's Classic Physique"",""Men's Physique""]",Open and Masters,Barbara Bagnuolo,https://ifbbproitaly.info/
72,July 6,,https://www.ifbbpro.com/competition/2025-mr-big-evolution-portugal-pro/,"Estoril, Portugal",IFBB Pro,"[""Men's 212 Bodybuilding"",""Men's Bodybuilding"",""Men's Classic Physique"",""Men's Physique"",""Women's Bikini"",""Women's Bodybuilding"",""Women's Figure"",""Women's Physique"",""Women's Wellness""]",Open,Mr. Big Evolution,https://www.ifbbpro-portugal.pt/
73,July 12,,https://www.ifbbpro.com/competition/2025-republic-of-texas-pro/,"Austin, TX, United States",IFBB Pro,"[""Men's Physique"",""Women's Bikini"",""Women's Wellness""]",Open and Masters,Helio Chapuseaux & Bernadette Galvan,https://galvanizedproductions.com/
74,August 3,,https://www.ifbbpro.com/competition/2025-natural-canada-pro-show/,"Toronto, OntarioCanada",IFBB Pro,"[""Men's Bodybuilding"",""Men's Classic Physique"",""Men's Physique"",""Women's Bikini"",""Women's Figure"",""Women's Fitness"",""Women's Physique"",""Women's Wellness""]",Natural,Rudy Jambrosic,http://rudyproductions.ca/
75,August 9,,https://www.ifbbpro.com/competition/2025-pennsylvania-muscle-pro/,"Lancaster, PA, United States",IFBB Pro,"[""Men's Classic Physique""]",Open,Gary Udit,https://www.garyudit.com/
76,August 9,,https://www.ifbbpro.com/competition/2025-midwest-naturals-pro/,"St. Charles, MO, United States",IFBB Pro,"[""Men's Bodybuilding"",""Men's Physique"",""Women's Bikini"",""Women's Wellness""]",Natural,Jack Titone,http://www.npcmidwest.com
77,August 9,,https://www.ifbbpro.com/competition/2025-tahoe-show/,"Stateline, Nevada",IFBB Pro,"[""Women's Bikini""]",Open,Chris Minnes,https://centerpodium.com/
78,August 9,August 10,https://www.ifbbpro.com/competition/2025-masters-olympia-japan/,"Tokyo, Japan",IFBB Pro,"[""Men's 212 Bodybuilding"",""Men's Bodybuilding"",""Men's Classic Physique"",""Men's Physique"",""Women's Bikini"",""Women's Bodybuilding"",""Women's Figure"",""Women's Fitness"",""Women's Physique"",""Women's Wellness""]",Masters,Takayuki Shoji (PRO),https://www.ifbbpro-japan.com/
79,August 11,,https://www.ifbbpro.com/competition/2025-tokyo-pro-supershow/,"Tokyo, Japan",IFBB Pro,"[""Men's Classic Physique"",""Men's Physique"",""Women's Bikini""]",Open,Takayuki Shoji (PRO),https://www.ifbbpro-japan.com/
80,August 16,,https://www.ifbbpro.com/competition/2025-maxfit-classic-masters-pro/,"Fort Walton Beach, Florida",IFBB Pro,"[""Men's Bodybuilding"",""Men's Classic Physique"",""Men's Physique"",""Women's Bikini"",""Women's Figure"",""Women's Physique"",""Women's Wellness""]",Masters,Russ Mesey & Clay Parker,https://eliteathleticspromotions.com/
81,August 23,,https://www.ifbbpro.com/competition/2025-maryland-night-of-champions-pro/,"Baltimore, Maryland",IFBB Pro,"[""Men's Classic Physique"",""Men's Physique"",""Women's Bikini"",""Women's Figure""]",Masters,Gary Udit,https://www.garyudit.com/
82,August 24,,https://www.ifbbpro.com/competition/2025-austrian-oak-pro/,"St. Polten, Austria",IFBB Pro,"[""Men's Classic Physique"",""Women's Wellness""]",Open,Harald Schober,https://www.npcaustria.at/
83,August 31,,https://www.ifbbpro.com/competition/2025-pro-masters-world-championships/,"Pittsburgh, Pennsylvania",IFBB Pro,"[""Men's 212 Bodybuilding"",""Men's Bodybuilding"",""Men's Classic Physique"",""Men's Physique"",""Women's Bikini"",""Women's Bodybuilding"",""Women's Figure"",""Women's Fitness"",""Women's Physique"",""Women's Wellness""]",Masters,Gary Udit,https://www.garyudit.com/
84,August 31,,https://www.ifbbpro.com/competition/2025-dms-china-pro-4/,"Tianjin, China",IFBB Pro,"[""Men's Physique"",""Women's Bikini""]",Open,DMS China,https://www.dms-sports.com/en/
85,September 5,September 6,https://www.ifbbpro.com/competition/2025-florida-pro/,"Sarasota, FL, United States",IFBB Pro,"[""Men's Classic Physique"",""Men's Physique"",""Women's Bikini"",""Women's Figure""]",Open and Masters,Stacy Taylor,https://ifbbproleaguefloridapro.com/
86,September 7,,https://www.ifbbpro.com/competition/2025-promuscle-italy-pro/,,IFBB Pro,"[""Men's Bodybuilding"",""Women's Bikini"",""Women's Wellness""]",Open,Barbara Bagnuolo,https://ifbbproitaly.info/
87,September 13,,https://www.ifbbpro.com/competition/2025-janet-layugs-battle-of-the-bodies-pro/,"Fort Lauderdale, Florida",IFBB Pro,"[""Women's Bikini""]",,Janet Layug,https://www.janetsbattleofthebodies.com/
88,September 13,,https://www.ifbbpro.com/competition/2025-oklahoma-showdown-of-champions-pro/,"Tulsa, OK, United States",IFBB Pro,"[""Women's Fitness""]",Open and Masters,Eileen Calabrese,https://npcoklahoma.com/
89,September 20,,https://www.ifbbpro.com/competition/2025-muscletown-natural-pro/,"York, PA, United States",IFBB Pro,"[""Men's Bodybuilding"",""Women's Figure""]",Natural,Gary Udit,https://www.garyudit.com/
90,September 20,,https://www.ifbbpro.com/competition/2025-sasquatch-pro/,"Federal Way, Washington",IFBB Pro,"[""Men's Physique"",""Women's Bikini"",""Women's Figure""]",Open and Masters,Michele Mayberry & Christopher Algeo,https://sasquatchproam.com/
91,September 21,,https://www.ifbbpro.com/competition/2025-huanji-china-pro-3/,"Xi'an, China",IFBB Pro,"[""Men's 212 Bodybuilding"",""Men's Classic Physique"",""Men's Physique"",""Women's Bikini""]",Open,George Zhang,https://www.instagram.com/ifbb_huanji_china_pro/
92,September 27,,https://www.ifbbpro.com/competition/2025-daytona-pro-am-championships/,"Daytona Beach, Florida",IFBB Pro,"[""Men's Physique"",""Women's Bikini""]",Open and Masters,Michael Matassa,http://www.npcdbc.com/
93,September 27,,https://www.ifbbpro.com/competition/2025-tsunami-nutrition-showdown-france-pro/,"Lille, France",IFBB Pro,"[""Men's Bodybuilding"",""Men's Classic Physique"",""Women's Bikini""]",Open,APDF France,https://www.apdffrance.com/
94,October 4,,https://www.ifbbpro.com/competition/2025-southern-muscle-showdown-pro/,"Dalton, GA, United States",IFBB Pro,"[""Men's Classic Physique"",""Women's Bikini""]",Open and Masters,Steve Payne,https://southernmuscleshowdown.com/
95,October 5,,https://www.ifbbpro.com/competition/2025-koloseum-italy-pro/,"Milan, Italy",IFBB Pro,"[""Men's Classic Physique"",""Men's Physique"",""Women's Bikini""]",Open,Barbara Bagnuolo,https://ifbbproitaly.info/
96,October 11,,https://www.ifbbpro.com/competition/2025-agp-natural-pro-show-2/,"Gyeonggi State, Korea,  Republic of",IFBB Pro,"[""Men's Bodybuilding"",""Men's Classic Physique"",""Men's Physique"",""Women's Bikini""]",Natural,Alex Hong,https://ifbbprokorea.com/
97,October 12,,https://www.ifbbpro.com/competition/2025-agp-pro-show-2/,"Gyeonggi State, Korea,  Republic of",IFBB Pro,"[""Men's 212 Bodybuilding"",""Men's Classic Physique"",""Men's Physique"",""Women's Bikini"",""Women's Figure"",""Women's Wellness""]",Open,Alex Hong,https://ifbbprokorea.com/
98,October 19,,https://www.ifbbpro.com/competition/2025-dms-china-natural-pro/,"Beijing, China",IFBB Pro,"[""Men's Physique"",""Women's Bikini""]",Natural,DMS China,https://www.dms-sports.com/en/
99,October 25,,https://www.ifbbpro.com/competition/2025-extrene-natural-muscle-pro/,"New Westminister, British ColumbiaCanada",IFBB Pro,"[""Men's Physique"",""Women's Bikini""]",Natural,Dean & Leigh Brandt,https://www.xtremepromotions.org/
100,October 26,,https://www.ifbbpro.com/competition/2025-evls-prague-pro/,"Prague, Czech Republic",IFBB Pro,"[""Men's 212 Bodybuilding"",""Men's Bodybuilding"",""Men's Classic Physique"",""Men's Physique"",""Women's Bikini"",""Women's Figure"",""Women's Wellness""]",Open,Adam Kindl,https://evls.cz/
101,November 1,,https://www.ifbbpro.com/competition/2025-invictus-pro/,"Almaty, Kazakhstan",IFBB Pro,"[""Men's Classic Physique"",""Women's Bikini"",""Women's Wellness""]",Open,Chris Minnes,https://centerpodium.com/
102,November 1,,https://www.ifbbpro.com/competition/2025-all-south-pro-championships/,"Orlando, Florida",IFBB Pro,"[""Women's Wellness""]",Open and Masters,Shannon Dey (All South),https://npcallsouth.com/
103,November 1,November 2,https://www.ifbbpro.com/competition/2025-everest-muscle-stars-poland-pro/,"Warsaw, Poland",IFBB Pro,"[""Men's Bodybuilding""]",Open,Robert Piotrkowicz,https://ifbbpro.com.pl/
104,November 14,November 15,https://www.ifbbpro.com/competition/2025-ben-weider-naturals-pro/,"Alexandria, VA, United States",IFBB Pro,"[""Men's Bodybuilding"",""Men's Classic Physique"",""Men's Physique"",""Women's Bikini"",""Women's Figure"",""Women's Fitness"",""Women's Physique"",""Women's Wellness""]",Natural,Gary Udit & Ron Hache,https://garyudit.com/new/contest/ifbb-pro-league-npc-worldwide-ben-weider-naturals-pro-am/
105,November 15,,https://www.ifbbpro.com/competition/2025-oklahoma-grand-prix-pro/,"Oklahoma City, OK, United States",IFBB Pro,"[""Women's Wellness""]",Open and Masters,Eileen Calabrese,https://npcoklahoma.com/
106,November 16,,https://www.ifbbpro.com/competition/2025-dms-china-pro-5/,"Changsha, China",IFBB Pro,"[""Men's Classic Physique"",""Men's Physique"",""Women's Bikini""]",Open,DMS China,https://www.dms-sports.com/en/
107,November 22,,https://www.ifbbpro.com/competition/2025-eu-nutrition-pro-natural-championships/,"Lisbon, Portugal",IFBB Pro,"[""Men's Bodybuilding"",""Men's Classic Physique"",""Men's Physique"",""Women's Bikini"",""Women's Figure""]",Natural,Mr. Big Evolution,https://www.ifbbpro-portugal.pt/
108,November 23,,https://www.ifbbpro.com/competition/2025-mr-big-evolution-pro-masters/,"Lisbon, Portugal",IFBB Pro,"[""Men's 212 Bodybuilding"",""Men's Bodybuilding"",""Men's Classic Physique"",""Men's Physique"",""Women's Bikini"",""Women's Bodybuilding"",""Women's Figure"",""Women's Fitness"",""Women's Physique"",""Women's Wellness""]",Masters,Mr. Big Evolution,https://www.ifbbpro-portugal.pt/
109,November 24,,https://www.ifbbpro.com/competition/2025-japan-pro/,"Tokyo, Japan",IFBB Pro,"[""Men's Bodybuilding"",""Men's Classic Physique"",""Men's Physique"",""Women's Bikini"",""Women's Wellness""]",Open,Takayuki Shoji (PRO),https://www.ifbbpro-japan.com/
110,December 6,,https://www.ifbbpro.com/competition/2025-southern-natural-pro/,"Lilburn, GA, United States",IFBB Pro,"[""Men's Classic Physique"",""Men's Physique"",""Women's Bikini""]",Natural and Masters,Steve Payne,https://southernmuscleshowdown.com/
111,December 6,December 7,https://www.ifbbpro.com/competition/2025-african-pro/,"Johannesburg, South Africa",IFBB Pro,"[""Men's Wheelchair""]",Open,Champagne Productions,https://champagneproductionsafrica.com/
112,December 14,,https://www.ifbbpro.com/competition/2025-huanji-china-pro-4/,"Beijing, China",IFBB Pro,"[""Men's 212 Bodybuilding"",""Men's Physique"",""Women's Wellness""]",Open,George Zhang,https://www.instagram.com/ifbb_huanji_china_pro/
