,start_date,end_date,url,location,comp_type,divisions,division_type,promoter,promoter_website
0,December 20,December 22,https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,"Kaohsiung,Taiwan",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini""]",Open,John Chen,https://www.ifbbpro.com.tw/
0,December 20,December 22,https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,"Mumbai,India",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Men's Wheelchair"", ""Women's Bikini""]",Open,Sheru Aangrish (Mumbai),http://www.sheruclassic.com/
0,December 14,,https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,"Beijing,China",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini""]",Open,Kate Zou,https://pro.olympiacertificate.com/
0,December 14,December 15,https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,"Cuidad del Este,Paraguay",IFBB Pro,"[""Men's Physique"", ""Women's Bikini""]",Open,Fernando Loreiro (Sudamerica),https://www.npcsudamerica.com/
0,December 14,,https://www.ifbbpro.com/competition/2024-musclecontest-austria/,"Schwechat,Austria",IFBB Pro,"[""Men's Classic Physique""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com
0,December 7,,https://www.ifbbpro.com/competition/2024-musclecontest-nacional/,"Campinas,Brazil",IFBB Pro,"[""Women's Wellness""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com
0,December 7,,https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,"Union City,CAUnited States",IFBB Pro,"[""Women's Bikini""]",Open and Masters,Spectrum Fitness Productions,https://www.spectrumfitnessproductions.com/
0,November 30,,https://www.ifbbpro.com/competition/2024-luciano-cruz-juiz-de-fora-pro/,"Juiz de Fora,Brazil",IFBB Pro,"[""Women's Physique""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com
0,November 30,December 1,https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,"Alicante,Spain",IFBB Pro,"[""Men's Bodybuilding"", ""Women's Bikini""]",Open,Juan Carlos Beltran | Emilio Martinez,https://bigmanweekend.com/
0,November 24,,https://www.ifbbpro.com/competition/2024-japan-pro/,"Tokyo,Japan",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Physique"", ""Women's Bikini""]",Open,Takayuki Shoji (PRO),https://www.ifbbpro-japan.com/
0,November 24,,https://www.ifbbpro.com/competition/2024-spanish-grand-prix-pro/,"Madrid,Spain",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Wellness""]",Open,Gabriel Opare,https://npcworldwidespain.es/
0,November 23,,https://www.ifbbpro.com/competition/2024-kc-pro/,"Kansas City,MOUnited States",IFBB Pro,"[""Women's Bikini""]",Open,Jack Titone,http://www.npcmidwest.com
0,November 23,,https://www.ifbbpro.com/competition/2024-international-denmark/,"Odense,Denmark",IFBB Pro,"[""Women's Bikini""]",Open,2 Bros Pros,https://www.2bpevents.com/
0,November 18,,https://www.ifbbpro.com/competition/2024-dragon-physique-china-dms-pro-2/,"Changsha,China",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique""]",Open,Sara Lan,https://www.dms-sports.com/en/
0,November 16,,https://www.ifbbpro.com/competition/2024-shawn-rays-hawaiian-classic-pro-am/,"Honolulu,HawaII",IFBB Pro,"[""Men's Physique"", ""Women's Bikini""]",Open,Shawn Ray,https://www.srhawaiianclassic.com/
0,November 16,November 17,https://www.ifbbpro.com/competition/2024-atlantic-coast-pro/,"Fort Lauderdale,Florida",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Figure"", ""Women's Physique""]",Open and Masters,Tim Gardner,http://www.timgardnerproductions.com
0,November 16,November 17,https://www.ifbbpro.com/competition/2024-evls-prague-pro/,"Prague,Czech Republic",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Figure"", ""Women's Wellness""]",Open,Adam Kindl,https://evls.cz/
0,November 15,November 16,https://www.ifbbpro.com/competition/2024-ben-weider-naturals/,"Alexandria,VAUnited States",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Figure"", ""Women's Fitness"", ""Women's Physique"", ""Women's Wellness""]",Open,Gary Udit & Ron Hache,https://garyudit.com/new/contest/ifbb-pro-league-npc-worldwide-ben-weider-naturals-pro-am/
0,November 9,November 10,https://www.ifbbpro.com/competition/2024-romania-muscle-fest-pro/,"Bucharest,Romania",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Bodybuilding"", ""Women's Figure"", ""Women's Physique"", ""Women's Wellness""]",Open,Wings of Strength | Alina Popa,https://wingsofstrength.net/
0,November 9,,https://www.ifbbpro.com/competition/2024-iron-games-pro/,"San Diego,California",IFBB Pro,"[""Women's Bikini""]",Open,Tamer El Guindy (USA),https://musclecontest.com/
0,November 9,,https://www.ifbbpro.com/competition/2024-texas-state-pro/,"San Marcos,TXUnited States",IFBB Pro,"[""Men's Classic Physique"", ""Women's Figure""]",Open and Masters,Bernadette Galvan,https://galvanizedproductions.com/
0,November 8,November 10,https://www.ifbbpro.com/competition/2024-musclecontest-fit-pira/,"Piracicaba,Brazil",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com
0,November 8,November 10,https://www.ifbbpro.com/competition/2024-colombia-pro/,"Bogota,Colombia",IFBB Pro,"[""Men's Classic Physique"", ""Women's Wellness""]",Open,Maz Ali,
0,November 3,,https://www.ifbbpro.com/competition/2024-everest-muscle-games/,"Warsaw,Poland",IFBB Pro,"[""Men's Classic Physique"", ""Women's Bikini""]",Open,Robert Piotrkowicz,https://ifbbpro.com.pl/
0,November 3,,https://www.ifbbpro.com/competition/2024-world-of-monsterzym-pro-2/,"Gwangmyeong,Korea, Republic of",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique""]",Open,Sungyeob Steve Kim,https://event.monsterzym.com/
0,November 2,,https://www.ifbbpro.com/competition/2024-world-of-monsterzym-pro/,"Gwangmyeong,Korea, Republic of",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini""]",Open,Sungyeob Steve Kim,https://event.monsterzym.com/
0,November 2,,https://www.ifbbpro.com/competition/2024-invictus-pro/,"Almaty,Kazakhstan",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Figure""]",Open,Chris Minnes,https://centerpodium.com/
0,November 2,,https://www.ifbbpro.com/competition/2024-new-zealand-pro/,"Auckland,New Zealand",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique""]",Open,Moe Elmoussawi,https://nzifbb.co.nz/
0,November 2,,https://www.ifbbpro.com/competition/2024-musclecontest-vietnam/,"Ho Chi Minh City,Viet Nam",IFBB Pro,"[""Women's Bikini""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com
0,November 2,,https://www.ifbbpro.com/competition/2024-klash-series-all-south-championships/,"Orlando,Florida",IFBB Pro,"[""Women's Physique""]",Open and Masters,Joe Pishkula,https://theklash.com/
0,October 27,,https://www.ifbbpro.com/competition/2024-nutriyummy-pro-cup/,"Alicante,Spain",IFBB Pro,"[""Men's Classic Physique"", ""Women's Bikini""]",Open,Emilio Martinez (NYPC),http://www.nutriyummyprocup.com
0,October 26,,https://www.ifbbpro.com/competition/2024-musclecontest-philippines/,"Manila,Philippines",IFBB Pro,"[""Men's Physique""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com
