Competition,Location,Date,Competitor Name,Country,Judging,Finals,Round 2,Round 3,Routine,Total,Place,Competition Type
2020 Arnold Classic,"Columbus, Ohio","March 7, 2020",Beatriz Biscaia,Portugal,37,,,,,37,7,Bikini
2020 Arnold Classic,"Columbus, Ohio","March 7, 2020",Elisa Pecini,Brazil,5,,,,,5,1,Bikini
2020 Arnold Classic,"Columbus, Ohio","March 7, 2020",Romina Basualdo,"Hallandale Beach, Florida",39,,,,,39,8,Bikini
2020 Arnold Classic,"Columbus, Ohio","March 7, 2020",Daraja Hill,"Naples, Florida",55,,,,,55,11,Bikini
2020 Arnold Classic,"Columbus, Ohio","March 7, 2020",Alexandria Ross,"Gilbert, Arizona",67,,,,,67,13,Bikini
2020 Arnold Classic,"Columbus, Ohio","March 7, 2020",Etila Santiago Santos,Brazil,25,,,,,25,5,Bikini
2020 Arnold Classic,"Columbus, Ohio","March 7, 2020",Jennifer Ronzitti,"Pasadena, Maryland",30,,,,,30,6,Bikini
2020 Arnold Classic,"Columbus, Ohio","March 7, 2020",Justine Munro,"Ontario, Canada",68,,,,,68,14,Bikini
2020 Arnold Classic,"Columbus, Ohio","March 7, 2020",Marcia Goncalves,Brazil,43,,,,,43,9,Bikini
2020 Arnold Classic,"Columbus, Ohio","March 7, 2020",Janet Layug,"Lakeland, Florida",13,,,,,13,3,Bikini
2020 Arnold Classic,"Columbus, Ohio","March 7, 2020",Camile Periat,"Santa Cruz, California",50,,,,,50,10,Bikini
2020 Arnold Classic,"Columbus, Ohio","March 7, 2020",Yeshaira Robles,"Bronx, New York",79,,,,,79,16,Bikini
2020 Arnold Classic,"Columbus, Ohio","March 7, 2020",Alessia Facchin,Italy,58,,,,,58,12,Bikini
2020 Arnold Classic,"Columbus, Ohio","March 7, 2020",Angelica Teixeira,"Georgetown, Texas",10,,,,,10,2,Bikini
2020 Arnold Classic,"Columbus, Ohio","March 7, 2020",Priscila Leimbacher,Switzerland,20,,,,,20,4,Bikini
2020 Arnold Classic,"Columbus, Ohio","March 7, 2020",Mahsa Akbarimehr,"Honolulu, Hawaii",76,,,,,76,15,Bikini
2020 Arnold Classic,"Columbus, Ohio","March 6, 2020",Brandon Kidd,"Fayetteville, North Carolina",64,,,,,64,13,Classic Men's Physique - Open
2020 Arnold Classic,"Columbus, Ohio","March 6, 2020",Ricky Moten Jr.,"Houston, Texas",25,,,,,25,5,Classic Men's Physique - Open
2020 Arnold Classic,"Columbus, Ohio","March 6, 2020",Abner Logan,"Medford, Massachusetts",20,,,,,20,4,Classic Men's Physique - Open
2020 Arnold Classic,"Columbus, Ohio","March 6, 2020",Alex Cambronero,"Cutler Bay, Florida",5,,,,,5,1,Classic Men's Physique - Open
2020 Arnold Classic,"Columbus, Ohio","March 6, 2020",Jason Strayhand,"Tempe, Arizona",40,,,,,40,8,Classic Men's Physique - Open
2020 Arnold Classic,"Columbus, Ohio","March 6, 2020",Orlando Maldonado,Puerto Rico,45,,,,,45,9,Classic Men's Physique - Open
2020 Arnold Classic,"Columbus, Ohio","March 6, 2020",Steve Laureus,"Westbury, New York",15,,,,,15,3,Classic Men's Physique - Open
2020 Arnold Classic,"Columbus, Ohio","March 6, 2020",Hyounjoo Kwon,Korea,52,,,,,52,10,Classic Men's Physique - Open
2020 Arnold Classic,"Columbus, Ohio","March 6, 2020",Santiago Aragon,"Doral, Florida",32,,,,,32,6,Classic Men's Physique - Open
2020 Arnold Classic,"Columbus, Ohio","March 6, 2020",Terrence Ruffin,"Tampa, Florida",10,,,,,10,2,Classic Men's Physique - Open
2020 Arnold Classic,"Columbus, Ohio","March 6, 2020",Jun Choi,South Korea,53,,,,,53,11,Classic Men's Physique - Open
2020 Arnold Classic,"Columbus, Ohio","March 6, 2020",Klaus Drescher,Austria,61,,,,,61,12,Classic Men's Physique - Open
2020 Arnold Classic,"Columbus, Ohio","March 6, 2020",Abtin Shekarabi,"Merced, California",33,,,,,33,7,Classic Men's Physique - Open
2020 Arnold Classic,"Columbus, Ohio","March 6, 2020",Tarryn Garlington,"Semmes, Alabama",32,,,,,32,7,Figure
2020 Arnold Classic,"Columbus, Ohio","March 6, 2020",Tiffani Lapoint,"Youngsville, Louisiana",45,,,,,45,9,Figure
2020 Arnold Classic,"Columbus, Ohio","March 6, 2020",Maryam Bamdad,"Ontario, Canada",65,,,,,65,13,Figure
2020 Arnold Classic,"Columbus, Ohio","March 6, 2020",Natalia Soltero,Mexico,5,,,,,5,1,Figure
