Competition,Location,Date,Competitor Name,Country,Judging,Finals,Round 2,Round 3,Routine,Total,Place,Competition Type
2023 KLASH SERIES CHAMPIONSHIPS,"Orlando, Florida","March 25, 2023",Debra Becker,"West Islip, New York",10,,,,,10,3,Bikini Masters 40+
2023 KLASH SERIES CHAMPIONSHIPS,"Orlando, Florida","March 25, 2023",Abbi Gaetano,"North Ogden, Utah",6,,,,,6,2,Bikini Masters 40+
2023 KLASH SERIES CHAMPIONSHIPS,"Orlando, Florida","March 25, 2023",Janine Herrera,"Miami, Florida",3,,,,,3,1,Bikini Masters 40+
2023 KLASH SERIES CHAMPIONSHIPS,"Orlando, Florida","March 25, 2023",Steffanie Mendel,"Andover, New Jersey",11,,,,,11,4,Bikini Masters 40+
2023 KLASH SERIES CHAMPIONSHIPS,"Orlando, Florida","March 25, 2023",Debra Becker,"West Islip, New York",46,46,,,,92,15,BIKINI
2023 KLASH SERIES CHAMPIONSHIPS,"Orlando, Florida","March 25, 2023",Urchal Byambatseren,Mongolia,24,24,,,,48,8,BIKINI
2023 KLASH SERIES CHAMPIONSHIPS,"Orlando, Florida","March 25, 2023",Aimee Leann Delgado,"Las Vegas, Nevada",4,3,,,,7,1,BIKINI
2023 KLASH SERIES CHAMPIONSHIPS,"Orlando, Florida","March 25, 2023",Rebecca Flachner,"Oviedo, Florida",27,27,,,,54,9,BIKINI
2023 KLASH SERIES CHAMPIONSHIPS,"Orlando, Florida","March 25, 2023",Toniesha Gaddis,"Largo, Maryland",39,39,,,,78,13,BIKINI
2023 KLASH SERIES CHAMPIONSHIPS,"Orlando, Florida","March 25, 2023",Abbi Gaetano,"North Ogden, Utah",33,33,,,,66,11,BIKINI
2023 KLASH SERIES CHAMPIONSHIPS,"Orlando, Florida","March 25, 2023",Brittany Gillespie,"Santa Monica, California",5,6,,,,11,2,BIKINI
2023 KLASH SERIES CHAMPIONSHIPS,"Orlando, Florida","March 25, 2023",Ashley Hampton,"Atlanta, Georgia",21,21,,,,42,7,BIKINI
2023 KLASH SERIES CHAMPIONSHIPS,"Orlando, Florida","March 25, 2023",Janine Herrera,"Miami, Florida",30,30,,,,60,10,BIKINI
2023 KLASH SERIES CHAMPIONSHIPS,"Orlando, Florida","March 25, 2023",Priscila Leimbacher,Switzerland,18,18,,,,36,6,BIKINI
2023 KLASH SERIES CHAMPIONSHIPS,"Orlando, Florida","March 25, 2023",Kiki McClellan,"Hebron, Ohio",36,36,,,,72,12,BIKINI
2023 KLASH SERIES CHAMPIONSHIPS,"Orlando, Florida","March 25, 2023",Steffanie Mendel,"Andover, New Jersey",48,48,,,,96,16,BIKINI
2023 KLASH SERIES CHAMPIONSHIPS,"Orlando, Florida","March 25, 2023",Chris Nicole,"Poplar Branch, North Carolina",42,42,,,,84,14,BIKINI
2023 KLASH SERIES CHAMPIONSHIPS,"Orlando, Florida","March 25, 2023",Emily Plajer,"Boynton Beach, Florida",15,15,,,,30,5,BIKINI
2023 KLASH SERIES CHAMPIONSHIPS,"Orlando, Florida","March 25, 2023",Kathy Seitz,"Mayfield Heights, Ohio",9,9,,,,18,3,BIKINI
2023 KLASH SERIES CHAMPIONSHIPS,"Orlando, Florida","March 25, 2023",Anastasia Shatokhina,Ukraine,47,47,,,,94,16,BIKINI
2023 KLASH SERIES CHAMPIONSHIPS,"Orlando, Florida","March 25, 2023",Jennifer Spreadbury,"Las Vegas, Nevada",48,48,,,,96,16,BIKINI
2023 KLASH SERIES CHAMPIONSHIPS,"Orlando, Florida","March 25, 2023",Carlee Stevenson,"Phoenix, Arizona",12,12,,,,24,4,BIKINI
2023 IFBB Pro League - Musclecontest Rio de Janeiro,"Rio de Janeiro, Brazil","March 25, 2023",Rafaelle Zen,Brazil,6,6,,,,12,2,Women's Wellness
2023 IFBB Pro League - Musclecontest Rio de Janeiro,"Rio de Janeiro, Brazil","March 25, 2023",Debora Pereira,Brazil,24,24,,,,48,8,Women's Wellness
2023 IFBB Pro League - Musclecontest Rio de Janeiro,"Rio de Janeiro, Brazil","March 25, 2023",Gabriela Tavares,Brazil,15,15,,,,30,5,Women's Wellness
