Competition,Location,Date,Competitor Name,Country,Judging,Finals,Round 2,Round 3,Routine,Total,Place,Competition Type
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Boam, Jodi",Canada,40,48,,,,88,6,FITNESS
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Capes, Myriam",Canada,27,36,,,,63,3,FITNESS
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Cisternino, Bethany",USA,10,72,,,,82,5,FITNESS
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Ethier, Allison",Canada,51,68,,,,119,9,FITNESS
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Garcia, Adela",USA,5,10,,,,15,1,FITNESS
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Grishina, Oksana",Russia,22,22,,,,44,2,FITNESS
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Gulman-Williams, Paula",USA,60,108,,,,168,12,FITNESS
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Hadarean, Vanda",Canada,35,54,,,,89,7,FITNESS
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Johnson, Tanji",USA,21,56,,,,77,4,FITNESS
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Mayberry, Michele",USA,46,112,,,,158,11,FITNESS
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Rodriguez, Camala",USA,19,78,,,,97,8,FITNESS
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Vucick, Sheri",USA,53,104,,,,157,10,FITNESS
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Abiad, Fouad",Canada,11,15,,,,26,3,Men's Bodybuilding
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Atoyan, Grigori",USA,32,34,,,,66,6,Men's Bodybuilding
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Beyeke, Lionel",France,5,5,,,,10,1,Men's Bodybuilding
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Brown, Lionel",USA,60,63,,,,123,13,Men's Bodybuilding
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Correa Da Silva, Eduardo",Brazil,25,24,,,,49,5,Men's Bodybuilding
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Deckard, Omar",USA,55,49,,,,104,10,Men's Bodybuilding
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Demetriou, Constantinos",Australia,46,57,,,,103,9,Men's Bodybuilding
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Dugdale, Mark",USA,33,34,,,,67,7,Men's Bodybuilding
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Efferding, Stan",USA,68,51,,,,119,12,Men's Bodybuilding
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Emelianov, Oleg",Russia,70,67,,,,137,14,Men's Bodybuilding
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Grimez, DeShaun",USA,51,57,,,,108,11,Men's Bodybuilding
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Jeffers, Rusty",USA,72,71,,,,143,15,Men's Bodybuilding
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Ntiforo, Jojo",USA,82,77,,,,159,16,Men's Bodybuilding
2011 IFBB FLEX PRO,"Santa Monica, California","February 18, 2012","Pakulski, Ben",Canada,14,10,,,,24,2,Men's Bodybuilding
