Competition,Location,Date,Competitor Name,Country,Judging,Finals,Round 2,Round 3,Routine,Total,Place,Competition Type
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Allen, Listy","Denver, CO",38,33,,,,71,7,Women's Figure
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Chiles, Crystal",San Diego CA,46,48,,,,94,9,Women's Figure
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Cimmino, Lynn","Chandler, AZ",80,80,,,,160,18,Women's Figure
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Escalante, Monica Mark","Rancho Cucamonga, CA",79,80,,,,159,17,Women's Figure
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Fodor, Linda","Stockholm, Sweden",50,43,,,,93,8,Women's Figure
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Gilson, Sabrina Taylor","Oceanside, CA",48,51,,,,99,10,Women's Figure
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Haskell, Lydia","Bellaire, MD",80,80,,,,160,18,Women's Figure
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Hernandez, Jennifer","New York, NY",80,80,,,,160,18,Women's Figure
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Meade, Jaime","Denver, CO",72,67,,,,139,14,Women's Figure
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Minear, Jodie","Houston, TX",25,25,,,,50,5,Women's Figure
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Mullarkey, Karen","Scottsdale, AZ",75,75,,,,150,16,Women's Figure
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","O'Neill, Amy","Phoenix, AZ",10,10,,,,20,2,Women's Figure
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Patton, Debbie","Chicago, IL",80,80,,,,160,18,Women's Figure
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Romero, Felicia","Gilbert, AZ",20,20,,,,40,4,Women's Figure
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Romero, Rosa Maria","Sydney, Australia",15,15,,,,30,3,Women's Figure
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Sakamoto, Mendi","Portland, OR",63,51,,,,112,12,Women's Figure
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Smith, Mindi","Los Angeles, CA",5,5,,,,10,1,Women's Figure
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Tanji, Chaundra","Denver, CO",80,80,,,,160,18,Women's Figure
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Terlesky, Angela","Peoria, AZ",33,32,,,,65,6,Women's Figure
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Tesori, Kathleen","Salt Lake City, UT",72,74,,,,146,15,Women's Figure
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Titone, Ann","St. Louis, MO",69,69,,,,138,13,Women's Figure
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Waldrop, Taylor","Thornton, CO",39,68,,,,107,11,Women's Figure
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","White, Tina","Carrollton, GA",80,80,,,,160,18,Women's Figure
IFBB Phoenix Pro,"Phoenix, Arizona","February 20, 2010","Bambrough, Stefanie","Miami, FL",36,40,,,,76,8,Fitness
IFBB Phoenix Pro,"Phoenix, Arizona","February 20, 2010","Grishina, Oksana","Irvine, CA representing Russia",20,17,,,,37,4,Fitness
IFBB Phoenix Pro,"Phoenix, Arizona","February 20, 2010","Johnson, Tanji","Renton, WA",15,5,,,,20,2,Fitness
IFBB Phoenix Pro,"Phoenix, Arizona","February 20, 2010","Marquez, Nita","Los Angeles and Phoenix, AZ",30,32,,,,62,6,Fitness
IFBB Phoenix Pro,"Phoenix, Arizona","February 20, 2010","Murray-Ward, Bridgette","Denver, CO",28,29,,,,57,5,Fitness
IFBB Phoenix Pro,"Phoenix, Arizona","February 20, 2010","Palmer, Julie","Columbus, OH",5,10,,,,15,1,Fitness
IFBB Phoenix Pro,"Phoenix, Arizona","February 20, 2010","Polanco, Yenny","Auburn, MA",36,27,,,,63,7,Fitness
IFBB Phoenix Pro,"Phoenix, Arizona","February 20, 2010","Rodriguez, Camala (KA-mela)","Denver, CO",10,18,,,,28,3,Fitness
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Ahmad, Ahmad",Sweden,11,13,,,,24,2,202
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Castagnet, Eric","Paris, France",28,23,,,,51,5,202
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010","Jackson, Randy Sr","Council Bluffs, IA",33,,,,,,,202
IFBB PHOENIX PRO,"Phoenix, Arizona","February 20, 2010",,,,,,,,,,
