Competition,Location,Date,Competitor Name,Country,Judging,Finals,Round 2,Round 3,Routine,Total,Place,Competition Type
2015 ARNOLD CLASSIC BRASIL,"Rio de Janeiro, Brasil","May 30, 2015",Marta Aguiar,Uruguay,21,38,,,,59,4,Fitness
2015 ARNOLD CLASSIC BRASIL,"Rio de Janeiro, Brasil","May 30, 2015",Ashley Sebera,USA,33,70,,,,103,7,Fitness
2015 ARNOLD CLASSIC BRASIL,"Rio de Janeiro, Brasil","May 30, 2015",Bethany Wagner Cisternino,USA,6,12,,,,18,1,Fitness
2015 ARNOLD CLASSIC BRASIL,"Rio de Janeiro, Brasil","May 30, 2015",Ryall Graber,Canada,31,40,,,,71,6,Fitness
2015 ARNOLD CLASSIC BRASIL,"Rio de Janeiro, Brasil","May 30, 2015",Tanji Johnson,USA,17,30,,,,47,3,Fitness
2015 ARNOLD CLASSIC BRASIL,"Rio de Janeiro, Brasil","May 30, 2015",Regiane DaSilva,Germany,7,18,,,,25,2,Fitness
2015 ARNOLD CLASSIC BRASIL,"Rio de Janeiro, Brasil","May 30, 2015",Michelle Blank,USA,24,36,,,,60,5,Fitness
2015 Arnold Classic Brasil,"Rio de Janeiro, Brasil","May 30, 2015",Fred Smalls,USA,38,38,,,,76,7,Men's Bodybuilding
2015 Arnold Classic Brasil,"Rio de Janeiro, Brasil","May 30, 2015",Toney Freeman,USA,28,28,,,,56,6,Men's Bodybuilding
2015 Arnold Classic Brasil,"Rio de Janeiro, Brasil","May 30, 2015",Marius Dohne,South Africa,49,49,,,,98,10,Men's Bodybuilding
2015 Arnold Classic Brasil,"Rio de Janeiro, Brasil","May 30, 2015",Victor Martinez,Dominican Republic,24,24,,,,48,4,Men's Bodybuilding
2015 Arnold Classic Brasil,"Rio de Janeiro, Brasil","May 30, 2015",Brandon Curry,USA,27,27,,,,54,5,Men's Bodybuilding
2015 Arnold Classic Brasil,"Rio de Janeiro, Brasil","May 30, 2015",Mamdouh Elssbiay,Egypt,5,5,,,,10,1,Men's Bodybuilding
