competitors_name,country,judging,finals,total,place,competition_type,date,location,url,img_url,competition
Nur Irfan Bin Ahmad,Singapore,24,,24,8,men’s physique – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Zihao Wei,Taiwan,27,,27,9,men’s physique – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Jimmy Chen,Taiwan,30,,30,10,men’s physique – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Seungho Chae,South Korea,33,,33,11,men’s physique – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Auppachai Phonklad,Thailand,36,,36,12,men’s physique – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Seungmu Lee,South Korea,39,,39,13,men’s physique – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Steven Liu,Taiwan,42,,42,14,men’s physique – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Woo Young Seo,South Korea,45,,45,15,men’s physique – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Penny Cheung,Hong Kong,48,,48,16,men’s physique – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Dahye Jeon,South Korea,3,,3,1,women’s bikini – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Miharu Kurachi,Japan,6,,6,2,women’s bikini – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Yuhsuan Fu,Taiwan,9,,9,3,women’s bikini – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Maiko Otsuka,Japan,12,,12,4,women’s bikini – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Jamie Wu,New Zealand,15,,15,5,women’s bikini – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Amanda Lee,Singapore,18,,18,6,women’s bikini – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Asaka Kimura,Japan,21,,21,7,women’s bikini – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Baek Minhee,South Korea,24,,24,8,women’s bikini – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Shelly Hsieh,Taiwan,27,,27,9,women’s bikini – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
Josephine Yeong,Malaysia,30,,30,10,women’s bikini – open,2024-12-20,"Kaohsiung,Taiwan",https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,,2024-taiwan-pro-finale
