Competition,Location,Date,Competitor Name,Country,Judging,Finals,Round 2,Round 3,Routine,Total,Place,Competition Type
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Eddie ABBEW,United Kingdom,70,40,,,,110,7,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Khalid ALMOHSINAWI,Netherlands,124,61,,,,185,13,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Troy ALVES,USA,88,43,,,,131,9,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Ray ARDE,USA,150,76,,,,226,15,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Gustavo BADELL,Puerto Rico,20,12,10,,,42,2,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Paul BAKER,Jamaica,160,80,,,,240,17,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Troy BROWN,United Kingdom,160,80,,,,240,17,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Jimmy CANYON,USA,160,,,,,,,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Rodney DAVIS,USA,160,80,,,,240,17,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Omar DECKARD,USA,160,80,,,,240,17,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Alfonso DEL RIO,Spain,152,76,,,,228,16,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Moe ELMOUSSAWI,New Zealand,38,14,15,,,67,3,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Toney FREEMAN,USA,84,39,,,,123,8,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",DeShaun GRIMEZ,USA,160,80,,,,240,17,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Will HARRIS,USA,118,53,,,,171,11,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Phil HEATH,USA,10,5,5,,,20,1,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",David HENRY,USA,114,59,,,,173,12,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Neset ICLI,Netherlands,160,80,,,,240,17,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Johnnie JACKSON,USA,50,23,25,,,98,5,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Rusty JEFFERS,USA,160,80,,,,240,17,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Ken JONES,USA,160,80,,,,240,17,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",King KAMALI,USA,106,57,,,,163,10,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Vincent LIU,Canada,160,80,,,,240,17,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Desmond MILLER,USA,62,31,,,,93,6,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",JoJo NTIFORO,USA,142,71,,,,213,14,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Sergey OGORDNIKOV,Russia,160,80,,,,240,17,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Dragan PAUNOVIC,Serbia,160,80,,,,240,17,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",GianEnrico PICA,Italy,160,80,,,,240,17,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Silvio SAMUEL,Spain,34,21,20,,,75,4,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Armin SCHOLZ,Germany,160,80,,,,240,17,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Nathan WONSLEY,USA,160,80,,,,240,17,Men's Bodybuilding
Iron Man Pro,"Los Angeles, California, USA","February 16, 2008",Mehmet YILDIRIM,France,160,80,,,,240,17,Men's Bodybuilding
2008 Arnold Classic,"Columbus, Ohio, USA","February 29, 2008",Amy FRY,USA,15,15,,,,30,3,Figure
2008 Arnold Classic,"Columbus, Ohio, USA","February 29, 2008",Jennifer GATES,USA,9,10,,,,19,2,Figure
2008 Arnold Classic,"Columbus, Ohio, USA","February 29, 2008",Paola ALMERICO,USA,30,30,,,,60,6,Figure
2008 Arnold Classic,"Columbus, Ohio, USA","February 29, 2008",Briana TINDALL,USA,62,72,,,,134,13,Figure
2008 Arnold Classic,"Columbus, Ohio, USA","February 29, 2008",Juliana MALACARNE,Brazil,62,64,,,,126,12,Figure
2008 Arnold Classic,"Columbus, Ohio, USA","February 29, 2008",Natalie BENSON,USA,40,42,,,,82,8,Figure
2008 Arnold Classic,"Columbus, Ohio, USA","February 29, 2008",Latisha WILDER,USA,47,34,,,,81,7,Figure
2008 Arnold Classic,"Columbus, Ohio, USA","February 29, 2008",Nicole WILKINS,USA,52,53,,,,105,11,Figure
2008 Arnold Classic,"Columbus, Ohio, USA","February 29, 2008",Deborah LEUNG,Canada,69,66,,,,135,14,Figure
2008 Arnold Classic,"Columbus, Ohio, USA","February 29, 2008",Bernadette GALVAN,USA,68,68,,,,136,16,Figure
2008 Arnold Classic,"Columbus, Ohio, USA","February 29, 2008",Sonia ADCOCK,USA,21,27,,,,48,5,Figure
2008 Arnold Classic,"Columbus, Ohio, USA","February 29, 2008",Gina ALIOTTI,USA,6,5,,,,11,1,Figure
2008 Arnold Classic,"Columbus, Ohio, USA","February 29, 2008",Brenda Marie SMITH,USA,70,74,,,,144,16,Figure
2008 Arnold Classic,"Columbus, Ohio, USA","February 29, 2008",Catherine ANDERSEN,USA,37,45,,,,82,8,Figure
