Competition,Location,Date,Competitor Name,Country,Judging,Finals,Round 2,Round 3,Routine,Total,Place,Competition Type
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","Rockel, Ronny",Germany,32,17,14,,,63,3,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","Samuel, Silvio",Spain,10,8,8,,,26,1,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","Yamagishi, Hidetada",Japan,40,14,17,,,71,4,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","Abbew, Eddie",United Kingdom,62,34,,,,96,6,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","Adzievski, Oliver",Sweden,110,63,,,,173,12,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","Alves, Troy",USA,112,57,,,,169,11,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","Bannout, Mohammad",Lebanon,62,34,,,,96,7,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","Benagli, Thomas",Italy,136,65,,,,201,14,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","Cherry, Adorthus",USA,160,80,,,,240,17,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","Clarke, Fedel",Canada,160,80,,,,240,17,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","Deckard, Omar",USA,158,76,,,,234,16,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","Demetriou, Constantinos",Australia,142,70,,,,212,15,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","Dugdale, Mark",USA,76,36,,,,112,8,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","El Moussawi, Moe",New Zealand,22,10,9,,,41,2,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","El Shahat, Tamer",Egypt,160,80,,,,240,17,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","Emelyanov, Oleg",Russia,160,80,,,,240,17,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","Faour, Aiman",Lebanon,160,80,,,,240,17,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","Grimez, DeShaun",USA,160,80,,,,240,17,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","Haidar, Ahmad",Lebanon,60,26,25,,,111,5,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","Haley, Marcus",USA,84,46,,,,130,9,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","Jackson, Johnnie",USA,106,56,,,,162,10,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","Jeffers, Rusty",USA,160,80,,,,240,17,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","Kjellstrom, Martin",Sweden,132,61,,,,193,13,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","LaVoie, Marc",Canada,160,80,,,,240,17,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","Long, Don",USA,160,80,,,,240,17,Men's BB
2009 Iron Man Pro,"Los Angeles, California, USA","January 24, 2009","Lytle, Daron",USA,160,80,,,,240,17,Men's BB
