Competition,Location,Date,Competitor Name,Country,Judging,Finals,Round 2,Round 3,Routine,Total,Place,Competition Type
2018 Arnold Classic,"Columbus, Ohio","March 2, 2018",Kamal Elgargni,United Kingdom,9,5,8,,,22,1,212
2018 Arnold Classic,"Columbus, Ohio","March 2, 2018",Kyung Won Kang,South Korea,35,35,35,,,105,7,212
2018 Arnold Classic,"Columbus, Ohio","March 2, 2018",Samir Troudi,United Arav Emirates,15,15,15,,,45,3,212
2018 Arnold Classic,"Columbus, Ohio","March 2, 2018",Jose Raymond,USA,25,22,21,,,68,5,212
2018 Arnold Classic,"Columbus, Ohio","March 2, 2018",David Henry,USA,20,23,24,,,67,4,212
2018 Arnold Classic,"Columbus, Ohio","March 2, 2018",Charles Dixon,USA,6,10,7,,,23,2,212
2018 Arnold Classic,"Columbus, Ohio","March 2, 2018","Gaetano Cisternino, Jr",USA,30,30,30,,,90,6,212
2018 Arnold Classic,"Columbus, Ohio","March 3, 2018",Janet Layug,USA,10,,,,,10,2,Bikini
2018 Arnold Classic,"Columbus, Ohio","March 3, 2018",Frida Paulsen Stern,Sweden,74,,,,,74,15,Bikini
2018 Arnold Classic,"Columbus, Ohio","March 3, 2018",Casey Samsel,USA,15,,,,,15,3,Bikini
2018 Arnold Classic,"Columbus, Ohio","March 3, 2018",Katya Nosova,New Zealand,50,,,,,50,10,Bikini
2018 Arnold Classic,"Columbus, Ohio","March 3, 2018",Tawna Eubanks,USA,65,,,,,65,13,Bikini
2018 Arnold Classic,"Columbus, Ohio","March 3, 2018",Camile Periat,USA,34,,,,,34,7,Bikini
2018 Arnold Classic,"Columbus, Ohio","March 3, 2018",Jessica Renee,USA,78,,,,,78,16,Bikini
2018 Arnold Classic,"Columbus, Ohio","March 3, 2018",Romina Basauldo,Argentina,20,,,,,20,4,Bikini
2018 Arnold Classic,"Columbus, Ohio","March 3, 2018",Breena Martinez,USA,31,,,,,31,6,Bikini
2018 Arnold Classic,"Columbus, Ohio","March 3, 2018",Ruth Wood,USA,65,,,,,65,14,Bikini
2018 Arnold Classic,"Columbus, Ohio","March 3, 2018",Elise Pecini,Brazil,45,,,,,45,9,Bikini
2018 Arnold Classic,"Columbus, Ohio","March 3, 2018",Jennifer Ronzitti,USA,25,,,,,25,5,Bikini
2018 Arnold Classic,"Columbus, Ohio","March 3, 2018",Sheena Martin,New Zealand,40,,,,,40,8,Bikini
2018 Arnold Classic,"Columbus, Ohio","March 3, 2018",Angelica Teixeira,USA,5,,,,,5,1,Bikini
2018 Arnold Classic,"Columbus, Ohio","March 3, 2018",Tamara Haddad,USA,80,,,,,80,16,Bikini
2018 Arnold Classic,"Columbus, Ohio","March 3, 2018",Elizabeth Yisrael,USA,63,,,,,63,12,Bikini
2018 Arnold Classic,"Columbus, Ohio","March 3, 2018",Margret Gnarr,Iceland,62,,,,,62,11,Bikini
2018 Arnold Classic,"Columbus, Ohio","March 3, 2018",Lionel Beyeke,France,30,24,30,,,84,6,Men's Bodybuilding
2018 Arnold Classic,"Columbus, Ohio","March 3, 2018",Roelly Winklaar,Netherlands,19,20,20,,,59,4,Men's Bodybuilding
2018 Arnold Classic,"Columbus, Ohio","March 3, 2018",Dennis Wolf,Germany,61,60,63,,,184,12,Men's Bodybuilding
2018 Arnold Classic,"Columbus, Ohio","March 3, 2018",Maxx Charles,USA,61,65,59,,,185,13,Men's Bodybuilding
