Competition,Location,Date,Competitor Name,Country,Judging,Finals,Round 2,Round 3,Routine,Total,Place,Competition Type
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Kerrith Bajjo,"Bethel, Connecticut",9,,,,,9,3,MEN'S 212
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Esteban Alejandro Fuquene Bravo,Colombia,21,,,,,21,7,MEN'S 212
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Sealy Cruz,"Coral Gables, Florida",42,,,,,42,14,MEN'S 212
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Ahmed Elsadany,"Gardena, California",6,,,,,6,2,MEN'S 212
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Martin Gomez,"Salinas, California",25,,,,,25,8,MEN'S 212
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Oswaldo Gonzalez,"Miami, Florida",15,,,,,15,5,MEN'S 212
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Jason Hebert,"Mobile, Alabama",18,,,,,18,6,MEN'S 212
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",John Jewett,"San Antonio, Texas",12,,,,,12,4,MEN'S 212
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Kevin Johnson,"Louisville, Kentucky",33,,,,,33,11,MEN'S 212
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Jason Lowe,"Ormond Beach, Florida",26,,,,,26,9,MEN'S 212
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Keone Pearson,"Allen, Texas",3,,,,,3,1,MEN'S 212
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Raul Sanchez,Mexico,30,,,,,30,10,MEN'S 212
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Kevin Simpson,"Bargersville, Indiana",45,,,,,45,15,MEN'S 212
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Daryl Young,"Tupelo, Mississippi",39,,,,,39,13,MEN'S 212
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Jermaine Todd,"Greenville, South Carolina",36,,,,,36,12,MEN'S 212
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Amanda Aguzzi,"Bound Brook, New Jersey",44,,,,,44,15,BIKINI
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Isha Barrow,"Minneapolis, Minnesota",23,,,,,23,8,BIKINI
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Denetra Blackshear,"Cumming, Georgia",48,,,,,48,16,BIKINI
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Maureen Blanquisco,"Los Angeles, California",6,,,,,6,2,BIKINI
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Dulce Cristal Lopez Castellanos,Mexico,30,,,,,30,10,BIKINI
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Lauralie Chapados,"Las Vegas, Nevada",3,,,,,3,1,BIKINI
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Hikaru Sarah Dundore,Japan,48,,,,,48,16,BIKINI
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Ivanna Escandar Fernandez,Spain,12,,,,,12,4,BIKINI
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Jasmine Gonzalez,"Allentown, Pennsylvania",9,,,,,9,3,BIKINI
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Reijuana Harley,"Oakdale, Minnesota",18,,,,,18,6,BIKINI
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Carrie Hennessy,"Layton, Utah",48,,,,,48,16,BIKINI
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Kristen Markowski,"Vernon, Connecticut",48,,,,,48,16,BIKINI
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Breena Martinez,"Gilbert, Arizona",27,,,,,27,9,BIKINI
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Gabriella Mohamed,"Miami, Florida",33,,,,,33,11,BIKINI
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Mary Alice Newton,"Houston, Texas",48,,,,,48,16,BIKINI
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Anya Nicholson,"Las Vegas, Nevada",39,,,,,39,13,BIKINI
2021 FIT BODY FUSION IFBB PRO LEAGUE WOS CHICAGO PRO,"Atlanta, Georgia","July 23-24, 2021",Cristobalina Pajares,Spain,15,,,,,15,5,BIKINI
