Competition,Location,Date,Competitor Name,Country,Judging,Finals,Round 2,Round 3,Routine,Total,Place,Competition Type
2022 IFBB PRO LEAGUE LEGENDS PRO,"Las Vegas, Nevada","February 5, 2022",Vania Auguste,"Murfreesboro, Tennessee",20,,,,,20,4,Bikini
2022 IFBB PRO LEAGUE LEGENDS PRO,"Las Vegas, Nevada","February 5, 2022",Ariel Barley,"Los Angeles, California",15,,,,,15,3,Bikini
2022 IFBB PRO LEAGUE LEGENDS PRO,"Las Vegas, Nevada","February 5, 2022",Treasure Brooks,"Liberty Lake, Washington",37,,,,,37,7,Bikini
2022 IFBB PRO LEAGUE LEGENDS PRO,"Las Vegas, Nevada","February 5, 2022",Sarah Burkett,"Katy, Texas",49,,,,,49,10,Bikini
2022 IFBB PRO LEAGUE LEGENDS PRO,"Las Vegas, Nevada","February 5, 2022",Micaela Cristofaro,"Miami, Florida",39,,,,,39,8,Bikini
2022 IFBB PRO LEAGUE LEGENDS PRO,"Las Vegas, Nevada","February 5, 2022",Lauren Dannenmiller,"St. Petersburg, Florida",8,,,,,8,2,Bikini
2022 IFBB PRO LEAGUE LEGENDS PRO,"Las Vegas, Nevada","February 5, 2022",Courtney Janecek,"Omaha, Nebraska",55,,,,,55,11,Bikini
2022 IFBB PRO LEAGUE LEGENDS PRO,"Las Vegas, Nevada","February 5, 2022",Ashley Kaltwasser,"Las Vegas, Nevada",7,,,,,7,1,Bikini
2022 IFBB PRO LEAGUE LEGENDS PRO,"Las Vegas, Nevada","February 5, 2022",Marissa Rivero,"Spring, Texas",26,,,,,26,5,Bikini
2022 IFBB PRO LEAGUE LEGENDS PRO,"Las Vegas, Nevada","February 5, 2022",Beatrice Sanford,"Novi, Michigan",29,,,,,29,6,Bikini
2022 IFBB PRO LEAGUE LEGENDS PRO,"Las Vegas, Nevada","February 5, 2022",Marisa Woo,"San Diego, California",43,,,,,43,9,Bikini
2022 Arnold Classic,"Columbus, Ohio, USA","March 5, 2022",Lauren Dannenmiller,USA,40,,,,,40,8,Women's Bikini
