Competition,Location,Date,Competitor Name,Country,Judging,Finals,Round 2,Round 3,Routine,Total,Place,Competition Type
2016 IFBB LEVRONE CLASSIC,"Gdansk, Poland","February 27, 2016",Dainius Barzinskas,Lithuania,36,36,,,,72,12,Men's Bodybuilding
2016 IFBB LEVRONE CLASSIC,"Gdansk, Poland","February 27, 2016",Clarence DeVis,Belgium,26,26,,,,52,9,Men's Bodybuilding
2016 IFBB LEVRONE CLASSIC,"Gdansk, Poland","February 27, 2016",Vitaly Fateev,Russia,30,31,,,,61,10,Men's Bodybuilding
2016 IFBB LEVRONE CLASSIC,"Gdansk, Poland","February 27, 2016",Toney Freeman,USA,13,12,,,,25,4,Men's Bodybuilding
2016 IFBB LEVRONE CLASSIC,"Gdansk, Poland","February 27, 2016",Johnnie Jackson,USA,18,18,,,,36,6,Men's Bodybuilding
2016 IFBB LEVRONE CLASSIC,"Gdansk, Poland","February 27, 2016",Michael Kefalianos,Greece,18,20,,,,38,7,Men's Bodybuilding
2016 IFBB LEVRONE CLASSIC,"Gdansk, Poland","February 27, 2016",Josh Lenartowicz,Australia,4,6,,,,10,2,Men's Bodybuilding
2016 IFBB LEVRONE CLASSIC,"Gdansk, Poland","February 27, 2016",Cedric McMillan,USA,5,3,,,,8,1,Men's Bodybuilding
2016 IFBB LEVRONE CLASSIC,"Gdansk, Poland","February 27, 2016",Marek Olejniczak,Poland,33,32,,,,65,11,Men's Bodybuilding
2016 IFBB LEVRONE CLASSIC,"Gdansk, Poland","February 27, 2016",Ronny Rockel,Germany,25,25,,,,50,8,Men's Bodybuilding
2016 IFBB LEVRONE CLASSIC,"Gdansk, Poland","February 27, 2016",Aliaksei Shabunia,Belarus,18,17,,,,35,5,Men's Bodybuilding
2016 IFBB LEVRONE CLASSIC,"Gdansk, Poland","February 27, 2016",Branch Warren,USA,9,9,,,,18,3,Men's Bodybuilding
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Sarah Allen,Australia,74,,,,,74,15,Bikini
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Elisangela Angell,USA,80,,,,,80,16,Bikini
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Narmin Assria,USA,33,,,,,33,7,Bikini
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Sara Back,Finland,41,,,,,41,8,Bikini
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Tatiana Debique,USA,45,,,,,45,9,Bikini
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Adriana Gonzalez,Hong Kong,80,,,,,80,16,Bikini
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Barbie Heng,Australia,65,,,,,65,13,Bikini
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Courtney King,USA,25,,,,,25,5,Bikini
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Janet Layug,USA,9,,,,,9,2,Bikini
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Brandy Leaver,USA,80,,,,,80,16,Bikini
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Jessica Lynn,USA,50,,,,,50,10,Bikini
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Stephanie Mahoe,USA,32,,,,,32,6,Bikini
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Sheena Jayne Martin,New Zealand,18,,,,,18,4,Bikini
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Babette Mulford,USA,80,,,,,80,16,Bikini
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Justine Munro,Canada,16,,,,,16,3,Bikini
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Caryn Paolini,USA,63,,,,,63,12,Bikini
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",India Paulino,USA,6,,,,,6,1,Bikini
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Kamilah Powell,USA,80,,,,,80,16,Bikini
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Jessica Renee,USA,80,,,,,80,16,Bikini
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Brie Tawhai,New Zealand,71,,,,,71,14,Bikini
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Jaclyn Wilson,Canada,57,,,,,57,11,Bikini
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Kenea Yancey,USA,75,,,,,75,16,Bikini
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Yvette Brown,Australia,63,,,,,63,12,Figure
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Andrea Calhoun,USA,64,,,,,64,13,Figure
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Amanda Doherty,Australia,32,,,,,32,6,Figure
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Cydney Gillon,USA,15,,,,,15,3,Figure
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Laura Keddie,Australia,68,,,,,68,14,Figure
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Candice Lewis,USA,10,,,,,10,2,Figure
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Asher Prior,Australia,40,,,,,40,8,Figure
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Krystal Ricci,USA,50,,,,,50,10,Figure
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Camala Rodriguez McClure,USA,21,,,,,21,4,Figure
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Myra Rogers,New Zealand,42,,,,,42,9,Figure
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Jennifer Strobo,USA,24,,,,,24,5,Figure
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Latorya Watts,USA,5,,,,,5,1,Figure
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Jennifer Van Zant,USA,60,,,,,60,11,Figure
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Bojana Vasiljevic,Serbia,39,,,,,39,7,Figure
2016 Arnold Classic Australia,"Melbourne, Australia","March 18, 2016",Veronica Gallego,Spain,70,,,,,70,15,Figure
2016 Arnold Classic Australia,"Melbourne, Australia","March 19, 2016",Michelle Blank,USA,29,64,,,,93,7,Fitness
2016 Arnold Classic Australia,"Melbourne, Australia","March 19, 2016",Kristine Duba,USA,24,54,,,,78,5,Fitness
2016 Arnold Classic Australia,"Melbourne, Australia","March 19, 2016",Nicole Duncan,USA,35,46,,,,81,6,Fitness
2016 Arnold Classic Australia,"Melbourne, Australia","March 19, 2016",Ryall Graber,Canada,17,34,,,,51,3,Fitness
2016 Arnold Classic Australia,"Melbourne, Australia","March 19, 2016",Oksana Grishina,Russia,5,10,,,,15,1,Fitness
2016 Arnold Classic Australia,"Melbourne, Australia","March 19, 2016",Tanji Johnson,USA,19,38,,,,57,4,Fitness
2016 Arnold Classic Australia,"Melbourne, Australia","March 19, 2016",Whitney Jones,USA,11,28,,,,39,2,Fitness
2016 Arnold Classic Australia,"Melbourne, Australia","March 19, 2016",Atif Anwar Ahmed,Australia,40,38,40,,,118,8,Men's Bodybuilding
2016 Arnold Classic Australia,"Melbourne, Australia","March 19, 2016",Evan Centopani,USA,25,25,25,,,75,5,Men's Bodybuilding
2016 Arnold Classic Australia,"Melbourne, Australia","March 19, 2016",Justin Compton,USA,15,17,15,,,47,3,Men's Bodybuilding
2016 Arnold Classic Australia,"Melbourne, Australia","March 19, 2016",Kai Greene,USA,5,5,5,,,15,1,Men's Bodybuilding
2016 Arnold Classic Australia,"Melbourne, Australia","March 19, 2016",Josh Lenartowicz,Australia,20,18,20,,,58,4,Men's Bodybuilding
2016 Arnold Classic Australia,"Melbourne, Australia","March 19, 2016",Cedric McMillan,USA,10,20,10,,,30,2,Men's Bodybuilding
2016 Arnold Classic Australia,"Melbourne, Australia","March 19, 2016",Cody Montgomery,USA,34,35,34,,,103,7,Men's Bodybuilding
