competitors_name,country,judging,finals,total,place,competition_type,date,location,url,img_url,competition
Sung Yeop Jang,South Korea,4,,4,1,men’s 212 bodybuilding – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Lei Chen,China,5,,5,2,men’s 212 bodybuilding – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
En Zhou,China,9,,9,3,men’s 212 bodybuilding – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Jiang Wen Ming,China,12,,12,4,men’s 212 bodybuilding – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Ahmad Dokhy,Norway,15,,15,5,men’s 212 bodybuilding – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Weiyang Ding,China,18,,18,6,men’s 212 bodybuilding – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Liyangyang Li,China,21,,21,7,men’s 212 bodybuilding – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Hao Jiang,China,24,,24,8,men’s 212 bodybuilding – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Xi Qing Mao,China,28,,28,9,men’s 212 bodybuilding – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Ebrahim Alqallaf,Bahrain,29,,29,10,men’s 212 bodybuilding – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Asmawi Zolkifli,Malaysia,33,,33,11,men’s 212 bodybuilding – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Nam Eun Cho,South Korea,–,,–,NS,men’s 212 bodybuilding – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Xiaoxiong Li,China,–,,–,NS,men’s 212 bodybuilding – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Kai Liu,China,3,,3,1,men’s classic physique – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Morteza Shahhosseini,Iran,6,,6,2,men’s classic physique – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Blue Ren,China,9,,9,3,men’s classic physique – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Denis Romanov,Russia,12,,12,4,men’s classic physique – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Yunchao Zhou,China,15,,15,5,men’s classic physique – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Jason Huang,Taiwan,18,,18,6,men’s classic physique – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Vitaliy Omel,Russia,22,,22,7,men’s classic physique – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Ivan Zeviakin,Russia,23,,23,8,men’s classic physique – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Jinghao Lu,China,27,,27,9,men’s classic physique – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Maxx Hon Chung Lam,Hong Kong,30,,30,10,men’s classic physique – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Mengyi Liu,China,3,,3,1,men’s physique – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Vyacheslav Tarasevich,Belarus,6,,6,2,men’s physique – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Farouq Ishimoto,Japan,9,,9,3,men’s physique – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Rui Liu,China,12,,12,4,men’s physique – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Zhihua Liu,China,15,,15,5,men’s physique – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Bo Gao,China,18,,18,6,men’s physique – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Luo Jie,China,21,,21,7,men’s physique – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Jian Song,China,24,,24,8,men’s physique – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Seungho Chae,South Korea,27,,27,9,men’s physique – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Jimmy Chen,Taiwan,30,,30,10,men’s physique – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Zimo Liu,China,33,,33,11,men’s physique – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Shaokang Wei,China,36,,36,12,men’s physique – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Nur Irfan,Singapore,39,,39,13,men’s physique – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Uyanga Bataa,Mongolia,3,,3,1,women’s bikini – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Mengru Zhang,China,6,,6,2,women’s bikini – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Xinyi Chen,China,9,,9,3,women’s bikini – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Eujenia Shatova,Russia,13,,13,4,women’s bikini – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Minhee Baek,South Korea,14,,14,5,women’s bikini – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Si Yu,China,18,,18,6,women’s bikini – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Josephine Yeong,Malaysia,21,,21,7,women’s bikini – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Irene Iravedra,Spain,24,,24,8,women’s bikini – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Chanyu Xu,China,27,,27,9,women’s bikini – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Yingyi Xiao,China,30,,30,10,women’s bikini – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Yiping Zhao,China,33,,33,11,women’s bikini – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Ziyi Wu,New Zealand,36,,36,12,women’s bikini – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Margarita Zaitdinova,Kazakhstan,39,,39,13,women’s bikini – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Vanity Vink,Netherlands,42,,42,14,women’s bikini – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Lin Qi,China,45,,45,15,women’s bikini – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Xiaoya Zhang,China,48,,48,16,women’s bikini – open,2024-12-14,"Beijing,China",https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,,2024-huanji-china-pro-2
Julio Soares,Brazil,3,,3,1,men’s physique – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
Aroucka De Oliveira,Brazil,6,,6,2,men’s physique – open,2024-12-14,"Cuidad del Este,Paraguay",https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,,2024-ronnie-coleman-sur-pro-cup
