place,judging,finals,total,competitors_name,country,category,competition,location,date,url,img_url,check
8,24.0,0.0,24.0,Rebecca Ianno,"{'city': 'Cibolo', 'state': 'TX', 'country': 'United States'}",Women's Bikini,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg,True
13,39.0,0.0,39.0,Elizabeth Jensen,"{'city': 'Cleveland', 'state': 'OH', 'country': 'United States'}",Women's Bikini,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg,True
15,46.0,0.0,46.0,Arielle Johnson,"{'city': 'Bismarck', 'state': 'ND', 'country': 'United States'}",Women's Bikini,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg,True
1,3.0,0.0,3.0,Ashlyn Little,"{'city': 'Tampa', 'state': 'FL', 'country': 'United States'}",Women's Bikini,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg,True
10,30.0,0.0,30.0,Erin Mayrhofer,"{'city': 'Venice', 'state': 'CA', 'country': 'United States'}",Women's Bikini,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg,True
2,6.0,0.0,6.0,Reyna Perez Mecalco,"{'city': '', 'state': '', 'country': 'Mexico'}",Women's Bikini,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg,True
11,33.0,0.0,33.0,Michelle Pirela,"{'city': 'Katy', 'state': 'TX', 'country': 'United States'}",Women's Bikini,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg,True
16,48.0,0.0,48.0,Rosada Plummer,"{'city': 'San Antonio', 'state': 'TX', 'country': 'United States'}",Women's Bikini,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg,True
9,27.0,0.0,27.0,Emily Pribula,"{'city': 'Austin', 'state': 'TX', 'country': 'United States'}",Women's Bikini,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg,True
17,47.0,0.0,47.0,Aspen Ranz,"{'city': 'Redmond', 'state': 'WA', 'country': 'United States'}",Women's Bikini,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg,True
5,16.0,0.0,16.0,Gavi Soni,"{'city': 'Seaford', 'state': 'VA', 'country': 'United States'}",Women's Bikini,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg,True
12,36.0,0.0,36.0,Carlee Stevenson,"{'city': 'Phoenix', 'state': 'AZ', 'country': 'United States'}",Women's Bikini,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg,True
7,21.0,0.0,21.0,Jessica Alvarado,"{'city': 'Odessa', 'state': 'TX', 'country': 'United States'}",Women's Wellness,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg,True
3,9.0,0.0,9.0,Sunny Andrews,"{'city': 'Miami', 'state': 'FL', 'country': 'United States'}",Women's Wellness,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg,True
5,15.0,0.0,15.0,Thais Cappelli,"{'city': 'West Columbia', 'state': 'SC', 'country': 'United States'}",Women's Wellness,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg,True
1,4.0,0.0,4.0,Jenna De Manincor,"{'city': 'San Antonio', 'state': 'TX', 'country': 'United States'}",Women's Wellness,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg,True
2,5.0,0.0,5.0,Grecia Hernandez,"{'city': 'San Juan', 'state': 'TX', 'country': 'United States'}",Women's Wellness,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg,True
6,18.0,0.0,18.0,Alejandra La Fonseca,"{'city': '', 'state': '', 'country': 'Puerto Rico'}",Women's Wellness,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg,True
8,24.0,0.0,24.0,Kathrine Maclaurin,"{'city': 'El Paso', 'state': 'TX', 'country': 'United States'}",Women's Wellness,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg,True
9,27.0,0.0,27.0,Mariana Quintero,"{'city': '', 'state': '', 'country': 'Mexico'}",Women's Wellness,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg,True
4,12.0,0.0,12.0,Kelly Spaghetti,"{'city': 'Santee', 'state': 'CA', 'country': 'United States'}",Women's Wellness,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg,True
