Competition,Category,Place,Name,Score
Arnold Amateur - IFBB,Super-HeavyWeight,1,Fabio Rezende,
Arnold Amateur - IFBB,Super-HeavyWeight,2,Chanseddine Elbey,
Arnold Amateur - IFBB,Super-HeavyWeight,3,Rob Cammon,
Arnold Amateur - IFBB,Super-HeavyWeight,4,Lucion Pushparaj,
Arnold Amateur - IFBB,Super-HeavyWeight,5,Alexej Kauz,
Arnold Amateur - IFBB,Super-HeavyWeight,6,Nasser Mostafazadeh,
Arnold Amateur - IFBB,Super-HeavyWeight,7,Thierrydan Afandonougbo,
Arnold Amateur - IFBB,Super-HeavyWeight,8,Marck Hahn,
Arnold Amateur - IFBB,Super-HeavyWeight,9,Josh Walter,
Arnold Amateur - IFBB,Super-HeavyWeight,10,Benjamin Asmann,
Arnold Amateur - IFBB,Super-HeavyWeight,11,Jonathan Arthur,
Arnold Amateur - IFBB,Super-HeavyWeight,12,Ricardo Bengochea,
Arnold Amateur - IFBB,HeavyWeight,1,Jimmy Shamar Lene,
Arnold Amateur - IFBB,HeavyWeight,2,Christopher Knox,
Arnold Amateur - IFBB,HeavyWeight,3,Serwan Aljaff,
Arnold Amateur - IFBB,HeavyWeight,4,Pablo Staffolarini,
Arnold Amateur - IFBB,HeavyWeight,5,Derrican Franklin,
Arnold Amateur - IFBB,HeavyWeight,6,Justin Uhl,
Arnold Amateur - IFBB,HeavyWeight,7,Hicham Ahnouch,
Arnold Amateur - IFBB,HeavyWeight,8,Travon Grimes,
Arnold Amateur - IFBB,HeavyWeight,9,Pawan Lapborisuth,
Arnold Amateur - IFBB,HeavyWeight,10,Ginkai Ro,
Arnold Amateur - IFBB,Light-HeavyWeight,1,Shuqing Lin,
Arnold Amateur - IFBB,Light-HeavyWeight,2,Matthew Silesky,
Arnold Amateur - IFBB,Light-HeavyWeight,3,Alessandro Savi,
Arnold Amateur - IFBB,Light-HeavyWeight,4,Ignacio Torres,
Arnold Amateur - IFBB,Light-HeavyWeight,5,Rod Maadarani,
Arnold Amateur - IFBB,Light-HeavyWeight,6,Peter Sisson,
Arnold Amateur - IFBB,Light-HeavyWeight,7,Matthew Croney,
Arnold Amateur - IFBB,Light-HeavyWeight,8,Nicholas Hitchcock,
Arnold Amateur - IFBB,Light-HeavyWeight,9,Altantsatsral Delgerbat,
Arnold Amateur - IFBB,Light-HeavyWeight,10,Jacob Huang,
Arnold Amateur - IFBB,Light-HeavyWeight,11,Robert Byrd,
Arnold Amateur - IFBB,Light-HeavyWeight,12,Trey Bruffey,
Arnold Amateur - IFBB,Light-HeavyWeight,13,Raymond Harris,
Arnold Amateur - IFBB,MiddleWeight,1,Florian Zankl,
Arnold Amateur - IFBB,MiddleWeight,2,Ahmed Jaafar Hasan,
Arnold Amateur - IFBB,MiddleWeight,3,Garry Lodoen,
Arnold Amateur - IFBB,MiddleWeight,4,Abdul Malik,
Arnold Amateur - IFBB,WelterWeight,1,Alex Atta,
Arnold Amateur - IFBB,WelterWeight,2,Abdulaziz Alhazmi,
Arnold Amateur - IFBB,WelterWeight,3,Nicolas D Gorney,
Arnold Amateur - IFBB,WelterWeight,4,Todd Forkell,
Arnold Amateur - IFBB,WelterWeight,5,Omar Holt,
Arnold Amateur - IFBB,LightWeight,1,Ahmad Matour,
Arnold Amateur - IFBB,LightWeight,2,Christo Jose,
Arnold Amateur - IFBB,LightWeight,3,Erick Ramirez (3),
Arnold Amateur - IFBB,LightWeight,4,Rick Krause,
Arnold Amateur - IFBB,LightWeight,5,Samir Husidic,
Arnold Amateur - IFBB,LightWeight,6,Kob Yan,
Arnold Amateur - IFBB,BantamWeight,1,Anoop Premkumar,
Arnold Amateur - IFBB,BantamWeight,2,Vishnu Persad,
Arnold Amateur - IFBB,BantamWeight,3,Alexander August,
Arnold Amateur - IFBB,Classic A,1,Thomas Collins,
Arnold Amateur - IFBB,Classic A,2,Jovany Andres Melchor,
Arnold Amateur - IFBB,Classic A,3,Munkhsaruul Altangerel,
Arnold Amateur - IFBB,Classic A,4,Christopher London,
Arnold Amateur - IFBB,Classic A,5,Abdulaziz Alhazmi,
Arnold Amateur - IFBB,Classic A,6,Mohammed Zainaldeen,
Arnold Amateur - IFBB,Classic A,7,Nicolas D Gorney,
Arnold Amateur - IFBB,Classic A,8,Steve Nguyen,
Arnold Amateur - IFBB,Classic A,9,Lavanga Subasena,
Arnold Amateur - IFBB,Classic A,10,Garry Lodoen,
Arnold Amateur - IFBB,Classic A,11,Abdul Malik,
Arnold Amateur - IFBB,Classic A,12,Kob Yan,
Arnold Amateur - IFBB,Classic A,13,Kevin Guinn,
Arnold Amateur - IFBB,Classic B,1,Carl Gauthier,
Arnold Amateur - IFBB,Classic B,2,Nicholas Morrill,
Arnold Amateur - IFBB,Classic B,3,Rohan Duncan,
Arnold Amateur - IFBB,Classic B,4,Anthony Stephens,
Arnold Amateur - IFBB,Classic B,5,Jamir Grady,
Arnold Amateur - IFBB,Classic B,6,Artem Piari,
Arnold Amateur - IFBB,Classic B,7,Francis Moniz,
Arnold Amateur - IFBB,Classic B,8,Jake Walker,
Arnold Amateur - IFBB,Classic B,9,Gregory Harvey,
Arnold Amateur - IFBB,Classic B,10,Marvin Babon,
Arnold Amateur - IFBB,Classic B,11,Artur Shaemov,
Arnold Amateur - IFBB,Classic B,12,Roberto Castello,
Arnold Amateur - IFBB,Classic B,13,Pedrum Porsolton Mohammadi,
Arnold Amateur - IFBB,Classic B,14,Christian Powell,
Arnold Amateur - IFBB,Classic B,15,Isreal Santiestchaud,
Arnold Amateur - IFBB,Classic B,-,Sebastien Bertin,
Arnold Amateur - IFBB,Classic B,-,Nick Butler,
Arnold Amateur - IFBB,Classic B,-,Carlos Cintron,
Arnold Amateur - IFBB,Classic B,-,Daniel Fletcher,
Arnold Amateur - IFBB,Classic B,-,Kirill Geyt,
Arnold Amateur - IFBB,Classic B,-,Raymond Harris,
Arnold Amateur - IFBB,Classic B,-,Mason Lobb,
Arnold Amateur - IFBB,Classic B,-,Jim Nettles,
Arnold Amateur - IFBB,Classic B,-,Bobby Rana,
Arnold Amateur - IFBB,Classic B,-,P J Roman,
Arnold Amateur - IFBB,Classic B,-,Mauricio Romero,
Arnold Amateur - IFBB,Classic B,-,Peter Sisson,
Arnold Amateur - IFBB,Classic B,-,Tomas Skeeters,
Arnold Amateur - IFBB,Classic C,1,Fabian Mayr,
Arnold Amateur - IFBB,Classic C,2,Eric Whitfield,
Arnold Amateur - IFBB,Classic C,3,Mateusz Kolkowski,
Arnold Amateur - IFBB,Classic C,4,Jeremy Holt,
Arnold Amateur - IFBB,Classic C,5,Lucas Pinheiro,
Arnold Amateur - IFBB,Classic C,6,Gabriel Castillo,
Arnold Amateur - IFBB,Classic C,7,Mustafa Khater,
Arnold Amateur - IFBB,Classic C,8,Rashunn Lyons,
Arnold Amateur - IFBB,Classic C,9,Stefanus Kembaren,
Arnold Amateur - IFBB,Classic C,10,Cameron Stengel,
Arnold Amateur - IFBB,Classic C,11,Justin Uhl,
Arnold Amateur - IFBB,Classic C,12,Gary Post,
Arnold Amateur - IFBB,Classic C,13,Casey Wilson,
Arnold Amateur - IFBB,Classic C,14,Dmitriy Li,
Arnold Amateur - IFBB,Classic C,15,Skylar Schumm,
Arnold Amateur - IFBB,Classic C,-,Quentin Berghmans,
Arnold Amateur - IFBB,Classic C,-,Pierre Bouquiaux,
Arnold Amateur - IFBB,Classic C,-,Lloyd Celony,
Arnold Amateur - IFBB,Classic C,-,Scott Dettro,
Arnold Amateur - IFBB,Classic C,-,Noah Fox,
Arnold Amateur - IFBB,Classic C,-,Jacob Huang,
Arnold Amateur - IFBB,Classic C,-,Richard Klepach,
Arnold Amateur - IFBB,Classic C,-,Pawan Lapborisuth,
Arnold Amateur - IFBB,Classic C,-,Darren Norris,
Arnold Amateur - IFBB,Classic C,-,Robert Norton,
Arnold Amateur - IFBB,Classic C,-,Joshua Quick,
Arnold Amateur - IFBB,Classic C,-,Daniel Raper,
Arnold Amateur - IFBB,Classic C,-,Ginkai Ro,
Arnold Amateur - IFBB,Classic C,-,Cameron Russulla,
Arnold Amateur - IFBB,Classic C,-,Josh Smith,
Arnold Amateur - IFBB,Classic C,-,Valentine Stephanou,
Arnold Amateur - IFBB,Classic C,-,Torrmall Thomas,
Arnold Amateur - IFBB,Classic C,-,Ivan Voineac,
Arnold Amateur - IFBB,Classic C,-,Donovan Wilson,
Arnold Classic - IFBB,Open,1,William Kwaku Bonac,
Arnold Classic - IFBB,Open,2,Dexter Jackson,
Arnold Classic - IFBB,Open,3,Mamdouh Elssbiay,
Arnold Classic - IFBB,Open,4,Stephen Kuclo,
Arnold Classic - IFBB,Open,5,Sergio Oliva Jr,
Arnold Classic - IFBB,Open,6,Cedric McMillan,
Arnold Classic - IFBB,Open,7,Akeim Williams,
