Competition,Category,Place,Name,Score
Dunes Classic - IFBB,Tall,1,Connie Shackelford,
Dunes Classic - IFBB,Tall,2,Jackie Wieland,
Dunes Classic - IFBB,Tall,3,Colleen Flaherty,
Dunes Classic - IFBB,Short,1,Jose Baumgartner,
Dunes Classic - IFBB,Short,2,Billie Scott,
Dunes Classic - IFBB,Short,3,Doreen Deriggi,
European Amateur Championships - IFBB,HeavyWeight,1,Kike Elomaa
  (Finland),
European Amateur Championships - IFBB,HeavyWeight,2,Lena Trulsson
  (Sweden),
European Amateur Championships - IFBB,HeavyWeight,3,Vera Bendel
  (West Germany),
European Amateur Championships - IFBB,HeavyWeight,4,Carolyn Cheshire,
European Amateur Championships - IFBB,HeavyWeight,5,Heidi Oysether,
European Amateur Championships - IFBB,HeavyWeight,6,Angela Graham
  (England),
European Amateur Championships - IFBB,HeavyWeight,6,Hildegard Schaeffer,
European Amateur Championships - IFBB,HeavyWeight,8,Vera Cools,
European Amateur Championships - IFBB,HeavyWeight,9,Christa Duker,
European Amateur Championships - IFBB,HeavyWeight,10,Bernadette Carreras,
European Amateur Championships - IFBB,LightWeight,1,Astrid Aschwender
  (Switzerland),
European Amateur Championships - IFBB,LightWeight,2,Sue Tonks
  (England),
European Amateur Championships - IFBB,LightWeight,3,Jacqueline Roos
  (Netherlands),
European Amateur Championships - IFBB,LightWeight,4,Dagmar Zuso,
European Amateur Championships - IFBB,LightWeight,5,Josian Jamar,
European Amateur Championships - IFBB,LightWeight,6,Jose Baumgartner
  (France),
European Amateur Championships - IFBB,LightWeight,7,Carol White,
European Amateur Championships - IFBB,LightWeight,8,Marie Cabrol
  (France),
Grand Prix Montreal - IFBB,,1,Shelley Gruwell,
Grand Prix Montreal - IFBB,,2,Sherry Atton,
Grand Prix Montreal - IFBB,,3,Kay Baxter,
Night of Champions - IFBB,,1,Carla Dunlap,
Night of Champions - IFBB,,2,Cynthia Williams (1),
Night of Champions - IFBB,,3,Maro Bchakjian,
Night of Champions - IFBB,,4,Patti Gogis,
Night of Champions - IFBB,,5,Shirley Kemper,
Night of Champions - IFBB,,6,Joan Hobbie,
Night of Champions - IFBB,,7,Valerie Mayers,
Night of Champions - IFBB,,8,Barbara Lamb,
Night of Champions - IFBB,,9,Cindy Cittidari,
Olympia - IFBB,,1,Kike Elomaa,
Olympia - IFBB,,2,Rachel McLish,
Olympia - IFBB,,3,Lynn Conkwright,
Olympia - IFBB,,4,Laura Combes,
Olympia - IFBB,,5,Georgia Fudge,
Olympia - IFBB,,6,Candy Csencsits,
Olympia - IFBB,,7,Corine Machado-Ching,
Olympia - IFBB,,8,Marie Frances Misat,
Olympia - IFBB,,9,Anita Gandol,
Olympia - IFBB,,10,Melinda Perper,
Olympia - IFBB,,11,Kyle Newman,
Olympia - IFBB,,12,Karen Wainwright,
Olympia - IFBB,,13,Ellen Davis,
Olympia - IFBB,,14,April Nicotra,
Olympia - IFBB,,15,Astrid Aschwender,
Olympia - IFBB,,16,Vera Bendel,
Olympia - IFBB,,17,Donna Frame,
Olympia - IFBB,,18,Carolyn Cheshire,
Olympia - IFBB,,19,Debbie Lemmel,
Olympia - IFBB,,20,Lorie Johnston,
World Pro Championships - IFBB,,1,Lynn Conkwright,
World Pro Championships - IFBB,,2,Kay Baxter,
World Pro Championships - IFBB,,3,Corine Machado-Ching,
World Pro Championships - IFBB,,4,Carla Dunlap,
World Pro Championships - IFBB,,5,Deborah Diana,
World Pro Championships - IFBB,,6,Laura Combes,
World Pro Championships - IFBB,,7,Georgia Fudge,
World Pro Championships - IFBB,,8,Lisa Elliot,
World Pro Championships - IFBB,,9,Madeline Almeida,
World Pro Championships - IFBB,,10,April Nicotra,
World Pro Championships - IFBB,,12,Mimi Rivest,
World Pro Championships - IFBB,,13,Carolyn Cheshire,
World Pro Championships - IFBB,,14,Ilyeana Vajakas,
World Pro Championships - IFBB,,15,Carole Bennett,
World Pro Championships - IFBB,,16,Lindsay Summers,
