Competition,Category,Place,Name,Score
Mr America - IFBB,Tall,1,Carroll Miles Ailman,
Mr America - IFBB,Tall,2,Larry Powers,
Mr America - IFBB,Tall,3,Jerry Howard,
Mr America - IFBB,Medium,1,Larry Scott,
Mr America - IFBB,Medium,2,Rock Stonewall (Jesse),
Mr America - IFBB,Medium,3,Millard Williamson,
Mr America - IFBB,Short,1,John Tristram,
Mr America - IFBB,Short,2,John Benefield,
Mr America - IFBB,Short,3,John Bianculli,
Mr Canada - IFBB,,1,John Hazel,
Mr Canada - IFBB,,2,Charles Harve,
Mr Canada - IFBB,,3,Andre Desjeans,
Mr Canada - IFBB,Most Muscular,1,Rene Trempe,
Mr Canada - IFBB,Most Muscular,2,Guy Lachapelle,
Mr Canada - IFBB,Most Muscular,3,Gaston Bernard,
Mr Canada - IFBB,Junior,1,Marcel Larouche,
North American Championships - IFBB,,1,Yves Lafontaine,
North American Championships - IFBB,,2,Henri DeCourcy,
North American Championships - IFBB,,3,Robert Couture,
North American Championships - IFBB,Junior,1,Gaetan D'Amours,
North American Championships - IFBB,Junior,2,Theo Tremblay,
North American Championships - IFBB,Junior,3,Maurice Levacher,
Universe - IFBB,Tall,1,Jean-Charles St Mars,
Universe - IFBB,Tall,2,Gene Shuey,
Universe - IFBB,Tall,3,Charles Harve,
Universe - IFBB,Medium,1,George Eiferman,
Universe - IFBB,Medium,2,Burnell Williams,
Universe - IFBB,Medium,3,Sydney Roberson,
Universe - IFBB,Short,1,Freddy Ortiz,
Universe - IFBB,Short,2,Gerald Boily,
Universe - IFBB,Short,3,Jimmy Ferri,
Universe - IFBB,Most Muscular,1,Kingsley Poitier,
Mr World - IFBB,Tall,1,Jean-Charles St Mars,
Mr World - IFBB,Tall,2,Andre Depere,
Mr World - IFBB,Tall,3,Yvon Valee,
Mr World - IFBB,Short,1,Jose Castañeda Lence,
Mr World - IFBB,Short,2,Jay Gonzalez,
Mr World - IFBB,Short,3,Rudolph Beecham,
