Competition,Category,Place,Name,Score
Arnold Amateur - IFBB,HeavyWeight,1,Maria Segura,
Arnold Amateur - IFBB,HeavyWeight,2,Marylynne MacKenzie,
Arnold Amateur - IFBB,HeavyWeight,3,Marcia Ferguson,
Arnold Amateur - IFBB,HeavyWeight,4,Evy Rustad,
Arnold Amateur - IFBB,HeavyWeight,5,Fie Ottosen,
Arnold Amateur - IFBB,HeavyWeight,6,Barbara Barnowich,
Arnold Amateur - IFBB,HeavyWeight,7,Colleen Brock,
Arnold Amateur - IFBB,MiddleWeight,1,Holly Nicholson,
Arnold Amateur - IFBB,MiddleWeight,2,Alicia Germaine,
Arnold Amateur - IFBB,MiddleWeight,3,Becky West,
Arnold Amateur - IFBB,MiddleWeight,4,Carrie Ann Simmons,
Arnold Amateur - IFBB,MiddleWeight,5,Christy Resendes,
Arnold Amateur - IFBB,MiddleWeight,6,Ayeda Silent,
Arnold Amateur - IFBB,MiddleWeight,7,Alisha Morrow,
Arnold Amateur - IFBB,MiddleWeight,8,Ebony Thomas,
Arnold Amateur - IFBB,LightWeight,1,Joanne Stewart,
Arnold Amateur - IFBB,LightWeight,2,Millie Cleveland,
Arnold Amateur - IFBB,LightWeight,3,Glenda Bozett,
Arnold Amateur - IFBB,LightWeight,4,Maryann Glascock,
Arnold Amateur - IFBB,LightWeight,5,Dee Lazard,
Arnold Amateur - IFBB,LightWeight,6,Lisa Janusz,
Arnold Amateur - IFBB,LightWeight,7,Carrie Walend,
Arnold Amateur - IFBB,LightWeight,8,Genevieve Moreno,
Arnold Amateur - IFBB,LightWeight,9,Lori Snyder,
Arnold Amateur - IFBB,LightWeight,10,Penny Ruff,
Arnold Amateur - IFBB,LightWeight,11,Antoinette Gast,
Arnold Amateur - IFBB,LightWeight,12,Ellen Ferra,
Arnold Amateur - IFBB,Figure A,1,Linda Fodor-Egelstig,
Arnold Amateur - IFBB,Figure A,2,Melissa Froio,
Arnold Amateur - IFBB,Figure A,3,Lindsey Bundy,
Arnold Amateur - IFBB,Figure A,4,Kandi Allen,
Arnold Amateur - IFBB,Figure A,5,Kelly Correa,
Arnold Amateur - IFBB,Figure A,6,Debbie Bell,
Arnold Amateur - IFBB,Figure A,7,Catherine Norris,
Arnold Amateur - IFBB,Figure A,8,Jennifer Hoffman,
Arnold Amateur - IFBB,Figure A,9,Stacey Pillari,
Arnold Amateur - IFBB,Figure A,10,Shawna Kondo,
Arnold Amateur - IFBB,Figure A,11,Patricia Crvich,
Arnold Amateur - IFBB,Figure B,1,Candice Houston,
Arnold Amateur - IFBB,Figure B,2,Glenese Markes,
