Competition,Category,Place,Name,Score
Mr America - IFBB,Tall,1,Dave Draper,
Mr America - IFBB,Tall,2,Chester Yorton,
Mr America - IFBB,Tall,3,David Sheppard (2),
Mr America - IFBB,Medium,1,Nick Perrotti,
Mr America - IFBB,Medium,2,Mike Ferraro,
Mr America - IFBB,Medium,3,Irvin Koszewski (Zabo),
Mr America - IFBB,Short,1,Joe Nista,
Mr America - IFBB,Short,2,Johnny Maldonado,
Mr America - IFBB,Short,3,Bernard Booth,
Mr America - IFBB,Most Muscular,1,Chester Yorton,
Mr Canada - IFBB,,1,Conrad Laframboise,
Mr Canada - IFBB,,2,Vic Downs,
Mr Canada - IFBB,Most Muscular,1,Vic Downs,
Mr Canada - IFBB,Most Muscular,2,Paul Bouchard,
Mr Canada - IFBB,Most Muscular,3,Dan Walker (1),
Mr Canada - IFBB,Junior,1,Tony Okinas,
Mr Canada - IFBB,Junior,2,Louis Hallosi,
Mr Canada - IFBB,Junior,3,Jean Pierre Sciotte,
Mr East Coast - IFBB,Tall,1,John Romeo,
Mr East Coast - IFBB,Tall,2,Nick Perrotti,
Mr East Coast - IFBB,Tall,3,Frank Zane,
Mr East Coast - IFBB,Tall,4,Calvin Strong,
Mr East Coast - IFBB,Tall,5,Phil Broeg,
Mr East Coast - IFBB,Short,1,Johnny Maldonado,
Mr East Coast - IFBB,Short,2,John Benefield,
Mr East Coast - IFBB,Short,3,Felix Rivera,
Mr East Coast - IFBB,Short,4,Roman Austin,
Mr East Coast - IFBB,Short,5,Pablo Santana,
Mr East Coast - IFBB,Teen Tall,1,Tommy Aybar,
Mr East Coast - IFBB,Teen Tall,2,Robert Ascolese,
Mr East Coast - IFBB,Teen Tall,3,Brian Lessard,
Mr East Coast - IFBB,Teen Tall,4,Jerry Pass,
Mr East Coast - IFBB,Teen Short,1,Bernard Booth,
Mr East Coast - IFBB,Teen Short,2,Gary Levy,
Mr East Coast - IFBB,Teen Short,3,Carl Anderson,
Mr East Coast - IFBB,Teen Short,4,Daniel Molinari,
Mr East Coast - IFBB,Teen Short,5,David Mastorakis,
Junior Mr America - IFBB,Medium,1,Frank Zane,
Junior Mr America - IFBB,Medium,2,Harry Scott,
Junior Mr America - IFBB,Medium,3,Allen Keene,
Junior Mr America - IFBB,Short,1,Johnny Maldonado,
Junior Mr America - IFBB,Short,2,Eddie Giuliani,
Mr Northeastern States - IFBB,Tall,1,Allen Keene,
Mr Northeastern States - IFBB,Tall,2,Larry Powers,
Mr Northeastern States - IFBB,Tall,3,John Romeo,
Mr Northeastern States - IFBB,Medium,1,Nick Perrotti,
Mr Northeastern States - IFBB,Medium,2,Pablo Santana,
Mr Northeastern States - IFBB,Medium,3,Felix Rivera,
Mr Northeastern States - IFBB,Short,1,Eddie Giuliani,
Mr Northeastern States - IFBB,Short,2,Louis Arnau,
Mr Northeastern States - IFBB,Short,3,Paul Mastropasqua,
Mr Northeastern States - IFBB,Junior,1,Roman Austin,
Mr Northeastern States - IFBB,Junior,2,Tommy Aybar,
Mr Northeastern States - IFBB,Junior,3,Carl Anderson,
Mr Northeastern States - IFBB,Junior,4,Gary Levy,
Mr Northeastern States - IFBB,Junior,5,Victor Miranda,
Olympia - IFBB,,1,Larry Scott,
Olympia - IFBB,,2,Harold Poole,
Olympia - IFBB,,3,Earl Maynard,
Universe - IFBB,Tall,1,Earl Maynard,
Universe - IFBB,Tall,2,Christopher Forde,
Universe - IFBB,Tall,3,Glen Wells,
Universe - IFBB,Medium,1,Frank Zane,
Universe - IFBB,Medium,2,Sam Martin,
Universe - IFBB,Medium,3,Eddie Davis,
Universe - IFBB,Short,1,Rick Wayne,
Universe - IFBB,Short,2,Rock Stonewall (Jesse),
Universe - IFBB,Short,3,Guillermo Maldonado,
Universe - IFBB,Most Muscular,1,Rock Stonewall (Jesse),
Mr World - IFBB,Most Muscular,1 (Short),Nick Perrotti,
Mr World - IFBB,Most Muscular,1 (Tall),R Henault,
