Competition,Category,Place,Name,Score
Asian Amateur Championships - IFBB,HeavyWeight,1,Malek Noor
  (Malaysia),
Asian Amateur Championships - IFBB,HeavyWeight,2,Abbas Jabbar
  (Iraq),
Asian Amateur Championships - IFBB,HeavyWeight,3,Hassan Saleh Ali
  (Bahrain),
Asian Amateur Championships - IFBB,Light-HeavyWeight,1,Prem Chand Degra
  (India),
Asian Amateur Championships - IFBB,Light-HeavyWeight,2,Ahmad Hadi Abbas
  (Iraq),
Asian Amateur Championships - IFBB,Light-HeavyWeight,3,Chan Wing Chung
  (Hong Kong),
Asian Amateur Championships - IFBB,MiddleWeight,1,Sammy Ayochok
  (Philippines),
Asian Amateur Championships - IFBB,MiddleWeight,2,Imad Jasim Mahmoud
  (Iraq),
Asian Amateur Championships - IFBB,MiddleWeight,3,Kang Kyung Soon
  (Korea),
Asian Amateur Championships - IFBB,WelterWeight,1,Fatholomein Ali
  (Singapore),
Asian Amateur Championships - IFBB,WelterWeight,2,Mahmoud Ahmed Zaidan
  (Iraq),
Asian Amateur Championships - IFBB,WelterWeight,3,Lee Hyun Moon
  (Korea),
Asian Amateur Championships - IFBB,LightWeight,1,Han Dong Ki
  (Korea),
Asian Amateur Championships - IFBB,LightWeight,2,Yousif Ahmed Hassan
  (Iraq),
Asian Amateur Championships - IFBB,LightWeight,3,Levi Rumbewas
  (Indonesia),
Asian Amateur Championships - IFBB,BantamWeight,1,Ibrahim Bin Sihat
  (Singapore),
Asian Amateur Championships - IFBB,BantamWeight,2,Bang Woon Hyuk
  (Korea),
Asian Amateur Championships - IFBB,BantamWeight,3,Akio Kawakami    川上昭雄

  (Japan),
Detroit Pro Championships - IFBB,,1,Mike Ashley,
Detroit Pro Championships - IFBB,,2,Shane DiMora,
Detroit Pro Championships - IFBB,,3,Ron Love,
Detroit Pro Championships - IFBB,,4,Mike Quinn,
Detroit Pro Championships - IFBB,,5,Charles Glass,
Detroit Pro Championships - IFBB,,6,Tom Platz,
Detroit Pro Championships - IFBB,,7,Ali Malla,
Detroit Pro Championships - IFBB,,8,John Brown,
Detroit Pro Championships - IFBB,,9,Wayne Robbins,
European Amateur Championships - IFBB,HeavyWeight,1,Michael Devitis,
European Amateur Championships - IFBB,HeavyWeight,2,Alfred Neugebauer,
European Amateur Championships - IFBB,HeavyWeight,3,Jurgen Stickelbrock,
European Amateur Championships - IFBB,HeavyWeight,4,Peter Keranen,
European Amateur Championships - IFBB,HeavyWeight,5,Lennart Matihainen,
European Amateur Championships - IFBB,Light-HeavyWeight,1,Pavol Jablonicky,
European Amateur Championships - IFBB,Light-HeavyWeight,2,Armando Defant,
European Amateur Championships - IFBB,Light-HeavyWeight,3,Gerhard Harlos,
European Amateur Championships - IFBB,Light-HeavyWeight,4,Mirosław Daszkiewicz,
European Amateur Championships - IFBB,Light-HeavyWeight,5,Thomas Scheu,
European Amateur Championships - IFBB,MiddleWeight,1,Miroslav Jastrebski,
European Amateur Championships - IFBB,MiddleWeight,2,Ereyetis Kurtural,
European Amateur Championships - IFBB,MiddleWeight,3,Anton Holic,
European Amateur Championships - IFBB,MiddleWeight,4,Ali Tez,
European Amateur Championships - IFBB,MiddleWeight,5,Reto Frankhauser,
European Amateur Championships - IFBB,LightWeight,1,Bernd Haid,
European Amateur Championships - IFBB,LightWeight,2,Marion Wysochi,
European Amateur Championships - IFBB,LightWeight,3,Luciano Andreose,
European Amateur Championships - IFBB,LightWeight,4,Franz Haas,
European Amateur Championships - IFBB,LightWeight,5,Eric Pieters,
European Amateur Championships - IFBB,LightWeight,6,Mohammed Bouchabi,
French Championships - IFBB,HeavyWeight,1,Georges Torelli,
French Championships - IFBB,Light-HeavyWeight,1,Jean Michael Sorel,
French Championships - IFBB,MiddleWeight,1,Bob Lachat,
French Championships - IFBB,LightWeight,1,Jose Leroux,
Grand Prix France - IFBB,,1,Rich Gaspari,
Grand Prix France - IFBB,,2,Robby Robinson,
Grand Prix France - IFBB,,3,Lee Labrada,
Grand Prix France - IFBB,,4,Albert Beckles,
Grand Prix France - IFBB,,5,Mike Christian,
Grand Prix France - IFBB,,6,Berry DeMey,
Grand Prix France - IFBB,,7,Paul Jean-Guillaume,
Grand Prix France - IFBB,,8,Edouard Kawak,
Grand Prix France - IFBB,,9,Ron Love,
Grand Prix France - IFBB,,10,Mike Ashley,
Grand Prix France - IFBB,,-,Appie Steenbeek,
Grand Prix Germany (2) - IFBB,,1,Lee Haney,
