Competition,Category,Place,Name,Score
Canada Pro Cup - IFBB,,1,Laura Binetti,
Canada Pro Cup - IFBB,,2,Christa Bauch,
Canada Pro Cup - IFBB,,3,Muriane Nicolas,
Canada Pro Cup - IFBB,,4,Yvonne Vasquez,
Canada Pro Cup - IFBB,,5,Joanne Lee,
Canada Pro Cup - IFBB,,6,Stacy Ross,
Canada Pro Cup - IFBB,,7,Sandra Blackie (1),
Canada Pro Cup - IFBB,,8,Francesca Petitjean,
Canada Pro Cup - IFBB,,9,Mary Ellen Jerumbo,
Canada Pro Cup - IFBB,,10,Jennifer White,
Canada Pro Cup - IFBB,,11,Katalin Rubos,
European Amateur Championships - IFBB,HeavyWeight,1,Beate Drabing
  (Austria),
European Amateur Championships - IFBB,HeavyWeight,2,Marika Blankenstein
  (Germany),
European Amateur Championships - IFBB,HeavyWeight,3,Angelika Loebardt
  (Germany),
European Amateur Championships - IFBB,HeavyWeight,4,Zdenka Tvrda
  (Czech Republic),
European Amateur Championships - IFBB,HeavyWeight,5,Tatyana Ionenko
  (Ukraine),
European Amateur Championships - IFBB,HeavyWeight,6,Zdenka Razymova
  (Czech Republic),
European Amateur Championships - IFBB,MiddleWeight,1,Beatrix Gluck
  (Germany),
European Amateur Championships - IFBB,MiddleWeight,2,Valentina Chepiga
  (Ukraine),
European Amateur Championships - IFBB,MiddleWeight,3,Elena Dovidova
  (Russia),
European Amateur Championships - IFBB,MiddleWeight,4,Antonella Guasti,
European Amateur Championships - IFBB,MiddleWeight,5,Guzel Akgul
  (Netherlands),
European Amateur Championships - IFBB,MiddleWeight,6,Julia Stefanovitch
  (Russia),
European Amateur Championships - IFBB,LightWeight,1,Christine Noel
  (France),
European Amateur Championships - IFBB,LightWeight,2,Catherine Pilain
  (France),
European Amateur Championships - IFBB,LightWeight,3,Angelina Cilione
  (Italy),
European Amateur Championships - IFBB,LightWeight,4,Iryna Petrenko
  (Ukraine),
European Amateur Championships - IFBB,LightWeight,5,Inna Uit
  (Estonia),
European Amateur Championships - IFBB,LightWeight,6,Patricia Veldman
  (Netherlands),
French Championships - IFBB,HeavyWeight,1,Nadia Kara,
French Championships - IFBB,MiddleWeight,1,Danielle Pisella,
French Championships - IFBB,LightWeight,1,Lilianne Andre,
Grand Prix Prague - IFBB,,1,Drorit Kernes,
Grand Prix Prague - IFBB,,2,Eva Sukupova,
Grand Prix Prague - IFBB,,3,Gabriella Szikszay,
Grand Prix Prague - IFBB,,4,Skye Ryland,
Grand Prix Prague - IFBB,,5,Vickie Gates,
Grand Prix Prague - IFBB,,6,Yaxeni Oriquen,
Grand Prix Prague - IFBB,,7,Janet Marchi,
Grand Prix Prague - IFBB,,8,Meral Ertunc,
Grand Prix Prague - IFBB,,9,Debbie McKnight,
Grand Prix Prague - IFBB,,9,Stacy Ross,
Grand Prix Prague - IFBB,,11,Susanna Kieserly,
Grand Prix Prague - IFBB,,12,Francesca Petitjean,
Grand Prix Prague - IFBB,,13,Kimberley Ann Jones,
Grand Prix Prague - IFBB,,14,Ursula Teply,
Grand Prix Prague - IFBB,,15,Mishay Santos,
Grand Prix Prague - IFBB,,16,Joanne Lee,
Grand Prix Prague - IFBB,,17,Sandra Berry,
Grand Prix Prague - IFBB,,18,Mary Ellen Jerumbo,
Grand Prix Prague - IFBB,,19,Lisetta Hansen,
Ms International - IFBB,,1,Laura Creavalle,
Ms International - IFBB,,2,Debbie Muggli,
Ms International - IFBB,,3,Yolanda Hughes,
Ms International - IFBB,,4,Marie Mahabir,
Ms International - IFBB,,5,Kim Chizevsky,
Ms International - IFBB,,6,Sharon Bruneau,
Ms International - IFBB,,7,Audrey Harris,
Ms International - IFBB,,8,Laura Binetti,
Ms International - IFBB,,9,Laura Bass,
Ms International - IFBB,,10,Yvonne Vasquez,
Ms International - IFBB,,11,Astrid Falconi,
Ms International - IFBB,,12,Laura Carolan,
Ms International - IFBB,,13,Gillian Hodge,
Ms International - IFBB,,14,Paula Bircumshaw,
Jan Tana Pro Classic - IFBB,,1,Sue Price,
Jan Tana Pro Classic - IFBB,,2,Drorit Kernes,
Jan Tana Pro Classic - IFBB,,3,Tazzie Colomb,
Jan Tana Pro Classic - IFBB,,4,Vickie Gates,
Jan Tana Pro Classic - IFBB,,5,Yvonne Vasquez,
Jan Tana Pro Classic - IFBB,,6,Skye Ryland,
Jan Tana Pro Classic - IFBB,,7,Michelle Andrea,
Jan Tana Pro Classic - IFBB,,8,Stacy Ross,
Jan Tana Pro Classic - IFBB,,9,Meral Ertunc,
Jan Tana Pro Classic - IFBB,,10,Yaxeni Oriquen,
Jan Tana Pro Classic - IFBB,,11,Katalin Rubos,
Jan Tana Pro Classic - IFBB,,12,Eva Sukupova,
Jan Tana Pro Classic - IFBB,,13,Mary Ellen Jerumbo,
Jan Tana Pro Classic - IFBB,,14,Joanne Lee,
Jan Tana Pro Classic - IFBB,,15,Amelia Hernandez,
Jan Tana Pro Classic - IFBB,,16,Laura Vukov,
Jan Tana Pro Classic - IFBB,,17,Ursula Teply,
Jan Tana Pro Classic - IFBB,,18,Yurie Iijima    飯島ゆりえ,
North American Championships - IFBB,HeavyWeight,1,Brenda Raganot,
North American Championships - IFBB,HeavyWeight,2,Heather Tristany,
North American Championships - IFBB,HeavyWeight,3,Leilani Dalumpines,
North American Championships - IFBB,HeavyWeight,4,Carmen Brady,
North American Championships - IFBB,HeavyWeight,5,Marisol Almela,
North American Championships - IFBB,HeavyWeight,6,Sally McNeil,
North American Championships - IFBB,HeavyWeight,7,Margaret Murphy,
North American Championships - IFBB,HeavyWeight,8,Petula Gillingham,
North American Championships - IFBB,HeavyWeight,9,Nikki Limpert,
North American Championships - IFBB,HeavyWeight,10,Kate Cadieux,
North American Championships - IFBB,HeavyWeight,11,Gabriela Garduno,
North American Championships - IFBB,HeavyWeight,12,Myriam Bustamante,
North American Championships - IFBB,HeavyWeight,13,Lourdes Gutierrez,
North American Championships - IFBB,MiddleWeight,1,Jodi Friedman,
North American Championships - IFBB,MiddleWeight,2,Michelle Ivers-Brent,
North American Championships - IFBB,MiddleWeight,3,Lourdes Bermuda,
North American Championships - IFBB,MiddleWeight,4,Jackie Ludy,
North American Championships - IFBB,LightWeight,1,Martha Sanchez,
North American Championships - IFBB,LightWeight,2,Isaura Jacome,
North American Championships - IFBB,LightWeight,3,Danét Seely,
North American Championships - IFBB,LightWeight,4,Rosalinea Ruiz,
North American Championships - IFBB,LightWeight,5,Gabriela Bermudez,
Olympia - IFBB,,1,Lenda Murray,
Olympia - IFBB,,2,Laura Creavalle,
Olympia - IFBB,,3,Debbie Muggli,
Olympia - IFBB,,4,Marie Mahabir,
Olympia - IFBB,,5,Audrey Harris,
Olympia - IFBB,,6,Sue Price,
Olympia - IFBB,,7,Drorit Kernes,
Olympia - IFBB,,8,Yolanda Hughes,
Olympia - IFBB,,9,Muriane Nicolas,
Olympia - IFBB,,10,Diana Dennis,
