Competition,Category,Place,Name,Score
Olympia - IFBB,,3,Frank Zane,
Olympia - IFBB,,4,Boyer Coe,
Olympia - IFBB,,5,Mike Mentzer,
Olympia - IFBB,,6,Roger Walker,
Olympia - IFBB,,7,Roy Callendar,
Olympia - IFBB,,8,Dennis Tinerino,
Olympia - IFBB,,9,Tom Platz,
Olympia - IFBB,,10,Danny Padilla,
Olympia - IFBB,,11,Ed Corney,
Olympia - IFBB,,12,Tony Emmott,
Olympia - IFBB,,13,Roy Duval,
Olympia - IFBB,,14,Casey Viator,
Olympia - IFBB,,15,Samir Bannout,
Olympia - IFBB,,16,Ken Waller,
Pittsburgh Pro Invitational - IFBB,,1,Casey Viator,
Pittsburgh Pro Invitational - IFBB,,2,Chris Dickerson,
Pittsburgh Pro Invitational - IFBB,,3,Roy Callendar,
Pittsburgh Pro Invitational - IFBB,,4,Robby Robinson,
Pittsburgh Pro Invitational - IFBB,,5,Boyer Coe,
Pittsburgh Pro Invitational - IFBB,,6,Ed Corney,
Pittsburgh Pro Invitational - IFBB,,-,Samir Bannout,
Pittsburgh Pro Invitational - IFBB,,-,Ken Waller,
Universe - Pro - IFBB,,1,Jusup Wilkosz,
Universe - Pro - IFBB,,2,Tom Platz,
Universe - Pro - IFBB,,3,Bob Birdsong,
Universe - Pro - IFBB,,4,Albert Beckles,
Universe - Pro - IFBB,,5,Greg DeFerro,
Universe - Pro - IFBB,,6,Mohamed Makkawy,
Universe - Pro - IFBB,,-,Ed Corney,
Universe - Pro - IFBB,,-,Steve Davis (1),
Universe - Pro - IFBB,,-,Roy Duval,
Universe - Pro - IFBB,,-,Mike Katz,
Universe - Pro - IFBB,,-,Carlos Rodriguez,
World Amateur Championships - IFBB,HeavyWeight,1,Hubert Metz,
World Amateur Championships - IFBB,HeavyWeight,2,Reid Schindle,
World Amateur Championships - IFBB,HeavyWeight,3,Christian Janatsch,
World Amateur Championships - IFBB,HeavyWeight,4,Karl Kainrath,
World Amateur Championships - IFBB,HeavyWeight,5,Achmed Ibrahim,
World Amateur Championships - IFBB,HeavyWeight,6,Gary Leonard,
World Amateur Championships - IFBB,Light-HeavyWeight,1,Johnny Fuller,
World Amateur Championships - IFBB,Light-HeavyWeight,2,Bronston Austin,
World Amateur Championships - IFBB,Light-HeavyWeight,3,Keijo Reiman
  (Finland),
World Amateur Championships - IFBB,Light-HeavyWeight,4,Ulf Bengtsson,
World Amateur Championships - IFBB,Light-HeavyWeight,5,Erwin Note,
World Amateur Championships - IFBB,Light-HeavyWeight,6,John Terilli,
World Amateur Championships - IFBB,MiddleWeight,1,Jorma Raty,
World Amateur Championships - IFBB,MiddleWeight,2,Richard Baldwin,
World Amateur Championships - IFBB,MiddleWeight,3,Richard Jonkers,
World Amateur Championships - IFBB,MiddleWeight,4,Doug Ross,
World Amateur Championships - IFBB,MiddleWeight,5,Robert Dantlinger,
World Amateur Championships - IFBB,MiddleWeight,6,Michel Dermaux,
World Amateur Championships - IFBB,LightWeight,1,Heinz Sallmayer,
World Amateur Championships - IFBB,LightWeight,2,Ken Passariello,
World Amateur Championships - IFBB,LightWeight,3,Ray Beaulieu,
World Amateur Championships - IFBB,LightWeight,4,Esmat Sadek,
World Amateur Championships - IFBB,LightWeight,5,Harry Derglin,
World Amateur Championships - IFBB,LightWeight,6,Steven Newton,
World Pro Championships - IFBB,,1,Jusup Wilkosz,
World Pro Championships - IFBB,,2,Tom Platz,
World Pro Championships - IFBB,,3,Bob Birdsong,
World Pro Championships - IFBB,,4,Albert Beckles,
World Pro Championships - IFBB,,5,Mohamed Makkawy,
World Pro Championships - IFBB,,6,Greg DeFerro,
World Pro Championships - IFBB,,-,Ed Corney,
World Pro Championships - IFBB,,-,Steve Davis (1),
World Pro Championships - IFBB,,-,Roy Duval,
World Pro Championships - IFBB,,-,Mike Katz,
World Pro Championships - IFBB,,-,Carlos Rodriguez,
