Competition,Category,Place,Name,Score
Mr America - IFBB,Tall,1,Harold Poole,
Mr America - IFBB,Tall,2,Chester Yorton,
Mr America - IFBB,Tall,3,Don Howorth,
Mr America - IFBB,Medium,1,Hugo Labra,
Mr America - IFBB,Medium,2,Dominick Juliano,
Mr America - IFBB,Medium,3,Nick Perrotti,
Mr America - IFBB,Short,1,Freddy Ortiz,
Mr America - IFBB,Short,2,Joe Nista,
Mr America - IFBB,Short,3,Johnny Maldonado,
Mr Atlantic Coast - IFBB,Tall,1,Allen Keene,
Mr Atlantic Coast - IFBB,Tall,2,Larry Powers,
Mr Atlantic Coast - IFBB,Tall,3,John Romero (1),
Mr Atlantic Coast - IFBB,Tall,4,Allen Jeffreys,
Mr Atlantic Coast - IFBB,Medium,1,Nick Perrotti,
Mr Atlantic Coast - IFBB,Medium,2,Eddie Robinson (3),
Mr Atlantic Coast - IFBB,Medium,3,Frederick Hatfield,
Mr Atlantic Coast - IFBB,Medium,4,James Speight,
Mr Atlantic Coast - IFBB,Short,1,Paul Mastropasqua,
Mr Atlantic Coast - IFBB,Short,2,Carmine Lupini,
Mr Atlantic Coast - IFBB,Short,3,Anthony Pandolfo,
Mr Atlantic Coast - IFBB,Short,4,Henry Jinks,
Mr Atlantic Coast - IFBB,Junior,1,Roman Austin,
Mr Atlantic Coast - IFBB,Junior,2,Bernard Booth,
Mr Atlantic Coast - IFBB,Junior,3,Victor Miranda,
Mr Atlantic Coast - IFBB,Junior,4,Christopher Gordon,
Mr Atlantic Coast - IFBB,Junior,5,Royal Colditz,
Mr Canada - IFBB,,1,Dennis Gauthier,
Mr Canada - IFBB,,2,Vic Downs,
Mr Canada - IFBB,Junior,1,Pierre Dupuy,
Mr Canada - IFBB,Junior,2,Normand Roberge,
Mr East Coast - IFBB,Tall,1,Allen Keene,
Mr East Coast - IFBB,Tall,2,Larry Powers,
Mr East Coast - IFBB,Tall,3,Harry Scott,
Mr East Coast - IFBB,Tall,4,Calvin Strong,
Mr East Coast - IFBB,Tall,5,Henry Jay,
Mr East Coast - IFBB,Short,1,Carlos Rodriguez,
Mr East Coast - IFBB,Short,2,Johnny Maldonado,
Mr East Coast - IFBB,Short,3,Nick Perrotti,
Mr East Coast - IFBB,Short,4,Bernard Booth,
Mr East Coast - IFBB,Short,5,Eddie Giuliani,
