Competition,Category,Place,Name,Score
Asian Amateur Championships - IFBB,HeavyWeight,1,Abbas Al Hindawi
  (Iraq),
Asian Amateur Championships - IFBB,HeavyWeight,2,Ridwan Kodyat
  (Indonesia),
Asian Amateur Championships - IFBB,HeavyWeight,3,Chan Wing Chung
  (Hong Kong),
Asian Amateur Championships - IFBB,Light-HeavyWeight,1,Aziz Abdul Karim
  (Iraq),
Asian Amateur Championships - IFBB,Light-HeavyWeight,2,Hasashi Kuroghi
  (Japan),
Asian Amateur Championships - IFBB,Light-HeavyWeight,3,Aziz Ullah
  (Pakistan),
Asian Amateur Championships - IFBB,MiddleWeight,1,Basir Jemadi
  (Malaysia),
Asian Amateur Championships - IFBB,MiddleWeight,2,Masayuki Kikuchi    菊池正幸

  (Japan),
Asian Amateur Championships - IFBB,MiddleWeight,3,Kim Tae Pyung
  (Korea),
Asian Amateur Championships - IFBB,LightWeight,1,Ahmad Hadi Abbas
  (Iraq),
Asian Amateur Championships - IFBB,LightWeight,2,Fatholomein Ali
  (Singapore),
Asian Amateur Championships - IFBB,LightWeight,3,Muhamad Khalim
  (Indonesia),
Asian Amateur Championships - IFBB,BantamWeight,1,Moh Teck Hin
  (Singapore),
Asian Amateur Championships - IFBB,BantamWeight,2,Sunil Patra
  (India),
Asian Amateur Championships - IFBB,BantamWeight,3,Mohamed Noh
  (Malaysia),
Best in the World - IFBB,Amateur,1,Samir Bannout,
Best in the World - IFBB,Professional,1,Robby Robinson,
Best in the World - IFBB,Professional,2,Roy Callendar,
Best in the World - IFBB,Professional,3,Albert Beckles,
Best in the World - IFBB,Professional,4,Dennis Tinerino,
Best in the World - IFBB,Professional,5,Boyer Coe,
Best in the World - IFBB,Professional,5,Danny Padilla,
Canada Diamond Pro Cup - IFBB,,1,Roy Callendar,
Canada Diamond Pro Cup - IFBB,,2,Chris Dickerson,
Canada Diamond Pro Cup - IFBB,,3,Boyer Coe,
Canada Diamond Pro Cup - IFBB,,4,Dennis Tinerino,
Canada Diamond Pro Cup - IFBB,,5,Carlos Rodriguez,
Canada Diamond Pro Cup - IFBB,,6,Bill Grant,
Canada Diamond Pro Cup - IFBB,,7,Henry Caulker,
Canada Diamond Pro Cup - IFBB,,8,Mohamed Makkawy,
Canada Diamond Pro Cup - IFBB,,9,Larry Scott,
Canada Diamond Pro Cup - IFBB,,10,Kent Kuehn,
Canada Diamond Pro Cup - IFBB,,11,Joe Nazario,
Canada Pro Cup - IFBB,,1,Chris Dickerson,
Canada Pro Cup - IFBB,,2,Mike Mentzer,
Canada Pro Cup - IFBB,,3,Boyer Coe,
Canada Pro Cup - IFBB,,4,Robby Robinson,
