Competition,Category,Place,Name,Score
Asian Amateur Championships - IFBB,HeavyWeight,1,Malek Noor
  (Malaysia),
Asian Amateur Championships - IFBB,HeavyWeight,2,Ahmad Abbas Khadem
  (Iraq),
Asian Amateur Championships - IFBB,HeavyWeight,3,Salah Tahir Mahmoud
  (Iraq),
Asian Amateur Championships - IFBB,Light-HeavyWeight,1,Toshio Konuma    小沼敏雄

  (Japan),
Asian Amateur Championships - IFBB,Light-HeavyWeight,2,Imad Jasim Mahmoud
  (Iraq),
Asian Amateur Championships - IFBB,Light-HeavyWeight,3,Frankie Chin
  (Malaysia),
Asian Amateur Championships - IFBB,MiddleWeight,1,Sammy Ayochok
  (Philippines),
Asian Amateur Championships - IFBB,MiddleWeight,2,Kang Kyung Soon
  (Korea),
Asian Amateur Championships - IFBB,MiddleWeight,3,Hiromichi Arai    新井弘道

  (Japan),
Asian Amateur Championships - IFBB,WelterWeight,1,Fatholomein Ali
  (Singapore),
Asian Amateur Championships - IFBB,WelterWeight,2,Han Dong Ki
  (Korea),
Asian Amateur Championships - IFBB,WelterWeight,3,Mahmoud Ahmed Zaidan
  (Iraq),
Asian Amateur Championships - IFBB,LightWeight,1,Park Yung Chul
  (Korea),
Asian Amateur Championships - IFBB,LightWeight,2,Katsumi Ishimura    石村勝巳

  (Japan),
Asian Amateur Championships - IFBB,LightWeight,3,Levi Rumbewas
  (Indonesia),
Asian Amateur Championships - IFBB,BantamWeight,1,Bang Woon Hyuk
  (Korea),
Asian Amateur Championships - IFBB,BantamWeight,2,Yousif Ahmed Hassan
  (Iraq),
Asian Amateur Championships - IFBB,BantamWeight,3,Ibrahim Bin Sihat
  (Singapore),
Chicago Pro Championships - IFBB,,1,Phil Williams,
Chicago Pro Championships - IFBB,,2,Gary Strydom,
Chicago Pro Championships - IFBB,,3,John Hnatyschak,
Chicago Pro Championships - IFBB,,4,Albert Beckles,
Chicago Pro Championships - IFBB,,5,Bob Paris,
Chicago Pro Championships - IFBB,,6,Lance Dreher,
Chicago Pro Championships - IFBB,,7,Ronald Matz,
Chicago Pro Championships - IFBB,,8,Dan Smith,
Chicago Pro Championships - IFBB,,9,Hayrettin Dinger,
Chicago Pro Championships - IFBB,,10,Paul Jean-Guillaume,
Chicago Pro Championships - IFBB,,11,J J Marsh,
Chicago Pro Championships - IFBB,,12,Charles Glass,
Chicago Pro Championships - IFBB,,13,Bill Grant,
Chicago Pro Championships - IFBB,,14,Ron Teufel,
Chicago Pro Championships - IFBB,,15,Luiz Freitas,
Chicago Pro Championships - IFBB,,16,Bill Richardson,
European Amateur Championships - IFBB,HeavyWeight,1,Lothar Kienle,
European Amateur Championships - IFBB,HeavyWeight,2,Marcus Vollert,
European Amateur Championships - IFBB,HeavyWeight,3,Jeroen Van Der Linde,
European Amateur Championships - IFBB,HeavyWeight,4,Mike Harvey,
European Amateur Championships - IFBB,HeavyWeight,5,Ton Petterson,
European Amateur Championships - IFBB,Light-HeavyWeight,1,Helmut Terk,
European Amateur Championships - IFBB,Light-HeavyWeight,2,Mirosław Daszkiewicz,
European Amateur Championships - IFBB,Light-HeavyWeight,3,Stefan Jansson,
European Amateur Championships - IFBB,Light-HeavyWeight,4,Thomas Scheu,
European Amateur Championships - IFBB,Light-HeavyWeight,5,Thomas Misch,
European Amateur Championships - IFBB,MiddleWeight,1,Miroslav Jastrebski,
European Amateur Championships - IFBB,MiddleWeight,2,Carlos Cesar,
European Amateur Championships - IFBB,MiddleWeight,3,Petr Dudarec,
European Amateur Championships - IFBB,MiddleWeight,4,Daniel Coussieu,
European Amateur Championships - IFBB,MiddleWeight,5,Christian Weber,
European Amateur Championships - IFBB,LightWeight,1,Alfonso Gomez,
European Amateur Championships - IFBB,LightWeight,2,Luciano Andreose,
European Amateur Championships - IFBB,LightWeight,3,Wilhelm Janach,
European Amateur Championships - IFBB,LightWeight,4,Marion Wysochi,
European Amateur Championships - IFBB,LightWeight,5,Cor Wijler,
European Amateur Championships - IFBB,LightWeight,6,Marcel Suitela,
European Amateur Championships - IFBB,BantamWeight,1,Tevfik Ulusoglu,
European Amateur Championships - IFBB,BantamWeight,2,Flavio Baccianini,
European Amateur Championships - IFBB,BantamWeight,3,Paco Duran,
European Amateur Championships - IFBB,BantamWeight,4,Jesus Lizcano,
European Amateur Championships - IFBB,BantamWeight,5,Peter Deck,
French Championships - IFBB,HeavyWeight,1,Lionel Sorin,
