Competition,Category,Place,Name,Score
Asian Amateur Championships - IFBB,HeavyWeight,1,Aziz Abdul Karim
  (Iraq),
Asian Amateur Championships - IFBB,HeavyWeight,2,Ali Hussein Jasan
  (Iraq),
Asian Amateur Championships - IFBB,HeavyWeight,3,Shahid Butt
  (Pakistan),
Asian Amateur Championships - IFBB,Light-HeavyWeight,1,Yasushi Koyama    小山裕史

  (Japan),
Asian Amateur Championships - IFBB,Light-HeavyWeight,2,Ahmad Hadi Abbas
  (Iraq),
Asian Amateur Championships - IFBB,Light-HeavyWeight,3,Quasar Pervaz
  (Pakistan),
Asian Amateur Championships - IFBB,MiddleWeight,1,Prem Chand Degra
  (India),
Asian Amateur Championships - IFBB,MiddleWeight,2,Ahmed Hadi
  (Iraq),
Asian Amateur Championships - IFBB,MiddleWeight,3,Kang Kyung Soon
  (Korea),
Asian Amateur Championships - IFBB,LightWeight,1,Fatholomein Ali
  (Singapore),
Asian Amateur Championships - IFBB,LightWeight,2,Han Dong Ki
  (Korea),
Asian Amateur Championships - IFBB,LightWeight,3,Khoo Ewe Beng
  (Malaysia),
Asian Amateur Championships - IFBB,BantamWeight,1,Akio Kawakami    川上昭雄

  (Japan),
Asian Amateur Championships - IFBB,BantamWeight,2,Katsumi Ishimura    石村勝巳

  (Japan),
Asian Amateur Championships - IFBB,BantamWeight,3,Kim Yong Ho
  (Korea),
European Amateur Championships - IFBB,HeavyWeight,1,Christer Eriksson
  (Sweden),
European Amateur Championships - IFBB,HeavyWeight,2,Manfred Grössler
  (Austria),
European Amateur Championships - IFBB,HeavyWeight,3,Alois Pek
  (Serbia & Montenegro),
European Amateur Championships - IFBB,HeavyWeight,4,Bill Tierney,
European Amateur Championships - IFBB,HeavyWeight,5,Helmut Riedmeier,
European Amateur Championships - IFBB,HeavyWeight,6,Jan Malmqvist,
European Amateur Championships - IFBB,Light-HeavyWeight,1,Angelito Lesta
  (England),
European Amateur Championships - IFBB,Light-HeavyWeight,2,Dirk Starke
  (West Germany),
European Amateur Championships - IFBB,Light-HeavyWeight,3,Arnold Buurman
  (Netherlands),
European Amateur Championships - IFBB,Light-HeavyWeight,4,Ulf Bengtsson,
European Amateur Championships - IFBB,Light-HeavyWeight,5,Josef Peter,
European Amateur Championships - IFBB,MiddleWeight,1,Anton Holic
  (Serbia & Montenegro),
European Amateur Championships - IFBB,MiddleWeight,2,Karl Link
  (West Germany),
European Amateur Championships - IFBB,MiddleWeight,3,Robert Dantlinger
  (Serbia & Montenegro),
European Amateur Championships - IFBB,MiddleWeight,4,Daniel Coussieu,
European Amateur Championships - IFBB,MiddleWeight,5,Patrick Pourjeois,
European Amateur Championships - IFBB,LightWeight,1,Appie Steenbeek
  (Netherlands),
European Amateur Championships - IFBB,LightWeight,2,Reijo Kivioja
  (Finland),
European Amateur Championships - IFBB,LightWeight,3,Tevfik Ulusoglu
  (Turkey),
European Amateur Championships - IFBB,LightWeight,4,Luciano Andreose,
European Amateur Championships - IFBB,LightWeight,5,Conny Uldin,
European Amateur Championships - IFBB,LightWeight,6,Vicente Segovia,
European Cup - IFBB,,1,Robert Dantlinger,
European Cup - IFBB,,2,Bill Tierney,
European Cup - IFBB,,3,Giovanni Curtarelli,
European Cup - IFBB,,4,Marc Devooght,
European Cup - IFBB,,5,Mark Tullett,
French Championships - IFBB,HeavyWeight,1,Nono Cironte,
French Championships - IFBB,Light-HeavyWeight,1,Jean Paul Aulas,
French Championships - IFBB,MiddleWeight,1,Patrick Bourgeois,
French Championships - IFBB,LightWeight,1,Sandro Persichella,
French Championships - IFBB,BantamWeight,1,Daniel Courageot,
French Championships - IFBB,Junior - HeavyWeight,1,Jean Marc Martin,
French Championships - IFBB,Junior - Light-HeavyWeight,1,Eric Bardelli,
French Championships - IFBB,Junior - MiddleWeight,1,Patrick Caravacca,
French Championships - IFBB,Junior - LightWeight,1,Oliver Ripert,
French Championships - IFBB,Masters HeavyWeight,1,Roger Prevost,
French Championships - IFBB,Masters Light-HeavyWeight,1,J C Raphoz,
French Championships - IFBB,Masters MiddleWeight,1,Lucien Chateau,
French Championships - IFBB,Masters LightWeight,1,Marcel Delange,
Grand Prix Denver - IFBB,,1,Tony Pearson,
Grand Prix Denver - IFBB,,2,Bob Birdsong,
Grand Prix Denver - IFBB,,3,Ali Malla,
Grand Prix Denver - IFBB,,4,Rod Koontz,
Grand Prix Denver - IFBB,,5,Dave Johns,
Grand Prix Denver - IFBB,,6,Scott Wilson,
Grand Prix Denver - IFBB,,7,James Gaubert,
Grand Prix Denver - IFBB,,8,Larry Jackson (1),
Grand Prix Denver - IFBB,,9,Steve Michalik,
Grand Prix England - IFBB,,1,Mohamed Makkawy,
Grand Prix England - IFBB,,2,Lee Haney,
Grand Prix England - IFBB,,3,Jusup Wilkosz,
Grand Prix England - IFBB,,4,Tony Pearson,
Grand Prix England - IFBB,,5,Albert Beckles,
Grand Prix England - IFBB,,6,Johnny Fuller,
Grand Prix England - IFBB,,7,James Gaubert,
Grand Prix England - IFBB,,8,Dale Ruplinger,
Grand Prix England - IFBB,,9,Dave Johns,
Grand Prix Las Vegas - IFBB,,1,Lee Haney,
Grand Prix Las Vegas - IFBB,,2,John Terilli,
Grand Prix Las Vegas - IFBB,,3,Albert Beckles,
Grand Prix Las Vegas - IFBB,,4,Greg DeFerro,
Grand Prix Las Vegas - IFBB,,5,Bob Birdsong,
Grand Prix Las Vegas - IFBB,,6,Tony Pearson,
Grand Prix Las Vegas - IFBB,,7,Bill Grant,
