Competition,Category,Place,Name,Score
European Amateur Championships - IFBB,HeavyWeight,1,Suzanne Steurer
  (West Germany),
European Amateur Championships - IFBB,HeavyWeight,2,Marion Ullmer
  (West Germany),
European Amateur Championships - IFBB,HeavyWeight,3,Tornros Sirkku
  (Finland),
European Amateur Championships - IFBB,HeavyWeight,4,Ibi Kovacs
  (Hungary),
European Amateur Championships - IFBB,HeavyWeight,5,Lise-Lotte Urbie,
European Amateur Championships - IFBB,MiddleWeight,1,Joyce Paardekam
  (Netherlands),
European Amateur Championships - IFBB,MiddleWeight,2,Marianne Guntzberger
  (France),
European Amateur Championships - IFBB,MiddleWeight,3,Paloma Ramos
  (Spain),
European Amateur Championships - IFBB,MiddleWeight,4,Angelika Bischoff
  (Germany),
European Amateur Championships - IFBB,MiddleWeight,5,Susanne Jacobsen,
European Amateur Championships - IFBB,MiddleWeight,6,Greet Tehupering,
European Amateur Championships - IFBB,MiddleWeight,7,Ann Roslund,
European Amateur Championships - IFBB,MiddleWeight,8,Stephanie Baumann,
European Amateur Championships - IFBB,MiddleWeight,9,Sandra Waterschoot,
European Amateur Championships - IFBB,LightWeight,1,Gloria Bouvier
  (France),
European Amateur Championships - IFBB,LightWeight,2,Waltraud Goger
  (West Germany),
European Amateur Championships - IFBB,LightWeight,3,Helene Hoby
  (Sweden),
European Amateur Championships - IFBB,LightWeight,4,Maria Edite,
European Amateur Championships - IFBB,LightWeight,5,Tülay Caner-Ozbek
  (Turkey),
European Amateur Championships - IFBB,LightWeight,6,Ornella Ruzzarin,
European Amateur Championships - IFBB,LightWeight,7,Dominique Chaumel,
European Amateur Championships - IFBB,LightWeight,8,Reidun Madsen,
European Amateur Championships - IFBB,LightWeight,9,Vana Tsouprakakou,
European Amateur Championships - IFBB,LightWeight,10,Birgitte Jensen,
European Amateur Championships - IFBB,LightWeight,11,Torhild Kizren,
European Amateur Championships - IFBB,LightWeight,12,Anja Struiken
  (Netherlands),
European Amateur Championships - IFBB,LightWeight,13,Rosa Stix,
European Amateur Championships - IFBB,LightWeight,14,Liliane Sapin,
European Amateur Championships - IFBB,LightWeight,15,Chantal Dupont,
French Championships - IFBB,HeavyWeight,1,Linda Forbin,
French Championships - IFBB,MiddleWeight,1,Nathalie Chapellier,
French Championships - IFBB,LightWeight,1,Marie Gasparini,
North American Championships - IFBB,HeavyWeight,1,Joanne McCartney,
North American Championships - IFBB,HeavyWeight,2,Mary Hovey-Walk,
North American Championships - IFBB,HeavyWeight,3,Mishay Santos,
North American Championships - IFBB,HeavyWeight,4,Nicole Bass,
North American Championships - IFBB,HeavyWeight,5,Laura Creavalle,
North American Championships - IFBB,MiddleWeight,1,Tami Imbriale,
North American Championships - IFBB,MiddleWeight,2,Carol Mock,
North American Championships - IFBB,MiddleWeight,3,Shirley Kemper,
North American Championships - IFBB,MiddleWeight,4,Caryl Harper,
North American Championships - IFBB,MiddleWeight,5,Debra Moore,
North American Championships - IFBB,LightWeight,1,Dori Frame,
North American Championships - IFBB,LightWeight,2,Celia Walsh,
North American Championships - IFBB,LightWeight,3,Debra McSparrin,
North American Championships - IFBB,LightWeight,4,Veronica Borg,
North American Championships - IFBB,LightWeight,5,Linda Dattoli,
Olympia - IFBB,,1,Cory Everson,
Olympia - IFBB,,2,Ellen Van Maris,
Olympia - IFBB,,3,Bev Francis,
Olympia - IFBB,,4,Anja Langer,
Olympia - IFBB,,5,Mary Roberts,
Olympia - IFBB,,6,Marjo Selin,
Olympia - IFBB,,7,Janice Ragain,
Olympia - IFBB,,8,Diana Dennis,
Olympia - IFBB,,9,Juliette Bergmann,
Olympia - IFBB,,10,Renate Holland,
Olympia - IFBB,,11,Sue Ann McKean,
Olympia - IFBB,,12,Carla Dunlap,
Olympia - IFBB,,13,Dominique Darde,
Olympia - IFBB,,14,Cathy Palyo,
Olympia - IFBB,,15,Maria Serio,
Olympia - IFBB,,16,Gundi Froder,
World Amateur Championships - IFBB,HeavyWeight,1,Janice Graser,
World Amateur Championships - IFBB,HeavyWeight,2,Hannie Van Aken
  (Netherlands),
World Amateur Championships - IFBB,HeavyWeight,3,Suzanne Steurer
  (West Germany),
World Amateur Championships - IFBB,HeavyWeight,4,Lenie Tops
  (Netherlands),
World Amateur Championships - IFBB,HeavyWeight,5,Elisabeth Fingerl,
World Amateur Championships - IFBB,HeavyWeight,6,Veronica Dahlin,
World Amateur Championships - IFBB,MiddleWeight,1,Renee Casella,
World Amateur Championships - IFBB,MiddleWeight,2,Christine Laurent
  (Belgium),
World Amateur Championships - IFBB,MiddleWeight,3,Eva Ostensen
  (Norway),
World Amateur Championships - IFBB,MiddleWeight,4,Tina Van Duyn
  (Netherlands),
World Amateur Championships - IFBB,MiddleWeight,5,Paloma Ramos
  (Spain),
World Amateur Championships - IFBB,MiddleWeight,6,Gunilla Söderberg
  (Sweden),
World Amateur Championships - IFBB,LightWeight,1,Charla Sedacca,
World Amateur Championships - IFBB,LightWeight,2,Ina Lopulesa
  (Netherlands),
World Amateur Championships - IFBB,LightWeight,3,Gloria Bouvier
  (France),
World Amateur Championships - IFBB,LightWeight,4,Anne-Kristine Skovseth,
World Amateur Championships - IFBB,LightWeight,5,Lise Borduas,
World Amateur Championships - IFBB,LightWeight,6,Evi Knutsen
  (Norway),
World Pro Championships - IFBB,,1,Bev Francis,
World Pro Championships - IFBB,,2,Anja Langer,
