Competition,Category,Place,Name,Score
Asian Amateur Championships - IFBB,HeavyWeight,1,Abbas Al Hindawi
  (Iraq),
Asian Amateur Championships - IFBB,HeavyWeight,2,Aziz Abdul Karim
  (Iraq),
Asian Amateur Championships - IFBB,HeavyWeight,3,Syeed Beizavi
  (Iran),
Asian Amateur Championships - IFBB,MiddleWeight,1,Mehdi Khaneghani
  (Iran),
Asian Amateur Championships - IFBB,MiddleWeight,2,Aziz Ullah
  (Pakistan),
Asian Amateur Championships - IFBB,MiddleWeight,3,Malay Roy
  (India),
Asian Amateur Championships - IFBB,LightWeight,1,Ahmad Hadi Abbas
  (Iraq),
Asian Amateur Championships - IFBB,LightWeight,2,Basir Jemadi
  (Malaysia),
Asian Amateur Championships - IFBB,LightWeight,3,Sohrab Sarabi
  (Iran),
Asian Amateur Championships - IFBB,BantamWeight,1,Moh Teck Hin
  (Singapore),
Asian Amateur Championships - IFBB,BantamWeight,2,Cholard Chaleyboon
  (Thailand),
Asian Amateur Championships - IFBB,BantamWeight,3,Rahmatollah Azimi
  (Iran),
Mr International - IFBB,HeavyWeight,1,Joe Nazario,
Mr International - IFBB,HeavyWeight,2,Ben Herder,
Mr International - IFBB,HeavyWeight,3,Ray Mentzer,
Mr International - IFBB,HeavyWeight,4,Don Peters,
Mr International - IFBB,HeavyWeight,5,Maurice LeGault,
Mr International - IFBB,HeavyWeight,6,George Paine,
Mr International - IFBB,HeavyWeight,7,Morris Jacobson,
Mr International - IFBB,HeavyWeight,8,Mahmoud Jizawi,
Mr International - IFBB,MiddleWeight,1,Roger Callard,
Mr International - IFBB,MiddleWeight,2,Samir Bannout,
Mr International - IFBB,MiddleWeight,3,Frank Calta,
Mr International - IFBB,MiddleWeight,4,Sammie Willis,
Mr International - IFBB,MiddleWeight,5,Mehdi Khaneghani,
Mr International - IFBB,MiddleWeight,6,Andreas Cahling,
Mr International - IFBB,MiddleWeight,7,Kevin McNamara,
Mr International - IFBB,MiddleWeight,8,Douglas Beaver,
Mr International - IFBB,MiddleWeight,9,Raymond Sansoucy,
Mr International - IFBB,MiddleWeight,10,Erwin Note,
Mr International - IFBB,MiddleWeight,11,Filippo Alfani,
Mr International - IFBB,MiddleWeight,12,Joe Caserta,
Mr International - IFBB,MiddleWeight,13,Leon Van Der Westhuizen,
Mr International - IFBB,LightWeight,1,Carlos Rodriguez,
Mr International - IFBB,LightWeight,2,Anthony Pandolfo,
Mr International - IFBB,LightWeight,3,John Burkholder,
Mr International - IFBB,LightWeight,4,Ugo Romano,
Mr International - IFBB,LightWeight,5,Franz Aldrian,
Mr International - IFBB,LightWeight,6,Tevfik Ulusoglu,
