Competition,Category,Place,Name,Score
Arnold Amateur - IFBB,Physique A,1,Kathrine McLaurin,
Arnold Amateur - IFBB,Physique A,2,Oksana Piari,
Arnold Amateur - IFBB,Physique A,3,Priscila Kavaliausku,
Arnold Amateur - IFBB,Physique A,4,Nikquisa Nunn,
Arnold Amateur - IFBB,Physique A,5,Sarah Burke,
Arnold Amateur - IFBB,Physique A,6,Hastia Michele,
Arnold Amateur - IFBB,Physique A,7,Amy Neelands,
Arnold Amateur - IFBB,Physique A,8,Rebecca Powell,
Arnold Amateur - IFBB,Physique A,9,Courtney Flanigan,
Arnold Amateur - IFBB,Physique A,10,Samara Desroches,
Arnold Amateur - IFBB,Physique A,11,Lucie Poživilová,
Arnold Amateur - IFBB,Physique A,12,Sola Caridad,
Arnold Amateur - IFBB,Physique B,1,Julia Whitesel,
Arnold Amateur - IFBB,Physique B,2,Fabiana Rossa,
Arnold Amateur - IFBB,Physique B,3,Cheryl Rosenberger,
Arnold Amateur - IFBB,Physique B,4,Qiana McClenty,
Arnold Amateur - IFBB,Physique B,5,Denise Paquette,
Arnold Amateur - IFBB,Physique B,6,Andrea Sanchez,
Arnold Amateur - IFBB,Figure A,1,Chikako Akiyama,
Arnold Amateur - IFBB,Figure A,2,Hala Kaiss,
Arnold Amateur - IFBB,Figure A,3,Chie Terui,
Arnold Amateur - IFBB,Figure A,4,Sarah Major,
Arnold Amateur - IFBB,Figure A,5,Jemerie Lyman,
Arnold Amateur - IFBB,Figure A,6,Chonda Harris,
Arnold Amateur - IFBB,Figure B,1,Justina Threadgill,
Arnold Amateur - IFBB,Figure B,2,Angie Aldridge,
Arnold Amateur - IFBB,Figure B,3,Gentil Claudia,
Arnold Amateur - IFBB,Figure B,4,Bailey Michelle,
Arnold Amateur - IFBB,Figure B,5,Indya Slaughter,
Arnold Amateur - IFBB,Figure C,1,Cisse Jalloh,
Arnold Amateur - IFBB,Figure C,2,Lindsay Honaker,
Arnold Amateur - IFBB,Figure C,3,Vanessa Dominguez,
Arnold Amateur - IFBB,Figure C,4,Nabila Nedjar,
Arnold Amateur - IFBB,Figure C,5,Stefanie Lesperance,
Arnold Amateur - IFBB,Figure C,6,Carla Torchia,
Arnold Amateur - IFBB,Figure C,7,Maria Alejandra Mora Ibarra,
Arnold Amateur - IFBB,Figure C,8,Renee Rivers,
Arnold Amateur - IFBB,Figure C,9,Pamela Bartock,
Arnold Amateur - IFBB,Figure C,10,Kerry-Ann Forrester,
Arnold Amateur - IFBB,Figure C,11,Tiffany Shi,
Arnold Amateur - IFBB,Figure D,1,Jennifer Mezzetti,
Arnold Amateur - IFBB,Figure D,2,Patrycja Wisniewska,
Arnold Amateur - IFBB,Figure D,3,Lauren Peel,
Arnold Amateur - IFBB,Figure D,4,Marie-Solange Essoh,
Arnold Amateur - IFBB,Figure D,5,Jennifer Jordan,
Arnold Amateur - IFBB,Figure D,6,Andrea Green,
Arnold Amateur - IFBB,Figure D,7,Marisa Winslow,
Arnold Amateur - IFBB,Figure D,8,Kamilah Humphrey,
Arnold Amateur - IFBB,Figure D,9,Dawn Dussault,
Arnold Amateur - IFBB,Figure D,10,Priscilla Denise Martinez,
Arnold Amateur - IFBB,Figure D,11,Tammy Wagner,
Arnold Amateur - IFBB,Figure D,12,Michelle Guice,
Arnold Amateur - IFBB,Figure D,13,Adriene Ford Slaughter,
Arnold Amateur - IFBB,Figure D,14,Alexandra Carico,
Arnold Amateur - IFBB,Figure E,1,Yahda Daniels,
Arnold Amateur - IFBB,Figure E,2,Spree Dyess,
Arnold Amateur - IFBB,Figure E,3,Marissa Kubota,
Arnold Amateur - IFBB,Figure E,4,Caroline Leticia Zawadzki,
Arnold Amateur - IFBB,Figure E,5,Sasha Vitalis,
Arnold Amateur - IFBB,Figure E,6,Kjersti Day,
Arnold Amateur - IFBB,Figure E,7,Jennifer Manni,
Arnold Amateur - IFBB,Figure E,8,Tina Breton,
Arnold Amateur - IFBB,Figure E,9,Ashley Jerue,
Arnold Amateur - IFBB,Figure E,10,Naviere Walkewicz,
Arnold Amateur - IFBB,Figure E,11,Shannon Duclos,
Arnold Amateur - IFBB,Figure F,1,Mitreva Neli,
Arnold Amateur - IFBB,Figure F,2,Brittany Offers,
Arnold Amateur - IFBB,Figure F,3,Jessica Lacour,
Arnold Amateur - IFBB,Figure F,4,Kalli Sheppard,
Arnold Amateur - IFBB,Figure F,5,Brooke Pighin,
Arnold Amateur - IFBB,Figure F,6,Tatsiana Hurst,
Arnold Amateur - IFBB,Figure F,7,Amber Goodwin,
Arnold Amateur - IFBB,Figure F,8,Rita Neményi,
Arnold Amateur - IFBB,Figure Masters A,1,Cisse Jalloh,
Arnold Amateur - IFBB,Figure Masters A,2,Nikquisa Nunn,
Arnold Amateur - IFBB,Figure Masters A,3,Vanessa Dominguez,
Arnold Amateur - IFBB,Figure Masters A,4,Simone Castro,
Arnold Amateur - IFBB,Figure Masters A,5,Gentil Claudia,
Arnold Amateur - IFBB,Figure Masters A,6,Carla Torchia,
Arnold Amateur - IFBB,Figure Masters A,7,Bailey Michelle,
Arnold Amateur - IFBB,Figure Masters A,8,Renee Rivers,
Arnold Amateur - IFBB,Figure Masters A,9,Hastia Michele,
Arnold Amateur - IFBB,Figure Masters A,10,Rebecca Valbuena,
Arnold Amateur - IFBB,Figure Masters A,11,Kerry-Ann Forrester,
Arnold Amateur - IFBB,Figure Masters A,12,Alicia Pasupuletti,
Arnold Amateur - IFBB,Figure Masters A,13,Mary Cris Hancock,
Arnold Amateur - IFBB,Figure Masters B,1,Marie-Solange Essoh,
Arnold Amateur - IFBB,Figure Masters B,2,Jennifer Jordan,
Arnold Amateur - IFBB,Figure Masters B,3,Andrea Green,
Arnold Amateur - IFBB,Figure Masters B,4,Rachel Reife,
Arnold Amateur - IFBB,Figure Masters B,5,Priscilla Denise Martinez,
Arnold Amateur - IFBB,Figure Masters B,6,Dawn Dussault,
Arnold Amateur - IFBB,Figure Masters B,7,Tammy Wagner,
Arnold Amateur - IFBB,Figure Masters B,8,Naviere Walkewicz,
Arnold Amateur - IFBB,Figure Masters B,9,Sandy Cesar,
Arnold Amateur - IFBB,Figure Masters B,10,Adriene Ford Slaughter,
Arnold Amateur - IFBB,Figure Masters C,1,Mitreva Neli,
Arnold Amateur - IFBB,Figure Masters C,2,Caroline Leticia Zawadzki,
Arnold Amateur - IFBB,Figure Masters C,3,Sasha Vitalis,
Arnold Amateur - IFBB,Figure Masters C,4,Dierra Pernell,
Arnold Amateur - IFBB,Figure Masters C,5,Jessica Lacour,
Arnold Amateur - IFBB,Figure Masters C,6,Tina Breton,
Arnold Amateur - IFBB,Figure Masters C,7,Tatsiana Hurst,
Arnold Amateur - IFBB,Figure Masters C,8,Jennifer Manni,
Arnold Amateur - IFBB,Figure Masters C,9,Lori Walker,
Arnold Amateur Australia - IFBB,Physique,1,Rach White,
Arnold Amateur Australia - IFBB,Physique,2,Erin Fruet,
Arnold Amateur Australia - IFBB,Physique,3,Jodie Howard,
Arnold Amateur Australia - IFBB,Physique,4,Suhami Binte Mohammad,
Arnold Amateur Australia - IFBB,Physique,5,Kerry Rowen,
Arnold Amateur Australia - IFBB,Physique,6,Alysha Kempf,
Arnold Amateur Australia - IFBB,Figure A,1,Sonia Koaru,
Arnold Amateur Australia - IFBB,Figure A,2,Kelly Sammut,
Arnold Amateur Australia - IFBB,Figure A,3,Ruwinie Senaratne,
Arnold Amateur Australia - IFBB,Figure A,4,Lisa Saygun,
Arnold Amateur Australia - IFBB,Figure A,5,Kayla Jones,
Arnold Amateur Australia - IFBB,Figure A,6,Steffanie Gohr,
Arnold Amateur Australia - IFBB,Figure A,7,Maria Rigatos,
Arnold Amateur Australia - IFBB,Figure A,8,Sophie Hull,
Arnold Amateur Australia - IFBB,Figure A,9,Karla Gambell,
Arnold Amateur Australia - IFBB,Figure B,1,Rose Black,
Arnold Amateur Australia - IFBB,Figure B,2,Renee Walker,
Arnold Amateur Australia - IFBB,Figure B,3,Renee Archer,
Arnold Amateur Australia - IFBB,Figure B,4,Wmily Wyatt,
Arnold Amateur Australia - IFBB,Figure B,5,Maria Andriano,
Arnold Amateur Australia - IFBB,Figure B,6,Tiffanie Riley,
Arnold Amateur Australia - IFBB,Figure B,7,Megan Knight,
Arnold Amateur Australia - IFBB,Figure B,8,Tracey Lee Hempstead,
Arnold Amateur Australia - IFBB,Figure B,9,Jo Philp,
Arnold Amateur Australia - IFBB,Figure Masters,1,Renee Archer,
Arnold Amateur Australia - IFBB,Figure Masters,2,Kristie Notte,
Arnold Amateur Australia - IFBB,Figure Masters,3,Virginie Foucault,
Arnold Amateur Australia - IFBB,Figure Masters,4,Maria Andriano,
Arnold Amateur Australia - IFBB,Figure Masters,5,Maria Rigatos,
Arnold Amateur Australia - IFBB,Figure Masters,6,Donya Assi,
Arnold Amateur Australia - IFBB,Figure Masters,7,Wendy Daniels,
Arnold Amateur Australia - IFBB,Figure Masters,8,Karla Gambell,
Arnold Amateur Australia - IFBB,Figure Masters,9,Trinity Batham,
Arnold Amateur Australia - IFBB,Figure Masters,10,Antoniette Spiniello,
Arnold Amateur Australia - IFBB,Figure Masters,-,Rose Calapai,
Arnold Amateur Australia - IFBB,Figure Masters,-,Tracey Lee Hempstead,
Arnold Amateur Australia - IFBB,Figure Masters,-,Deb Morgan,
Arnold Amateur Australia - IFBB,Figure Masters,-,Rhonda Roberts,
Arnold Amateur Australia - IFBB,Figure Masters,-,Amy Rowe,
Arnold Amateur Australia - IFBB,Figure Masters,-,Kathleen Simpson,
Arnold Amateur Australia - IFBB,Figure Masters,-,Gail Wisemann,
Arnold Amateur South America - IFBB,Physique A,1,Rosy DaSilva Sousa,
Arnold Amateur South America - IFBB,Physique A,2,Patricia DeOliveira Borges,
Arnold Amateur South America - IFBB,Physique A,3,Regina Celia Dos Santos,
Arnold Amateur South America - IFBB,Physique A,4,Marta DaSilva Cordeiro,
Arnold Amateur South America - IFBB,Physique A,5,Rosanne Braga Oliveira,
Arnold Amateur South America - IFBB,Physique A,6,Rosana Irene Mondino,
Arnold Amateur South America - IFBB,Physique B,1,Ester Ferreira,
Arnold Amateur South America - IFBB,Physique B,2,Sandra DeOliveira,
Arnold Amateur South America - IFBB,Physique B,3,Evelin Andrea DaSilva Antonio,
Arnold Amateur South America - IFBB,Physique B,4,Ernestina DaSilva,
Arnold Amateur South America - IFBB,Physique B,5,Xenia Dos Alves,
Arnold Amateur South America - IFBB,Physique C,1,Naiana Silva Cruz,
Arnold Amateur South America - IFBB,Physique C,2,Suzele DeOliveira,
Arnold Amateur South America - IFBB,Physique C,3,Fabiana Rossa,
Arnold Amateur South America - IFBB,Physique C,4,Renata Camargo,
Arnold Amateur South America - IFBB,Physique D,1,Julia Foery,
Arnold Amateur South America - IFBB,Physique D,2,Lima Beserra,
Arnold Amateur South America - IFBB,Figure A,1,Roberta Das Chagas,
Arnold Amateur South America - IFBB,Figure A,2,Astrid Arnon,
Arnold Amateur South America - IFBB,Figure B,1,Yamila Toledo,
Arnold Amateur South America - IFBB,Figure B,2,Jeska Barros,
Arnold Amateur South America - IFBB,Figure B,3,Simone DeCastro,
Arnold Amateur South America - IFBB,Figure B,4,Tamires DeSouza Pompeu,
Arnold Amateur South America - IFBB,Figure B,5,Andreia Silva Santos,
Arnold Amateur South America - IFBB,Figure B,6,Melizza Rossana Ganzalez Frios,
Arnold Amateur South America - IFBB,Figure C,1,Analia Galeano,
Arnold Amateur South America - IFBB,Figure C,2,Rafaela Ferreira DeSousa,
Arnold Amateur South America - IFBB,Figure C,3,Heloiza Ferreira Cordeiro,
Arnold Amateur South America - IFBB,Figure C,4,Gianna Baeza Pinto,
Arnold Amateur South America - IFBB,Figure C,5,Soraia Andrade DeSouza,
Arnold Amateur South America - IFBB,Figure D,1,Susana Alejandra Echenique,
Arnold Amateur South America - IFBB,Figure D,2,Shaya Nayara,
Arnold Amateur South America - IFBB,Figure D,3,Neila Almeida,
Arnold Amateur South America - IFBB,Figure D,4,Juliana DeOliveira Filgueiras,
Arnold Amateur South America - IFBB,Figure E,1,Vanessa DeOliveira Graca,
Arnold Amateur South America - IFBB,Figure E,2,Mariana Gilda,
Arnold Amateur South America - IFBB,Figure F,1,Laura Veiguela,
Arnold Amateur South America - IFBB,Figure F,2,Stephanie DaRosa,
Arnold Amateur South America - IFBB,Figure F,3,Debora Serrano,
Arnold Amateur South America - IFBB,Figure F,4,Maria Izabel DoNascimento,
Arnold Amateur South America - IFBB,Figure F,5,Patricia Mota,
Arnold Amateur South America - IFBB,Figure 35+ A,1,Yamila Toledo,
Arnold Amateur South America - IFBB,Figure 35+ A,2,Maria Jose Dousdebes,
Arnold Amateur South America - IFBB,Figure 35+ B,1,Analia Galeano,
Arnold Amateur South America - IFBB,Figure 35+ B,2,Neila Almeida,
Arnold Amateur South America - IFBB,Figure 40+ A,1,Simone DeCastro,
Arnold Amateur South America - IFBB,Figure 40+ A,2,Claudia Brito,
Arnold Amateur South America - IFBB,Figure 40+ A,3,Luciane Lima,
Arnold Amateur South America - IFBB,Figure 40+ A,4,Andreia Silva Santos,
Arnold Amateur South America - IFBB,Figure 40+ A,5,Silvia DaSilva Takahara,
Arnold Amateur South America - IFBB,Figure 40+ A,6,Adrianaa Dos Remedios Ribeiro,
Arnold Amateur South America - IFBB,Figure 40+ A,7,Rita Bezerra,
Arnold Amateur South America - IFBB,Figure 40+ B,1,Susana Alejandra Echenique,
Arnold Amateur South America - IFBB,Figure 40+ B,2,Mariana Staccioli,
Arnold Amateur South America - IFBB,Figure 40+ B,3,Martha Cartier,
Arnold Amateur South America - IFBB,Figure 40+ B,4,Mariana Gilda,
Arnold Amateur South America - IFBB,Figure 40+ B,5,Maysa Rangel,
Arnold Classic - IFBB,Physique,1,Natalia Coelho,
Arnold Classic - IFBB,Physique,2,Sheronica Henton,
Arnold Classic - IFBB,Physique,3,Penpraghai Tiangngok,
Arnold Classic - IFBB,Physique,4,Brittany Watts,
Arnold Classic - IFBB,Physique,5,Margita Zámolová,
Arnold Classic - IFBB,Physique,6,Ashley Fuller,
Arnold Classic - IFBB,Physique,7,Valentina Mishina,
Arnold Classic - IFBB,Physique,8,Candice Carr,
Arnold Classic - IFBB,Physique,9,Bridgett R Annett,
Arnold Classic - IFBB,Physique,10,Jeannie Feldman,
Arnold Classic - IFBB,Physique,11,Lauren Rutan,
Arnold Classic - IFBB,Physique,12,Mayla Ash,
Arnold Classic - IFBB,Physique,13,Robyn Mays,
Arnold Classic - IFBB,Physique,14,Mirea Henriquez,
Arnold Classic - IFBB,Physique,15,Clarissa Rafanan,
Arnold Classic - IFBB,Physique,16,Antoinette Downie,
Arnold Classic - IFBB,Physique,-,Mariko Cobbs,
Arnold Classic - IFBB,Physique,-,Robin Connell,
Arnold Classic - IFBB,Physique,-,Lenka Ferenčuková,
Arnold Classic - IFBB,Physique,-,Caroline Gaume,
Arnold Classic - IFBB,Physique,-,Candrea JudđAdams,
Arnold Classic - IFBB,Physique,-,Jodi Lyons,
Arnold Classic - IFBB,Physique,-,Diana Schnaidt,
Arnold Classic - IFBB,Figure,1,Cydney Gillon,
Arnold Classic - IFBB,Figure,2,Nadia Wyatt,
Arnold Classic - IFBB,Figure,3,Jessica Reyes Padilla,
Arnold Classic - IFBB,Figure,4,Natalia Soltero,
Arnold Classic - IFBB,Figure,5,Bojana Vasiljevic,
Arnold Classic - IFBB,Figure,6,Sandra Grajales Romero,
Arnold Classic - IFBB,Figure,7,Lola Montez,
Arnold Classic - IFBB,Figure,8,Carly Starling,
Arnold Classic - IFBB,Figure,9,Brittany Campbell,
Arnold Classic - IFBB,Figure,10,Maria Luisa Baeza Diaz,
Arnold Classic - IFBB,Figure,11,Zulema Duran,
Arnold Classic - IFBB,Figure,12,Wendy Fortino,
Arnold Classic - IFBB,Figure,13,Michelle Lindsay,
Arnold Classic - IFBB,Figure,14,Noelia Segura,
Arnold Classic - IFBB,Figure,15,Melissa Bumstead,
Arnold Classic Australia - IFBB,Figure,1,Jessica Reyes Padilla,
Arnold Classic Australia - IFBB,Figure,2,Bojana Vasiljevic,
Arnold Classic Australia - IFBB,Figure,3,Tarryn Garlington,
Arnold Classic Australia - IFBB,Figure,4,Camala Rodriguez,
Arnold Classic Australia - IFBB,Figure,5,Carly Starling,
Arnold Classic Australia - IFBB,Figure,6,Yvette Brown,
Arnold Classic Australia - IFBB,Figure,7,Annika Barnett,
Arnold Classic Australia - IFBB,Figure,8,Stacey Steiner,
Arnold Classic Australia - IFBB,Figure,9,Kristine Terese Finsaas,
Arnold Classic Australia - IFBB,Figure,10,Jacquie Mync,
Atlantic Coast Pro - IFBB,Physique,1,Sarah Villegas,
Atlantic Coast Pro - IFBB,Physique,2,Valentina Mishina,
Atlantic Coast Pro - IFBB,Physique,3,Desunka Dawson,
Atlantic Coast Pro - IFBB,Physique,4,Jeannie Feldman,
Atlantic Coast Pro - IFBB,Physique,5,Isabelle Jackson,
Atlantic Coast Pro - IFBB,Physique,6,Nadia Capotosto,
Atlantic Coast Pro - IFBB,Physique,7,Stephanie Flesher,
Atlantic Coast Pro - IFBB,Physique,8,Christina Bitner,
Atlantic Coast Pro - IFBB,Physique,9,Robyn Mays,
Atlantic Coast Pro - IFBB,Physique,10,Trisha Vezirian,
Atlantic Coast Pro - IFBB,Physique,11,Jennifer McEnery,
Atlantic Coast Pro - IFBB,Physique,12,Kiera Hall,
Atlantic Coast Pro - IFBB,Physique,13,Evangeline Belton,
Atlantic Coast Pro - IFBB,Physique,14,Jeannea Burritt,
