Competition,Category,Place,Name,Score
Asian Amateur Championships - IFBB,HeavyWeight,1,Malek Noor
  (Malaysia),
Asian Amateur Championships - IFBB,HeavyWeight,2,Ahmad Hadi Abbas
  (Iraq),
Asian Amateur Championships - IFBB,HeavyWeight,3,Aziz Abdul Karim
  (Iraq),
Asian Amateur Championships - IFBB,Light-HeavyWeight,1,Prem Chand Degra
  (India),
Asian Amateur Championships - IFBB,Light-HeavyWeight,2,Ali Hussein Jasan
  (Iraq),
Asian Amateur Championships - IFBB,Light-HeavyWeight,3,Huang A Wen
  (Taiwan),
Asian Amateur Championships - IFBB,MiddleWeight,1,Sammy Ayochok
  (Philippines),
Asian Amateur Championships - IFBB,MiddleWeight,2,Kang Kyung Soon
  (Korea),
Asian Amateur Championships - IFBB,MiddleWeight,3,Imad Jasim Mahmoud
  (Iraq),
Asian Amateur Championships - IFBB,WelterWeight,1,Park Yung Chul
  (Korea),
Asian Amateur Championships - IFBB,WelterWeight,2,Teruo Aso    朝生照雄

  (Japan),
Asian Amateur Championships - IFBB,WelterWeight,3,Mahmoud Ahmed Zaidan
  (Iraq),
Asian Amateur Championships - IFBB,LightWeight,1,Fatholomein Ali
  (Singapore),
Asian Amateur Championships - IFBB,LightWeight,2,Han Dong Ki
  (Korea),
Asian Amateur Championships - IFBB,LightWeight,3,Sabah Taleb Mahdi
  (Iraq),
Asian Amateur Championships - IFBB,BantamWeight,1,Masahide Kinjo    金城正秀

  (Japan),
Asian Amateur Championships - IFBB,BantamWeight,2,Bang Woon Hyuk
  (Korea),
Asian Amateur Championships - IFBB,BantamWeight,3,Ibrahim Bin Sihat
  (Singapore),
European Amateur Championships - IFBB,HeavyWeight,1,Olev Annus,
European Amateur Championships - IFBB,HeavyWeight,2,Thierry Gunst,
European Amateur Championships - IFBB,HeavyWeight,3,Gunther Kuhni,
European Amateur Championships - IFBB,HeavyWeight,4,Andre Lotz,
European Amateur Championships - IFBB,HeavyWeight,5,Willem Jonkman,
European Amateur Championships - IFBB,HeavyWeight,5,Theo Reichel,
European Amateur Championships - IFBB,HeavyWeight,6,Geir Borgan Paulsen,
European Amateur Championships - IFBB,HeavyWeight,7,Selwyn Cottrell,
European Amateur Championships - IFBB,HeavyWeight,8,Dirk Warnez,
European Amateur Championships - IFBB,HeavyWeight,9,Waldemar Nol,
European Amateur Championships - IFBB,HeavyWeight,10,Paweł Przedlaski,
European Amateur Championships - IFBB,HeavyWeight,11,Milan Rolinec,
European Amateur Championships - IFBB,HeavyWeight,12,Peter Keranen,
European Amateur Championships - IFBB,HeavyWeight,13,Ronny Karlsson,
European Amateur Championships - IFBB,HeavyWeight,14,Piero Antonio Dell'Amico,
European Amateur Championships - IFBB,Light-HeavyWeight,1,Ian Dowe,
European Amateur Championships - IFBB,Light-HeavyWeight,2,Pawel Filleborn,
European Amateur Championships - IFBB,Light-HeavyWeight,3,Jan Hollensberg,
European Amateur Championships - IFBB,Light-HeavyWeight,4,Jan Kus,
European Amateur Championships - IFBB,Light-HeavyWeight,5,Glenn Gravenbeek,
European Amateur Championships - IFBB,Light-HeavyWeight,6,Maurizio Santoro,
European Amateur Championships - IFBB,Light-HeavyWeight,7,Armando Defant,
European Amateur Championships - IFBB,Light-HeavyWeight,8,Martin Alamango,
European Amateur Championships - IFBB,Light-HeavyWeight,9,Johan Oldenmark
  (Sweden),
European Amateur Championships - IFBB,Light-HeavyWeight,10,Muammer Ilmaz,
European Amateur Championships - IFBB,Light-HeavyWeight,11,Petter Bjerke,
European Amateur Championships - IFBB,Light-HeavyWeight,12,Jorge Serrnano,
European Amateur Championships - IFBB,Light-HeavyWeight,13,Hayrettin Dinger,
European Amateur Championships - IFBB,Light-HeavyWeight,14,Pascal Tochon,
European Amateur Championships - IFBB,Light-HeavyWeight,15,Juhani Hokkanen,
European Amateur Championships - IFBB,MiddleWeight,1,Wilhelm Jasinowski,
European Amateur Championships - IFBB,MiddleWeight,2,Ereyetis Kurtural,
European Amateur Championships - IFBB,MiddleWeight,3,Francis Benfatto,
European Amateur Championships - IFBB,MiddleWeight,4,Miroslav Jastrebski,
European Amateur Championships - IFBB,MiddleWeight,5,Miguel Perez (1),
European Amateur Championships - IFBB,MiddleWeight,6,Andreas Munzer,
European Amateur Championships - IFBB,MiddleWeight,7,Reto Frankhauser,
European Amateur Championships - IFBB,MiddleWeight,8,Antonio Montes,
