Competition,Category,Place,Name,Score
Arnold Sports Festival - IFBB,Figure,1,Cydney Gillon,
Arnold Sports Festival - IFBB,Figure,2,Jessica Reyes Padilla,
Arnold Sports Festival - IFBB,Figure,3,Lola Montez,
Arnold Sports Festival - IFBB,Figure,4,Nicole Zenobia Graham,
Arnold Sports Festival - IFBB,Figure,5,Natalia Soltero,
Arnold Sports Festival - IFBB,Figure,6,Bojana Vasiljevic,
Arnold Sports Festival - IFBB,Figure,7,Latoya Farley,
Arnold Sports Festival - IFBB,Figure,8,Larhannah Robinson,
Arnold Sports Festival - IFBB,Figure,9,An Da Jeong,
Arnold Sports Festival - IFBB,Figure,10,Wendy Fortino,
Boston Pro - IFBB,Figure,1,Lola Montez,
Boston Pro - IFBB,Figure,2,Nicole Zenobia Graham,
Boston Pro - IFBB,Figure,3,Bojana Vasiljevic,
Boston Pro - IFBB,Figure,4,Maude Exantus,
Boston Pro - IFBB,Figure,5,Kiah Tiller,
Boston Pro - IFBB,Figure,6,Wendy Fortino,
Boston Pro - IFBB,Figure,7,Ronshende Whittington,
Boston Pro - IFBB,Figure,8,Luana Carparelli,
Boston Pro - IFBB,Figure,9,Neli Mitreva,
