Competition,Category,Place,Name,Score
Arnold Classic - IFBB,,1,Rich Gaspari,
Arnold Classic - IFBB,,2,Robby Robinson,
Arnold Classic - IFBB,,3,Gary Strydom,
Arnold Classic - IFBB,,4,Samir Bannout,
Arnold Classic - IFBB,,5,Bob Paris,
Arnold Classic - IFBB,,6,Bertil Fox,
Arnold Classic - IFBB,,7,Albert Beckles,
Arnold Classic - IFBB,,8,Ron Love,
Arnold Classic - IFBB,,9,Lance Dreher,
Arnold Classic - IFBB,,10,Alfred Krautgartner,
Arnold Classic - IFBB,,11,Ronald Matz,
Arnold Classic - IFBB,,12,Frank Richard,
Arnold Classic - IFBB,,13,John Terilli,
Arnold Classic - IFBB,,14,Gary Leonard,
Arnold Classic - IFBB,,15,Dan Smith,
Asian Amateur Championships - IFBB,HeavyWeight,1,Aziz Abdul Karim
  (Iraq),
Asian Amateur Championships - IFBB,HeavyWeight,2,Salah Tahir Mahmoud
  (Iraq),
Asian Amateur Championships - IFBB,HeavyWeight,3,Richard Tan
  (Malaysia),
Asian Amateur Championships - IFBB,Light-HeavyWeight,1,Yasushi Koyama    小山裕史

  (Japan),
Asian Amateur Championships - IFBB,Light-HeavyWeight,2,Ahmad Abbas Khadem
  (Iraq),
Asian Amateur Championships - IFBB,Light-HeavyWeight,3,Frankie Chin
  (Hong Kong),
Asian Amateur Championships - IFBB,MiddleWeight,1,Toshio Konuma    小沼敏雄

  (Japan),
Asian Amateur Championships - IFBB,MiddleWeight,2,Mohd Ismail Mohammed
  (Singapore),
Asian Amateur Championships - IFBB,MiddleWeight,3,M Yahya Butt
  (Pakistan),
Asian Amateur Championships - IFBB,Light-MiddleWeight,1,Abdullah Azman
  (Singapore),
Asian Amateur Championships - IFBB,Light-MiddleWeight,2,Imad Jasim Mahmoud
  (Iraq),
Asian Amateur Championships - IFBB,Light-MiddleWeight,3,Shigeru Watanabe    渡辺茂

  (Japan),
Asian Amateur Championships - IFBB,WelterWeight,1,Han Dong Ki
  (Korea),
Asian Amateur Championships - IFBB,WelterWeight,2,Teruo Aso    朝生照雄

  (Japan),
Asian Amateur Championships - IFBB,WelterWeight,3,Masanobu Okamoto    岡本正信

  (Japan),
Asian Amateur Championships - IFBB,LightWeight,1,Kim Jun Ho
  (Korea),
Asian Amateur Championships - IFBB,LightWeight,2,Yousif Ahmed Hassan
  (Iraq),
Asian Amateur Championships - IFBB,LightWeight,3,Levi Rumbewas
  (Indonesia),
Asian Amateur Championships - IFBB,BantamWeight,1,Bang Woon Hyuk
  (Korea),
Asian Amateur Championships - IFBB,BantamWeight,2,Hisashi Kamisawa    上沢尚志

  (Japan),
Asian Amateur Championships - IFBB,BantamWeight,3,Ibrahim Bin Sihat
  (Singapore),
Asian Amateur Championships - IFBB,FlyWeight,1,Jung Bo Hun
  (Korea),
Asian Amateur Championships - IFBB,FlyWeight,2,Sherko Ramdan
  (Iraq),
Asian Amateur Championships - IFBB,FlyWeight,3,Akio Kawakami    川上昭雄

  (Japan),
British Championships - IFBB,HeavyWeight,1,Ian Harrison,
British Championships - IFBB,HeavyWeight,2,Gary Taylor,
British Championships - IFBB,HeavyWeight,3,Eddie Ellwood,
British Championships - IFBB,HeavyWeight,4,Mick Theo,
British Championships - IFBB,HeavyWeight,5,Amoury Francis,
British Championships - IFBB,HeavyWeight,6,Andy Enry,
British Championships - IFBB,Light-HeavyWeight,1,J D Dawodu,
British Championships - IFBB,Light-HeavyWeight,2,Gary Shelmerdine,
British Championships - IFBB,Light-HeavyWeight,3,James Shelmerdine,
British Championships - IFBB,Light-HeavyWeight,4,Jim Connors,
British Championships - IFBB,Light-HeavyWeight,5,Herman Jiminez,
British Championships - IFBB,Light-HeavyWeight,6,Norris McLoud,
British Championships - IFBB,MiddleWeight,1,Ian Atkinson,
British Championships - IFBB,MiddleWeight,2,Michael Duffy (1),
British Championships - IFBB,MiddleWeight,3,Steve Clarke,
British Championships - IFBB,MiddleWeight,4,Carlo Gabb,
British Championships - IFBB,MiddleWeight,5,Ben Ryan,
British Championships - IFBB,MiddleWeight,6,Steve Kreiton,
British Championships - IFBB,LightWeight,1,Cavan Darby,
British Championships - IFBB,LightWeight,2,David Lake,
British Championships - IFBB,LightWeight,3,Tommy Rix,
British Championships - IFBB,LightWeight,4,Tony Millar,
British Championships - IFBB,LightWeight,5,Peter Peck,
British Championships - IFBB,LightWeight,6,Ken Salt,
European Amateur Championships - IFBB,HeavyWeight,1,Jeffrey Lopez,
European Amateur Championships - IFBB,HeavyWeight,2,Leopoldo Caminotta,
European Amateur Championships - IFBB,HeavyWeight,3,Arthur Buurman,
European Amateur Championships - IFBB,HeavyWeight,4,Rosario Bonaccorsi,
European Amateur Championships - IFBB,HeavyWeight,5,Dennis Fagerstrand,
European Amateur Championships - IFBB,Light-HeavyWeight,1,Mirosław Daszkiewicz,
European Amateur Championships - IFBB,Light-HeavyWeight,2,Libor Minarik,
European Amateur Championships - IFBB,Light-HeavyWeight,3,Petter Bjerke,
European Amateur Championships - IFBB,Light-HeavyWeight,4,Thomas Misch,
