Competition,Category,Place,Name,Score
World Amateur Championships - IFBB,HeavyWeight,1,Zdenka Tvrda
  (Czech Republic),
World Amateur Championships - IFBB,HeavyWeight,2,Marika Blankenstein
  (Germany),
World Amateur Championships - IFBB,HeavyWeight,3,Sabine Bracht
  (Germany),
World Amateur Championships - IFBB,HeavyWeight,4,Eva Maria Eriksson
  (Sweden),
World Amateur Championships - IFBB,HeavyWeight,5,Antonella Centanaro
  (Italy),
World Amateur Championships - IFBB,HeavyWeight,6,Minna Rynamen
  (Finland),
World Amateur Championships - IFBB,HeavyWeight,7,Julia Stefanovitch
  (Russia),
World Amateur Championships - IFBB,HeavyWeight,8,Aase Svendheim
  (Norway),
World Amateur Championships - IFBB,HeavyWeight,9,Erika Taksony
  (Hungary),
World Amateur Championships - IFBB,HeavyWeight,10,Anne Oksanen
  (Finland),
World Amateur Championships - IFBB,HeavyWeight,11,Marika Johansson
  (Sweden),
World Amateur Championships - IFBB,HeavyWeight,12,Kristie Kelly
  (United States),
World Amateur Championships - IFBB,HeavyWeight,13,Christina Lavezzi
  (Italy),
World Amateur Championships - IFBB,HeavyWeight,14,Corletta Wickham
  (Barbados),
World Amateur Championships - IFBB,MiddleWeight,1,Inna Uit
  (Estonia),
World Amateur Championships - IFBB,MiddleWeight,2,Patricia David
  (France),
World Amateur Championships - IFBB,MiddleWeight,3,Elena Kurakova
  (Moldova),
World Amateur Championships - IFBB,MiddleWeight,4,Maria Rita Bello
  (Argentina),
World Amateur Championships - IFBB,MiddleWeight,5,Guzel Akgul
  (Netherlands),
World Amateur Championships - IFBB,MiddleWeight,6,Barbara Kafkova
  (Czech Republic),
World Amateur Championships - IFBB,MiddleWeight,7,Hana Stepankova
  (Slovakia),
World Amateur Championships - IFBB,MiddleWeight,8,Rita Rinner
  (Switzerland),
World Amateur Championships - IFBB,MiddleWeight,9,Verena Meier
  (Switzerland),
World Amateur Championships - IFBB,MiddleWeight,10,Violet Keiter
  (Germany),
World Amateur Championships - IFBB,MiddleWeight,11,Lea Juvonen
  (Finland),
World Amateur Championships - IFBB,MiddleWeight,12,Raissa Merchina
  (Russia),
World Amateur Championships - IFBB,MiddleWeight,13,Monica Martins
  (Brazil),
World Amateur Championships - IFBB,MiddleWeight,14,Gina Marie Hall
  (United States),
World Amateur Championships - IFBB,MiddleWeight,15,Danza Marques
  (Brazil),
World Amateur Championships - IFBB,LightWeight,1,Iryna Petrenko
  (Ukraine),
World Amateur Championships - IFBB,LightWeight,2,Cathy Pailain
  (France),
World Amateur Championships - IFBB,LightWeight,3,Marina Vari
  (Italy),
World Amateur Championships - IFBB,LightWeight,4,Donna Kaylor
  (United States),
World Amateur Championships - IFBB,LightWeight,5,Christine Noel
  (France),
World Amateur Championships - IFBB,LightWeight,6,Brigitte Schori
  (Switzerland),
World Amateur Championships - IFBB,LightWeight,7,Zelika Tepes
  (Croatia),
World Amateur Championships - IFBB,LightWeight,8,Federica Segantini
  (Italy),
World Amateur Championships - IFBB,LightWeight,9,Gabriella DiTursi
  (Italy),
World Amateur Championships - IFBB,LightWeight,10,Luciana Cardosa
  (Brazil),
World Amateur Championships - IFBB,LightWeight,11,Utako Mizuma    水間詠子

  (Japan),
World Amateur Championships - IFBB,LightWeight,12,Aylin Akbal
  (Turkey),
World Amateur Championships - IFBB,LightWeight,13,Shawn Farley
  (Barbados),
World Amateur Championships - IFBB,LightWeight,14,Jan Johnson (2)
  (Bahamas),
