Competition,Category,Place,Name,Score
Mr America - IFBB,Tall,1,Gene Shuey,
Mr America - IFBB,Tall,2,Ron Covino,
Mr America - IFBB,Tall,3,Gerard Gougeon,
Mr America - IFBB,Tall,4,Hal Vieweg,
Mr America - IFBB,Medium,1,Larry Powers,
Mr America - IFBB,Medium,2,Alex Hazel,
Mr America - IFBB,Medium,3,Jean-Paul Gadbois,
Mr America - IFBB,Medium,4,Alex Atkinson,
Mr America - IFBB,Medium,5,Joe Diadati,
Mr America - IFBB,Short,1,Germain Godbout,
Mr America - IFBB,Short,2,Norman Archambault,
Mr America - IFBB,Short,3,Joe Marceau,
Mr America - IFBB,Short,4,Arnold Molinell,
Mr America - IFBB,Short,5,Marshall Gray,
Mr Canada - IFBB,,1,Jean-Charles St Mars,
Mr Canada - IFBB,,2,Norman Archambault,
Mr Canada - IFBB,,3,Andre Renaud,
Universe - IFBB,Tall,1,Chuck Sipes,
Universe - IFBB,Tall,2,Michel Hercules,
Universe - IFBB,Tall,3,Joseph Guarisco,
Universe - IFBB,Medium,1,Tony Bartoli,
Universe - IFBB,Medium,2,Mike Chater,
Universe - IFBB,Medium,3,Niskash Datta,
Universe - IFBB,Medium,4,Robert Smith (1),
Universe - IFBB,Short,1,Ken Togawa,
Universe - IFBB,Short,2,Romeo Boily,
Universe - IFBB,Short,3,Claude St Jean,
