Competition,Category,Place,Name,Score
Arnold Amateur - IFBB,Super-HeavyWeight,1,Morgan Aste,
Arnold Amateur - IFBB,Super-HeavyWeight,2,Robert Wilmote,
Arnold Amateur - IFBB,Super-HeavyWeight,3,Anthony Spencer,
Arnold Amateur - IFBB,Super-HeavyWeight,4,Thierrydan Afandonougbo,
Arnold Amateur - IFBB,Super-HeavyWeight,5,Joseph Waterhouse,
Arnold Amateur - IFBB,HeavyWeight,1,Benny Brantley,
Arnold Amateur - IFBB,HeavyWeight,2,Brandon Medak,
Arnold Amateur - IFBB,HeavyWeight,3,Pavlo Prontenko,
Arnold Amateur - IFBB,HeavyWeight,4,Taylor McLaughlin,
Arnold Amateur - IFBB,HeavyWeight,5,Jair Espino,
Arnold Amateur - IFBB,HeavyWeight,6,Zhao Yang,
Arnold Amateur - IFBB,HeavyWeight,7,Antti Jarvansuu,
Arnold Amateur - IFBB,HeavyWeight,8,Gursewak Singh Virk,
Arnold Amateur - IFBB,HeavyWeight,9,Frank Meekins,
Arnold Amateur - IFBB,HeavyWeight,10,Travis Adams,
Arnold Amateur - IFBB,Light-HeavyWeight,1,Jason Bothwell,
Arnold Amateur - IFBB,Light-HeavyWeight,2,Lenny Wicks,
Arnold Amateur - IFBB,Light-HeavyWeight,3,Hissun Albagshi,
Arnold Amateur - IFBB,Light-HeavyWeight,4,Freddy Marquez,
Arnold Amateur - IFBB,Light-HeavyWeight,5,Nicolov Nikola,
Arnold Amateur - IFBB,Light-HeavyWeight,6,Rushdan Powell,
Arnold Amateur - IFBB,Light-HeavyWeight,7,Kevin Machado,
Arnold Amateur - IFBB,Light-HeavyWeight,8,Brian O'Neil,
Arnold Amateur - IFBB,Light-HeavyWeight,9,Denny Guemos,
Arnold Amateur - IFBB,Light-HeavyWeight,10,Pushpinder Bharti,
Arnold Amateur - IFBB,Light-HeavyWeight,11,Carlos Mendoza,
Arnold Amateur - IFBB,Light-HeavyWeight,12,Peter Mancini,
Arnold Amateur - IFBB,Light-HeavyWeight,13,Mustafa Almahasnah,
Arnold Amateur - IFBB,MiddleWeight,1,Abtin Shekarabi,
Arnold Amateur - IFBB,MiddleWeight,2,Ali Alzaher (1),
Arnold Amateur - IFBB,MiddleWeight,3,Ignacio Torres,
Arnold Amateur - IFBB,MiddleWeight,4,Ali Alzaher (2),
Arnold Amateur - IFBB,MiddleWeight,5,Carl Taylor,
Arnold Amateur - IFBB,MiddleWeight,6,Javier Ramirez,
Arnold Amateur - IFBB,MiddleWeight,7,Ruben Mahecha,
Arnold Amateur - IFBB,MiddleWeight,8,Wael Alshaikh,
Arnold Amateur - IFBB,MiddleWeight,9,Mauro Zotti,
Arnold Amateur - IFBB,MiddleWeight,10,Chad Pfenninger,
Arnold Amateur - IFBB,WelterWeight,1,Derrione Hill,
Arnold Amateur - IFBB,WelterWeight,2,Muntathir Al Rubh,
Arnold Amateur - IFBB,WelterWeight,3,Adrian Arroyo,
Arnold Amateur - IFBB,WelterWeight,4,Abdul Malik,
Arnold Amateur - IFBB,WelterWeight,5,Todd Forkell,
Arnold Amateur - IFBB,WelterWeight,6,Zack Magdich,
Arnold Amateur - IFBB,WelterWeight,7,Mohamed Bouissi,
Arnold Amateur - IFBB,WelterWeight,8,Mohammed Alomran,
Arnold Amateur - IFBB,WelterWeight,9,Raymond Maclin,
Arnold Amateur - IFBB,LightWeight,1,Julian Correa,
Arnold Amateur - IFBB,LightWeight,2,Enkh-Erdene Doljinsuren,
Arnold Amateur - IFBB,LightWeight,3,Karanjit Singh,
Arnold Amateur - IFBB,LightWeight,4,Mario Alberto Marcel Ortega,
Arnold Amateur - IFBB,LightWeight,5,Pineda Hernandez Felix,
Arnold Amateur - IFBB,LightWeight,6,Rafael DeGuzman,
Arnold Amateur - IFBB,LightWeight,7,Tony Yeatts,
Arnold Amateur - IFBB,LightWeight,8,Erick Ramirez (3),
Arnold Amateur - IFBB,LightWeight,9,Ahmad Al Adawi,
Arnold Amateur - IFBB,LightWeight,10,Rene Aldape,
Arnold Amateur - IFBB,LightWeight,11,Hunter Shovelton,
Arnold Amateur - IFBB,BantamWeight,1,Jeshan Fernando,
Arnold Amateur - IFBB,BantamWeight,2,Persad Vishnu,
Arnold Amateur - IFBB,BantamWeight,3,Matthew Keith,
Arnold Amateur - IFBB,BantamWeight,4,Ibrahim Aljoilan,
Arnold Amateur - IFBB,Classic A,1,Abtin Shekarabi,
Arnold Amateur - IFBB,Classic A,2,Derrione Hill,
Arnold Amateur - IFBB,Classic A,3,Miguel Sanchez,
Arnold Amateur - IFBB,Classic A,4,Ali Alzaher (2),
Arnold Amateur - IFBB,Classic A,5,Hassan Alkhafa,
Arnold Amateur - IFBB,Classic A,6,Dean Annett,
Arnold Amateur - IFBB,Classic A,7,Aleksei Rudenko,
Arnold Amateur - IFBB,Classic A,8,Benjamin Chimoski,
Arnold Amateur - IFBB,Classic A,9,Hamzah Saeed,
Arnold Amateur - IFBB,Classic A,10,Adrian Arroyo,
Arnold Amateur - IFBB,Classic A,11,Phillip Scipho,
Arnold Amateur - IFBB,Classic A,12,Mauro Zotti,
Arnold Amateur - IFBB,Classic A,13,Kob Yan,
Arnold Amateur - IFBB,Classic A,14,Billy Heck,
Arnold Amateur - IFBB,Classic A,15,Lawrence Bell,
Arnold Amateur - IFBB,Classic A,16,Kyle Lougheed,
Arnold Amateur - IFBB,Classic A,17,Zack Magdich,
Arnold Amateur - IFBB,Classic A,18,Ayman Alibrahim,
Arnold Amateur - IFBB,Classic A,19,Dalton Boggs,
Arnold Amateur - IFBB,Classic A,20,Munkh Erdene,
Arnold Amateur - IFBB,Classic B,1,Ali Alzaher (1),
Arnold Amateur - IFBB,Classic B,2,Rohan Duncan,
Arnold Amateur - IFBB,Classic B,3,Dilshod Niyazov,
Arnold Amateur - IFBB,Classic B,4,Freddy Marquez,
Arnold Amateur - IFBB,Classic B,5,Artem Piari,
Arnold Amateur - IFBB,Classic B,6,Lenny Wicks,
Arnold Amateur - IFBB,Classic B,7,Jared Feather,
Arnold Amateur - IFBB,Classic B,8,David Geler,
Arnold Amateur - IFBB,Classic B,9,Luis Picanes,
Arnold Amateur - IFBB,Classic B,10,Radu Brylnskei,
Arnold Amateur - IFBB,Classic B,11,David Taylor (3),
Arnold Amateur - IFBB,Classic B,12,Denny Guemos,
Arnold Amateur - IFBB,Classic B,13,Pushpinder Bharti,
Arnold Amateur - IFBB,Classic B,14,Tourville Thomas,
Arnold Amateur - IFBB,Classic B,15,Andrew Marchegiano,
Arnold Amateur - IFBB,Classic B,16,Rene Aldape,
Arnold Amateur - IFBB,Classic B,17,Bob Patrick,
Arnold Amateur - IFBB,Classic B,18,Ageal Musa,
Arnold Amateur - IFBB,Classic B,19,Kevin Jones,
Arnold Amateur - IFBB,Classic B,20,Mustafa Almahasnah,
Arnold Amateur - IFBB,Classic B,21,Wael Alshaikh,
Arnold Amateur - IFBB,Classic B,22,Leonardo Culetta,
Arnold Amateur - IFBB,Classic B,23,James Elmer,
Arnold Amateur - IFBB,Classic B,24,Mehdi Emam,
Arnold Amateur - IFBB,Classic B,25,Kirill Geyt,
Arnold Amateur - IFBB,Classic B,26,Kevin Machado,
Arnold Amateur - IFBB,Classic B,27,Ronald Morris,
Arnold Amateur - IFBB,Classic B,28,Evan Shoemaker,
Arnold Amateur - IFBB,Classic B,29,Will Sloan,
Arnold Amateur - IFBB,Classic B,30,Austin Swann,
Arnold Amateur - IFBB,Classic B,31,Michael Washington,
Arnold Amateur - IFBB,Classic B,32,Justin Williams,
Arnold Amateur - IFBB,Classic B,33,Seth Harrelson,
Arnold Amateur - IFBB,Classic C,1,David Kolo,
Arnold Amateur - IFBB,Classic C,2,Annou Gui,
Arnold Amateur - IFBB,Classic C,3,Chris Papasavvas,
Arnold Amateur - IFBB,Classic C,4,Justin Huyghue,
Arnold Amateur - IFBB,Classic C,5,Aleksandr Progressov,
Arnold Amateur - IFBB,Classic C,6,Casey Wilson,
Arnold Amateur - IFBB,Classic C,7,Alireza Shirin,
Arnold Amateur - IFBB,Classic C,8,Valentine Stephanou,
Arnold Amateur - IFBB,Classic C,9,Serdar Teker,
Arnold Amateur - IFBB,Classic C,10,Ryan Delf,
Arnold Amateur - IFBB,Classic C,11,Bartley Weaver,
Arnold Amateur - IFBB,Classic C,12,Dylan Ash,
Arnold Amateur - IFBB,Classic C,13,Leland Wakamatsu,
Arnold Amateur - IFBB,Classic C,14,Kevin Noval,
Arnold Amateur - IFBB,Classic C,15,Ahmad Alhaqshi,
Arnold Amateur - IFBB,Classic C,16,Enjie Xu,
Arnold Amateur - IFBB,Classic C,17,Michael McQuarie,
Arnold Amateur - IFBB,Classic C,18,Frank Meekins,
Arnold Amateur - IFBB,Classic C,19,Michael Moses,
Arnold Amateur - IFBB,Classic C,20,Jerry Robinson,
Arnold Amateur - IFBB,Classic C,21,Christopher Spivey,
Arnold Amateur - IFBB,Classic C,22,Chris Van Pelt,
Arnold Amateur - IFBB,Classic C,23,Gursewak Singh Virk,
Arnold Amateur - IFBB,Classic C,24,Detrick Washington,
Arnold Amateur - IFBB,Classic C,25,Marquis Johnson,
Arnold Amateur - IFBB,Classic C,26,Keith Elmore,
Arnold Amateur Australia - IFBB,Super-HeavyWeight,1,Jake Nikolopoulos,
Arnold Amateur Australia - IFBB,Super-HeavyWeight,2,Chris Kavvalos,
Arnold Amateur Australia - IFBB,Super-HeavyWeight,3,Chayse Tattershall,
Arnold Amateur Australia - IFBB,Super-HeavyWeight,4,Adam Rochester,
Arnold Amateur Australia - IFBB,Super-HeavyWeight,5,Ross Moloney,
Arnold Amateur Australia - IFBB,Super-HeavyWeight,6,Shayne Smith,
Arnold Amateur Australia - IFBB,Super-HeavyWeight,7,Radu Apostol,
Arnold Amateur Australia - IFBB,Super-HeavyWeight,8,Julian Wood,
Arnold Amateur Australia - IFBB,Super-HeavyWeight,9,Daryl Tomuli,
Arnold Amateur Australia - IFBB,Super-HeavyWeight,10,Muntazir Hussain,
Arnold Amateur Australia - IFBB,Super-HeavyWeight,-,Rhys Furszt,
Arnold Amateur Australia - IFBB,Super-HeavyWeight,-,Harry Vlahos,
Arnold Amateur Australia - IFBB,HeavyWeight,1,James Ormsby,
Arnold Amateur Australia - IFBB,HeavyWeight,2,Youssef Hamad,
Arnold Amateur Australia - IFBB,HeavyWeight,3,Brock Newman,
Arnold Amateur Australia - IFBB,HeavyWeight,4,Chris Skogberg,
Arnold Amateur Australia - IFBB,HeavyWeight,5,Matthew Battye,
Arnold Amateur Australia - IFBB,HeavyWeight,6,Sean Berman,
Arnold Amateur Australia - IFBB,HeavyWeight,7,Zachery Ambler,
Arnold Amateur Australia - IFBB,HeavyWeight,8,David Hughes,
Arnold Amateur Australia - IFBB,Light-HeavyWeight,1,James Newcombe,
Arnold Amateur Australia - IFBB,Light-HeavyWeight,2,Mijail Barak,
Arnold Amateur Australia - IFBB,Light-HeavyWeight,3,Kirat Singh,
Arnold Amateur Australia - IFBB,Light-HeavyWeight,4,Inoke Harvey Ligari,
Arnold Amateur Australia - IFBB,Light-HeavyWeight,5,Mohammed Albu Attiya,
Arnold Amateur Australia - IFBB,Light-HeavyWeight,6,Jekesoni Yanuyanudrua,
Arnold Amateur Australia - IFBB,Light-HeavyWeight,7,Luke Fuller,
Arnold Amateur Australia - IFBB,Light-HeavyWeight,8,Scott Kilby,
Arnold Amateur Australia - IFBB,Light-HeavyWeight,9,Mark Costanzo,
Arnold Amateur Australia - IFBB,Light-HeavyWeight,10,David Matthews,
Arnold Amateur Australia - IFBB,Light-HeavyWeight,-,Candel Kumud,
Arnold Amateur Australia - IFBB,Light-HeavyWeight,-,Casey Mits,
Arnold Amateur Australia - IFBB,Light-HeavyWeight,-,Zac Wood,
Arnold Amateur Australia - IFBB,MiddleWeight,1,Ben Roberts,
