Competition,Category,Place,Name,Score
Asian Amateur Championships - IFBB,HeavyWeight,1,Ahmad Hadi Abbas
  (Iraq),
Asian Amateur Championships - IFBB,HeavyWeight,2,Shin Sung Soo
  (Korea),
Asian Amateur Championships - IFBB,HeavyWeight,3,Tusher Kanti Sil
  (India),
Asian Amateur Championships - IFBB,Light-HeavyWeight,1,Ahmed Hadi
  (Iraq),
Asian Amateur Championships - IFBB,Light-HeavyWeight,2,Kim Soon Yong
  (Korea),
Asian Amateur Championships - IFBB,Light-HeavyWeight,3,Anandan Arokiasamy
  (Malaysia),
Asian Amateur Championships - IFBB,MiddleWeight,1,Cheng Hai-Yuan
  (Taiwan),
Asian Amateur Championships - IFBB,MiddleWeight,2,Teh Ah Fook
  (Malaysia),
Asian Amateur Championships - IFBB,MiddleWeight,3,Talib Shehab
  (Iraq),
Asian Amateur Championships - IFBB,LightWeight,1,Fatholomein Ali
  (Singapore),
Asian Amateur Championships - IFBB,LightWeight,2,Park Yung Chul
  (Korea),
Asian Amateur Championships - IFBB,LightWeight,3,Itsuo Nagamune    長宗五十夫

  (Japan),
Asian Amateur Championships - IFBB,BantamWeight,1,Bujang Taha
  (Malaysia),
Asian Amateur Championships - IFBB,BantamWeight,2,Akio Kawakami    川上昭雄

  (Japan),
Asian Amateur Championships - IFBB,BantamWeight,3,Ibrahim Bin Sihat
  (Singapore),
Canada Pro Cup - IFBB,,1,Boyer Coe,
Canada Pro Cup - IFBB,,2,Albert Beckles,
Canada Pro Cup - IFBB,,3,Johnny Fuller,
Canada Pro Cup - IFBB,,4,Tony Pearson,
Canada Pro Cup - IFBB,,5,Jusup Wilkosz,
Canada Pro Cup - IFBB,,6,Andreas Cahling,
Canada Pro Cup - IFBB,,7,Scott Wilson,
Canada Pro Cup - IFBB,,8,Carlos Rodriguez,
Canada Pro Cup - IFBB,,9,Harold Poole,
Canada Pro Cup - IFBB,,10,Mohamed Makkawy,
Canada Pro Cup - IFBB,,11,Wayne Robbins,
Canada Pro Cup - IFBB,,12,Steve Davis (1),
Canada Pro Cup - IFBB,,13,Jocelyn Pelletier,
European Amateur Championships - IFBB,HeavyWeight,1,Gunnar Rosbo
  (Norway),
European Amateur Championships - IFBB,HeavyWeight,2,Josef Vesely
  (Serbia & Montenegro),
