Competition,Category,Place,Name,Score
Asian Amateur Championships - IFBB,HeavyWeight,1,Malek Noor
  (Malaysia),
Asian Amateur Championships - IFBB,HeavyWeight,2,Ahmad Hadi Abbas
  (Iraq),
Asian Amateur Championships - IFBB,HeavyWeight,3,Aziz Abdul Karim
  (Iraq),
Asian Amateur Championships - IFBB,Light-HeavyWeight,1,Katsumi Kitamura    北村克己

  (Japan),
Asian Amateur Championships - IFBB,Light-HeavyWeight,2,Ali Hussein Jasan
  (Iraq),
Asian Amateur Championships - IFBB,Light-HeavyWeight,3,Imad Jasim Mahmoud
  (Iraq),
Asian Amateur Championships - IFBB,MiddleWeight,1,Prem Chand Degra
  (India),
Asian Amateur Championships - IFBB,MiddleWeight,2,Kang Kyung Soon
  (Korea),
Asian Amateur Championships - IFBB,MiddleWeight,3,Quasar Pervaz
  (Pakistan),
Asian Amateur Championships - IFBB,WelterWeight,1,Fatholomein Ali
  (Singapore),
Asian Amateur Championships - IFBB,WelterWeight,2,Mahmoud Ahmed Zaidan
  (Iraq),
Asian Amateur Championships - IFBB,WelterWeight,3,Teruo Aso    朝生照雄

  (Japan),
Asian Amateur Championships - IFBB,LightWeight,1,Justin Sompong
  (Malaysia),
Asian Amateur Championships - IFBB,LightWeight,2,Yousif Ahmed Hassan
  (Iraq),
Asian Amateur Championships - IFBB,LightWeight,3,Preecha Sowana
  (Thailand),
Asian Amateur Championships - IFBB,BantamWeight,1,Akio Kawakami    川上昭雄

  (Japan),
Asian Amateur Championships - IFBB,BantamWeight,2,Ibrahim Bin Sihat
  (Singapore),
Asian Amateur Championships - IFBB,BantamWeight,3,Kim Kwang Ho
  (Korea),
European Amateur Championships - IFBB,HeavyWeight,1,Peter Hensel,
European Amateur Championships - IFBB,HeavyWeight,2,Olev Annus,
European Amateur Championships - IFBB,HeavyWeight,3,Willem Jonkman,
European Amateur Championships - IFBB,HeavyWeight,4,Jan Malmqvist,
European Amateur Championships - IFBB,HeavyWeight,5,Gunther Kuhni,
European Amateur Championships - IFBB,Light-HeavyWeight,1,Josef Peter,
European Amateur Championships - IFBB,Light-HeavyWeight,2,Richard Farmer,
European Amateur Championships - IFBB,Light-HeavyWeight,3,Jan Hollensberg,
European Amateur Championships - IFBB,Light-HeavyWeight,4,Stig Eve Nilson,
European Amateur Championships - IFBB,Light-HeavyWeight,5,Gary Kendal,
European Amateur Championships - IFBB,Light-HeavyWeight,6,Rob Van Der Dussen,
European Amateur Championships - IFBB,MiddleWeight,1,Miroslav Jastrebski,
European Amateur Championships - IFBB,MiddleWeight,2,Daniel Coussieu,
European Amateur Championships - IFBB,MiddleWeight,3,Lourenco Brasil,
European Amateur Championships - IFBB,MiddleWeight,4,Anton Holic,
European Amateur Championships - IFBB,MiddleWeight,5,Edward Boef,
European Amateur Championships - IFBB,LightWeight,1,Juan Carlos Lopez,
European Amateur Championships - IFBB,LightWeight,2,Bernd Haid,
European Amateur Championships - IFBB,LightWeight,3,Wilhelm Janach,
European Amateur Championships - IFBB,LightWeight,4,Eric Pieters,
European Amateur Championships - IFBB,LightWeight,5,Paul Koole,
Night of Champions - IFBB,,1,Albert Beckles,
Night of Champions - IFBB,,2,Rich Gaspari,
Night of Champions - IFBB,,3,Bob Birdsong,
Night of Champions - IFBB,,4,Mike Christian,
Night of Champions - IFBB,,5,Frank Richard,
Night of Champions - IFBB,,6,John Terilli,
Night of Champions - IFBB,,7,Ali Malla,
Night of Champions - IFBB,,8,Robby Robinson,
Night of Champions - IFBB,,9,Tony Pearson,
Night of Champions - IFBB,,10,John Brown,
Night of Champions - IFBB,,10,Bill Grant,
Night of Champions - IFBB,,12,Gary Leonard,
Night of Champions - IFBB,,13,Charles Glass,
Night of Champions - IFBB,,14,Shigeru Sugita    杉田茂,
Night of Champions - IFBB,,14,Scott Wilson,
Olympia - IFBB,,1,Lee Haney,
Olympia - IFBB,,2,Albert Beckles,
Olympia - IFBB,,3,Rich Gaspari,
Olympia - IFBB,,4,Mohamed Makkawy,
Olympia - IFBB,,5,Mike Christian,
Olympia - IFBB,,6,Berry DeMey,
Olympia - IFBB,,7,Tom Platz,
Olympia - IFBB,,8,Sergio Oliva,
Olympia - IFBB,,9,Bob Paris,
Olympia - IFBB,,10,Frank Richard,
Olympia - IFBB,,11,Bob Birdsong,
Olympia - IFBB,,12,Tony Pearson,
Olympia - IFBB,,13,Wilfred Sylvester,
Olympia - IFBB,,14,John Brown,
