Competition,Category,Place,Name,Score
Mr America - IFBB,Tall,1,Chester Yorton,
Mr America - IFBB,Tall,2,Don Howorth,
Mr America - IFBB,Tall,3,David Sheppard (2),
Mr America - IFBB,Medium,1,Frank Zane,
Mr America - IFBB,Medium,2,Tommy Aybar,
Mr America - IFBB,Medium,3,William Beach,
Mr America - IFBB,Short,1,Rock Stonewall (Jesse),
Mr America - IFBB,Short,2,Hank Zarco,
Mr America - IFBB,Short,3,Eddie Giuliani,
Mr America - IFBB,Most Muscular,1,Rock Stonewall (Jesse),
Mr East Coast - IFBB,Tall,1,Frank Zane,
Mr East Coast - IFBB,Tall,2,David Sheppard (2),
Mr East Coast - IFBB,Tall,3,Tony Carroll,
Mr East Coast - IFBB,Tall,4,Larry Powers,
Mr East Coast - IFBB,Tall,5,Wally Farrell,
Mr East Coast - IFBB,Short,1,Jerry Darrel,
Mr East Coast - IFBB,Short,2,Eddie Giuliani,
Mr East Coast - IFBB,Short,3,Harry Scott,
Mr East Coast - IFBB,Short,4,Bob Perry,
Mr East Coast - IFBB,Short,5,Elliot Gilchrist,
Mr East Coast - IFBB,Teen Tall,1,Tommy Aybar,
Mr East Coast - IFBB,Teen Tall,2,William Manetti,
Mr East Coast - IFBB,Teen Tall,3,Roy Hamelin,
Mr East Coast - IFBB,Teen Tall,4,Ostacio Neyron,
Mr East Coast - IFBB,Teen Short,1,Robert Ascolese,
Mr East Coast - IFBB,Teen Short,2,Joe Richards,
Mr East Coast - IFBB,Teen Short,3,Vinnie Reno,
Mr East Coast - IFBB,Teen Short,4,Victor Miranda,
Mr Eastern America - IFBB,Tall,1,David Sheppard (2),
Mr Eastern America - IFBB,Tall,2,Tony Carroll,
Mr Eastern America - IFBB,Tall,3,Julian Jackson,
Mr Eastern America - IFBB,Medium,1,Rock Stonewall (Jesse),
Mr Eastern America - IFBB,Medium,2,Frank Zane,
Mr Eastern America - IFBB,Medium,3,Felix Rivera,
Mr Eastern America - IFBB,Short,1,Freddy Ortiz,
Mr Eastern America - IFBB,Short,2,Hank Zarco,
Mr Eastern America - IFBB,Short,3,Johnny Maldonado,
Mr Eastern America - IFBB,Teen Tall,1,Tommy Aybar,
Mr Eastern America - IFBB,Teen Tall,2,Eddie Davis,
Mr Eastern America - IFBB,Teen Tall,3,Ismael Valentin,
Mr Eastern America - IFBB,Teen Medium,1,Sal Quintana,
Mr Eastern America - IFBB,Teen Medium,2,Gary Levy,
Mr Eastern America - IFBB,Teen Medium,3,Robert Ascolese,
Mr Eastern America - IFBB,Teen Short,1,Roman Austin,
Mr Eastern America - IFBB,Teen Short,2,Leon Brown,
Mr Eastern America - IFBB,Teen Short,3,Joe Richards,
Mr International - IFBB,Tall,1,Don Peters
  (United States),
Mr International - IFBB,Tall,2,Fritz Sills,
Mr International - IFBB,Tall,3,Bill Howard
  (United States),
Mr International - IFBB,Medium,1,Rodolfo Flores,
Mr International - IFBB,Medium,2,John Balik
  (United States),
Mr International - IFBB,Medium,3,Scott Cooper
  (United States),
Mr International - IFBB,Short,1,Alex Cardenas,
Mr International - IFBB,Short,2,Juan Campos,
Mr International - IFBB,Short,3,Lonnie Lee Johnson,
Mr International - IFBB,Most Muscular,1,John Balik,
North American Championships - IFBB,Tall,1,David Sheppard (2),
North American Championships - IFBB,Tall,2,Tony Carroll,
North American Championships - IFBB,Tall,3,John Romeo,
North American Championships - IFBB,Medium,1,Frank Zane,
North American Championships - IFBB,Medium,2,Allen Keene,
North American Championships - IFBB,Medium,3,Gary Levy,
North American Championships - IFBB,Short,1,Johnny Maldonado,
North American Championships - IFBB,Short,2,B Bergeron,
North American Championships - IFBB,Short,3,Paul Mastropasqua,
North American Championships - IFBB,Most Muscular,1,Johnny Maldonado,
North American Championships - IFBB,Teen,1,Tommy Aybar,
North American Championships - IFBB,Teen,2,Vinnie Reno,
Olympia - IFBB,,1,Larry Scott,
Olympia - IFBB,,2,Harold Poole,
Olympia - IFBB,,3,Chuck Sipes,
Olympia - IFBB,,4,Sergio Oliva,
Universe - IFBB,Tall,1,Dave Draper,
Universe - IFBB,Tall,2,Jorge Brisco,
Universe - IFBB,Tall,3,Glen Wells,
Universe - IFBB,Short,1,Gable Boudreaux,
Universe - IFBB,Short,2,Kazutosi Ozusa,
Universe - IFBB,Short,3,Johnny Maldonado,
Mr Western America - IFBB,,1,Gable Boudreaux,
Mr Western America - IFBB,,2,George Sheffield,
Mr Western America - IFBB,,3,Dave Dupree,
Mr World - IFBB,Tall,1,Sergio Oliva,
Mr World - IFBB,Tall,2,Allen Keene,
Mr World - IFBB,Tall,3,Vic Downs,
Mr World - IFBB,Short,1,Elliot Gilchrist,
Mr World - IFBB,Short,2,Burnell Williams,
Mr World - IFBB,Short,3,Germain Godbout,
