Competition,Category,Place,Name,Score
Asian Amateur Championships - IFBB,HeavyWeight,1,Aziz Abdul Karim
  (Iraq),
Asian Amateur Championships - IFBB,HeavyWeight,2,Abbas Jabbar
  (Iraq),
Asian Amateur Championships - IFBB,HeavyWeight,3,Yunos Salman
  (Bahrain),
Asian Amateur Championships - IFBB,Light-HeavyWeight,1,Yasushi Koyama    小山裕史

  (Japan),
Asian Amateur Championships - IFBB,Light-HeavyWeight,2,Imad Jasim Mahmoud
  (Iraq),
Asian Amateur Championships - IFBB,Light-HeavyWeight,3,Ahmad Hadi Abbas
  (Iraq),
Asian Amateur Championships - IFBB,MiddleWeight,1,Prem Chand Degra
  (India),
Asian Amateur Championships - IFBB,MiddleWeight,2,Ahmed Hadi
  (Iraq),
Asian Amateur Championships - IFBB,MiddleWeight,3,Kang Kyung Soon
  (Korea),
Asian Amateur Championships - IFBB,LightWeight,1,Han Dong Ki
  (Korea),
Asian Amateur Championships - IFBB,LightWeight,2,Preecha Sowana
  (Thailand),
Asian Amateur Championships - IFBB,LightWeight,3,Fatholomein Ali
  (Singapore),
Asian Amateur Championships - IFBB,BantamWeight,1,Bang Woon Hyuk
  (Korea),
Asian Amateur Championships - IFBB,BantamWeight,2,Moh Ah Kee
  (Singapore),
Asian Amateur Championships - IFBB,BantamWeight,3,Masahide Kinjo    金城正秀

  (Japan),
Canada Pro Cup - IFBB,,1,Albert Beckles,
Canada Pro Cup - IFBB,,2,Bob Birdsong,
Canada Pro Cup - IFBB,,3,Tony Pearson,
Canada Pro Cup - IFBB,,4,Jusup Wilkosz,
Canada Pro Cup - IFBB,,5,Samir Bannout,
Canada Pro Cup - IFBB,,6,Scott Wilson,
Canada Pro Cup - IFBB,,7,Bill Grant,
Canada Pro Cup - IFBB,,8,Charles Glass,
Canada Pro Cup - IFBB,,9,John Brown,
Canada Pro Cup - IFBB,,10,Chuck Williams (1),
European Amateur Championships - IFBB,HeavyWeight,1,Alois Pek,
European Amateur Championships - IFBB,HeavyWeight,2,Willem Jonkman,
European Amateur Championships - IFBB,HeavyWeight,3,Alwin Djaoen,
European Amateur Championships - IFBB,HeavyWeight,4,Wilhelm Hauck,
European Amateur Championships - IFBB,HeavyWeight,5,Jan Malmqvist,
European Amateur Championships - IFBB,HeavyWeight,6,Paweł Przedlaski,
European Amateur Championships - IFBB,Light-HeavyWeight,1,Josef Grolmus,
European Amateur Championships - IFBB,Light-HeavyWeight,2,Ian Dowe,
European Amateur Championships - IFBB,Light-HeavyWeight,3,Dirk Starke,
European Amateur Championships - IFBB,Light-HeavyWeight,4,Jan Hollensberg,
European Amateur Championships - IFBB,Light-HeavyWeight,5,Peter Uricek,
European Amateur Championships - IFBB,Light-HeavyWeight,6,Arnold Speinwender,
European Amateur Championships - IFBB,MiddleWeight,1,Miroslav Jastrebski,
European Amateur Championships - IFBB,MiddleWeight,2,Bernard Gaudry,
European Amateur Championships - IFBB,MiddleWeight,3,Ereyetis Kurtural,
European Amateur Championships - IFBB,MiddleWeight,4,Robert Dantlinger,
European Amateur Championships - IFBB,MiddleWeight,5,Ali Tez,
European Amateur Championships - IFBB,MiddleWeight,6,Martin Alamango,
European Amateur Championships - IFBB,LightWeight,1,Mario Gionotta,
European Amateur Championships - IFBB,LightWeight,2,Juan Carlos Lopez,
European Amateur Championships - IFBB,LightWeight,3,Luciano Andreose,
European Amateur Championships - IFBB,LightWeight,4,Marion Wysochi,
European Amateur Championships - IFBB,LightWeight,5,Peter Wann Jensen,
European Amateur Championships - IFBB,LightWeight,6,Franz Haas,
French Championships - IFBB,HeavyWeight,1,Jean Marc Martin,
French Championships - IFBB,Light-HeavyWeight,1,Soel Nouri,
French Championships - IFBB,MiddleWeight,1,Alain Weber,
French Championships - IFBB,LightWeight,1,Marcel Saint Auret,
French Championships - IFBB,BantamWeight,1,Gerard Jaune,
French Championships - IFBB,Junior - HeavyWeight,1,Jerome Deragne,
French Championships - IFBB,Junior - MiddleWeight,1,Emmanuel Weill,
French Championships - IFBB,Junior - LightWeight,1,Jean Leton,
French Championships - IFBB,Masters HeavyWeight,1,Bernard Lambert,
French Championships - IFBB,Masters MiddleWeight,1,Martin Songue,
French Championships - IFBB,Masters LightWeight,1,Salvatore Boscarino,
Olympia - IFBB,,1,Lee Haney,
Olympia - IFBB,,2,Mohamed Makkawy,
Olympia - IFBB,,3,Jusup Wilkosz,
Olympia - IFBB,,4,Albert Beckles,
Olympia - IFBB,,5,Roy Callendar,
Olympia - IFBB,,6,Samir Bannout,
Olympia - IFBB,,7,Bob Paris,
Olympia - IFBB,,8,Sergio Oliva,
Olympia - IFBB,,9,Tom Platz,
Olympia - IFBB,,10,Bob Birdsong,
Olympia - IFBB,,11,Chris Dickerson,
Olympia - IFBB,,12,Tony Pearson,
Olympia - IFBB,,13,Boyer Coe,
Olympia - IFBB,,14,Chuck Williams (1),
Olympia - IFBB,,15,Bill Grant,
Olympia - IFBB,,16,Charles Glass,
Olympia - IFBB,,17,Robby Robinson,
Olympia - IFBB,,18,Hubert Metz,
Olympia - IFBB,,19,James Gaubert,
Olympia - IFBB,,20,Appie Steenbeek,
World Amateur Championships - IFBB,HeavyWeight,1,Mike Christian,
World Amateur Championships - IFBB,HeavyWeight,2,Berry DeMey,
World Amateur Championships - IFBB,HeavyWeight,3,Olev Annus,
World Amateur Championships - IFBB,HeavyWeight,4,Christer Eriksson,
World Amateur Championships - IFBB,HeavyWeight,5,Alfred Neugebauer,
World Amateur Championships - IFBB,HeavyWeight,6,Mark Hintz,
