Competition,Category,Place,Name,Score
Arnold Classic - IFBB,,1,Shawn Ray,
Arnold Classic - IFBB,,2,Renel Janvier,
Arnold Classic - IFBB,,3,Vince Taylor,
Arnold Classic - IFBB,,4,J J Marsh,
Arnold Classic - IFBB,,5,Thierry Pastel,
Arnold Classic - IFBB,,6,Steve Brisbois,
Arnold Classic - IFBB,,7,Rich Gaspari,
Arnold Classic - IFBB,,8,Robby Robinson,
Arnold Classic - IFBB,,9,Andreas Munzer,
Arnold Classic - IFBB,,10,Francis Benfatto,
Arnold Classic - IFBB,,11,Mohammed Benaziza,
Arnold Classic - IFBB,,12,Selwyn Cottrell,
Arnold Classic - IFBB,,12,Wilhelm Jasinowski,
Arnold Classic - IFBB,,14,Ron Love,
Arnold Classic - IFBB,,15,Michael Devitis,
Arnold Classic - IFBB,,16,Bob Paris,
Arnold Classic - IFBB,,17,Armando Defant,
Asian Amateur Championships - IFBB,HeavyWeight,1,Malek Noor
  (Malaysia),
Asian Amateur Championships - IFBB,HeavyWeight,2,Yeun Je Ho
  (Korea),
Asian Amateur Championships - IFBB,HeavyWeight,3,Abdul Ibrahim
  (Saudi Arabia),
Asian Amateur Championships - IFBB,Light-HeavyWeight,1,Ishak Raja Etam
  (Malaysia),
Asian Amateur Championships - IFBB,Light-HeavyWeight,2,Lee Young Sub
  (Korea),
Asian Amateur Championships - IFBB,Light-HeavyWeight,3,Eid Moshen Balwaal
  (Saudi Arabia),
Asian Amateur Championships - IFBB,MiddleWeight,1,Abdullah Azman
  (Singapore),
Asian Amateur Championships - IFBB,MiddleWeight,2,Seiji Aruga    有賀誠司

  (Japan),
Asian Amateur Championships - IFBB,MiddleWeight,3,Kim Won Tae
  (Korea),
Asian Amateur Championships - IFBB,Light-MiddleWeight,1,Kang Kyung Soon
  (Korea),
Asian Amateur Championships - IFBB,Light-MiddleWeight,2,Fumitoshi Takanishi    高西文利

  (Japan),
Asian Amateur Championships - IFBB,Light-MiddleWeight,3,Yang Xinmin
  (China),
Asian Amateur Championships - IFBB,WelterWeight,1,Kim Jun Ho
  (Korea),
Asian Amateur Championships - IFBB,WelterWeight,2,Teruo Aso    朝生照雄

  (Japan),
Asian Amateur Championships - IFBB,WelterWeight,3,Gan Qing Chun
  (China),
Asian Amateur Championships - IFBB,LightWeight,1,Levi Rumbewas
  (Indonesia),
Asian Amateur Championships - IFBB,LightWeight,2,Bang Woon Hyuk
  (Korea),
Asian Amateur Championships - IFBB,LightWeight,3,Toshihiko Hirota    廣田俊彦

  (Japan),
Asian Amateur Championships - IFBB,BantamWeight,1,Ibrahim Sihat
  (Singapore),
Asian Amateur Championships - IFBB,BantamWeight,2,Hisashi Kamisawa    上沢尚志

  (Japan),
Asian Amateur Championships - IFBB,BantamWeight,3,Ra In Chai
  (Korea),
Asian Amateur Championships - IFBB,FlyWeight,1,Jung Bo Hun
  (Korea),
Asian Amateur Championships - IFBB,FlyWeight,2,Asrelawandi Yuliar
  (Indonesia),
Asian Amateur Championships - IFBB,FlyWeight,3,David Yee
  (Singapore),
Australian Championships - IFBB,Tall,1,Ivan Djirlic,
Australian Championships - IFBB,Tall,2,Rocco Oppedisano,
Australian Championships - IFBB,Tall,2,John Terilli,
Australian Championships - IFBB,Tall,3,Danny Abrahama,
Australian Championships - IFBB,Tall,3,Sonny Gloynes,
Australian Championships - IFBB,Short,1,Graeme Lancefield,
Australian Championships - IFBB,Short,2,Harry Haureliuk,
Australian Championships - IFBB,Short,3,Patrick Capiron,
Australian Championships - IFBB,Junior,1,Sammy Ioannidis,
Australian Championships - IFBB,Junior,2,Paul Gibney,
Australian Championships - IFBB,Junior,3,Mario Vitagliano,
Australian Championships - IFBB,Masters,1,Ian Hay,
Australian Championships - IFBB,Masters,2,Ken Ashton,
Australian Championships - IFBB,Masters,3,Ron Moore,
Australian Championships - IFBB,Grand Masters,1,Carlo Zumbo,
European Amateur Championships - IFBB,HeavyWeight,1,Thomas Misch,
European Amateur Championships - IFBB,HeavyWeight,2,James Roberts,
European Amateur Championships - IFBB,HeavyWeight,3,Peter Torsten,
European Amateur Championships - IFBB,Light-HeavyWeight,1,Hamdullah Aykutlu,
European Amateur Championships - IFBB,Light-HeavyWeight,2,Manfred Kiesl,
European Amateur Championships - IFBB,Light-HeavyWeight,3,Gerard Phibel,
European Amateur Championships - IFBB,MiddleWeight,1,Carlos Cesar,
European Amateur Championships - IFBB,MiddleWeight,2,Bob Lachat,
European Amateur Championships - IFBB,MiddleWeight,3,Antelo Badovani,
European Amateur Championships - IFBB,MiddleWeight,8,Cor Wijler,
European Amateur Championships - IFBB,MiddleWeight,9,Theo Voorbij,
European Amateur Championships - IFBB,LightWeight,1,Justin Jospitre,
European Amateur Championships - IFBB,LightWeight,2,Eduard Derzapf,
European Amateur Championships - IFBB,LightWeight,3,Franz Haas,
European Amateur Championships - IFBB,BantamWeight,1,Sergei Otroch,
European Amateur Championships - IFBB,BantamWeight,2,Samuel Gomez,
European Amateur Championships - IFBB,BantamWeight,3,Miloš Pavlů,
