Competition,Category,Place,Name,Score
Arnold Amateur - IFBB,Physique A,1,Ana Harias,
Arnold Amateur - IFBB,Physique A,2,Joseli Schoenherr,
Arnold Amateur - IFBB,Physique A,3,Lesley Timbol,
Arnold Amateur - IFBB,Physique A,4,Lindsey Angel,
Arnold Amateur - IFBB,Physique A,5,Jeska Boire,
Arnold Amateur - IFBB,Physique B,1,Susanne Schramm,
Arnold Amateur - IFBB,Physique B,2,Jacleine Ely,
Arnold Amateur - IFBB,Physique B,3,Susan Ramirez-Arellano,
Arnold Amateur - IFBB,Physique B,4,Tesla Debarrosa,
Arnold Amateur - IFBB,Figure A,1,Militsa Rivera,
Arnold Amateur - IFBB,Figure A,2,Chie Terui,
Arnold Amateur - IFBB,Figure A,3,Natalia Leon,
Arnold Amateur - IFBB,Figure A,4,Judit Szabo Balega,
Arnold Amateur - IFBB,Figure A,5,Mariha Feliciano,
Arnold Amateur - IFBB,Figure A,6,Damiyah Smith,
Arnold Amateur - IFBB,Figure A,7,Victoria Nael-Decierdo,
Arnold Amateur - IFBB,Figure B,1,Lynn Centino,
Arnold Amateur - IFBB,Figure B,2,Crystal Harris,
Arnold Amateur - IFBB,Figure B,3,Claudia Gentil,
Arnold Amateur - IFBB,Figure B,4,Angie Aldridge,
Arnold Amateur - IFBB,Figure B,5,Shawnee Taylor Jacob,
Arnold Amateur - IFBB,Figure B,6,Nanci Lozano,
Arnold Amateur - IFBB,Figure B,7,Tiffany Wellman,
Arnold Amateur - IFBB,Figure C,1,Anita Davis,
Arnold Amateur - IFBB,Figure C,2,Miranda Weiter,
Arnold Amateur - IFBB,Figure C,3,Ugalztsetseg Gambagaa,
Arnold Amateur - IFBB,Figure C,4,Amanda Penco,
Arnold Amateur - IFBB,Figure C,5,Maria Mora,
Arnold Amateur - IFBB,Figure C,6,Charity Field,
Arnold Amateur - IFBB,Figure C,7,Pornsuda Akarapreecha,
Arnold Amateur - IFBB,Figure C,8,Sonia Rosario,
Arnold Amateur - IFBB,Figure C,9,Cristina Rifo,
Arnold Amateur - IFBB,Figure C,10,Lori Daniels,
Arnold Amateur - IFBB,Figure C,11,Katelyn Earl,
Arnold Amateur - IFBB,Figure C,13,Shawna Rush,
Arnold Amateur - IFBB,Figure C,14,Joy Tomlinson,
Arnold Amateur - IFBB,Figure D,1,Devyn May,
Arnold Amateur - IFBB,Figure D,2,Christina Salyer,
Arnold Amateur - IFBB,Figure D,3,Ronisha Robinson,
Arnold Amateur - IFBB,Figure D,4,Allison Burke,
Arnold Amateur - IFBB,Figure D,5,Jennifer Jordan,
Arnold Amateur - IFBB,Figure D,6,Kelsie Holmes,
Arnold Amateur - IFBB,Figure D,7,Rachael Fountain,
Arnold Amateur - IFBB,Figure D,8,Carly McLain,
Arnold Amateur - IFBB,Figure D,9,Celeste Wright Harris,
Arnold Amateur - IFBB,Figure D,10,Belinda Robertson,
Arnold Amateur - IFBB,Figure D,11,Bijou Vaultz,
Arnold Amateur - IFBB,Figure E,1,Caroline Leticia Zawadzki,
Arnold Amateur - IFBB,Figure E,2,Sasha Vitalis,
Arnold Amateur - IFBB,Figure E,3,Jessica Lenihan,
Arnold Amateur - IFBB,Figure E,4,Michelle Guice,
Arnold Amateur - IFBB,Figure E,5,Zakiyyah Beyah,
Arnold Amateur - IFBB,Figure E,6,Nancy Macchiarella,
Arnold Amateur - IFBB,Figure F,1,Rebecca Broadwater,
Arnold Amateur - IFBB,Figure F,2,Mindy Muylaert,
Arnold Amateur - IFBB,Figure F,3,Ladonna Jones,
Arnold Amateur - IFBB,Figure F,4,Jessica Gubenschek,
Arnold Amateur - IFBB,Figure F,6,Heather Sims,
Arnold Amateur - IFBB,Figure F,7,Ziporah Baez,
Arnold Amateur - IFBB,Figure F,8,Heather Eslinger,
Arnold Amateur - IFBB,Figure F,9,Amanda Wilson,
Arnold Amateur - IFBB,Figure F,10,Sanja Malesevich,
Arnold Amateur - IFBB,Figure F,11,Jessica Lacour,
Arnold Amateur - IFBB,Figure F,12,Mindy Bittner,
Arnold Amateur - IFBB,Figure F,13,Tesla Debarrosa,
Arnold Amateur - IFBB,Figure Masters A,1,Lynn Centino,
Arnold Amateur - IFBB,Figure Masters A,2,Amanda Penco,
Arnold Amateur - IFBB,Figure Masters A,3,Crystal Harris,
Arnold Amateur - IFBB,Figure Masters A,4,Claudia Gentil,
Arnold Amateur - IFBB,Figure Masters A,5,Ugalztsetseg Gambagaa,
Arnold Amateur - IFBB,Figure Masters A,6,Natalia Leon,
Arnold Amateur - IFBB,Figure Masters A,7,Nanci Lozano,
Arnold Amateur - IFBB,Figure Masters A,8,Cristina Rifo,
Arnold Amateur - IFBB,Figure Masters A,9,Teresa Maguran,
Arnold Amateur - IFBB,Figure Masters A,10,Mariha Feliciano,
Arnold Amateur - IFBB,Figure Masters A,11,Lori Daniels,
Arnold Amateur - IFBB,Figure Masters A,12,Trease Gheorghe,
Arnold Amateur - IFBB,Figure Masters A,13,Tracy Miller,
Arnold Amateur - IFBB,Figure Masters A,14,Joy Tomlinson,
Arnold Amateur - IFBB,Figure Masters B,1,Sasha Vitalis,
Arnold Amateur - IFBB,Figure Masters B,2,Allison Burke,
Arnold Amateur - IFBB,Figure Masters B,3,Jennifer Jordan,
Arnold Amateur - IFBB,Figure Masters B,4,Silvie Horka,
Arnold Amateur - IFBB,Figure Masters B,5,Zakiyyah Beyah,
Arnold Amateur - IFBB,Figure Masters B,6,Connie Baker,
Arnold Amateur - IFBB,Figure Masters B,7,Kristenee Smith,
Arnold Amateur - IFBB,Figure Masters B,8,Rachael Fountain,
Arnold Amateur - IFBB,Figure Masters B,9,Celeste Wright Harris,
Arnold Amateur - IFBB,Figure Masters C,1,Caroline Leticia Zawadzki,
Arnold Amateur - IFBB,Figure Masters C,2,Mindy Muylaert,
Arnold Amateur - IFBB,Figure Masters C,3,Heather Sims,
Arnold Amateur - IFBB,Figure Masters C,4,Susanne Schramm,
Arnold Amateur - IFBB,Figure Masters C,5,Ladonna Jones,
Arnold Amateur - IFBB,Figure Masters C,6,Ziporah Baez,
Arnold Amateur - IFBB,Figure Masters C,7,Kelly Smith (3),
Arnold Amateur - IFBB,Figure Masters C,8,Sanja Malesevich,
Arnold Amateur - IFBB,Figure Masters C,9,Nancy Macchiarella,
Arnold Amateur - IFBB,Figure Masters C,10,Mindy Bittner,
Arnold Amateur - IFBB,Figure Masters C,11,Jessica Lacour,
Arnold Amateur - IFBB,Figure Masters C,12,Sharon Wilkinson,
Arnold Amateur - IFBB,Figure Masters C,13,Kristina Pennington,
Arnold Classic - IFBB,Physique,1,Natalia Coelho,
Arnold Classic - IFBB,Physique,2,Ann-Lorraine Mohn,
Arnold Classic - IFBB,Physique,3,Margita Zámolová,
Arnold Classic - IFBB,Physique,4,Desunka Dawson,
Arnold Classic - IFBB,Physique,5,Jennifer Taylor,
Arnold Classic - IFBB,Physique,6,Claudia Diaz,
Arnold Classic - IFBB,Physique,8,Jeannie Feldman,
Arnold Classic - IFBB,Physique,9,Trisha Vezirian,
Arnold Classic - IFBB,Physique,10,Valentina Mishina,
Arnold Classic - IFBB,Physique,10,Laura Richards,
Arnold Classic - IFBB,Figure,1,Natalia Soltero,
Arnold Classic - IFBB,Figure,2,Bojana Vasiljevic,
Arnold Classic - IFBB,Figure,3,Jessica Reyes Padilla,
Arnold Classic - IFBB,Figure,4,Ashley Soto,
Arnold Classic - IFBB,Figure,5,Anna Banks,
Arnold Classic - IFBB,Figure,6,Lola Montez,
Arnold Classic - IFBB,Figure,7,Tarryn Garlington,
Arnold Classic - IFBB,Figure,8,Rhea Gayle,
Arnold Classic - IFBB,Figure,9,Tiffani Lapoint,
