Competition,Category,Place,Name,Score
Indy Pro - IFBB,Open,1,Justin Rodriguez,
Indy Pro - IFBB,Open,2,Mokhamed El Emam,
Indy Pro - IFBB,Open,3,Blessing Awodibu,
Indy Pro - IFBB,Open,4,Dorian Haywood,
Indy Pro - IFBB,Open,5,Carlos Chapa,
Indy Pro - IFBB,Open,6,Morgan Aste,
Indy Pro - IFBB,Open,7,Camilo Diaz,
Indy Pro - IFBB,Open,8,Roy Evans,
Indy Pro - IFBB,Open,9,Dwayne Walker,
Indy Pro - IFBB,Open,10,Stephen Frazier,
Indy Pro - IFBB,Open,11,James Culberson,
Indy Pro - IFBB,Open,12,Seth Engman,
Indy Pro - IFBB,LightWeight,1,Tonio Burton,
Indy Pro - IFBB,LightWeight,2,Nathan Epler,
Indy Pro - IFBB,LightWeight,3,John Jewett,
Indy Pro - IFBB,LightWeight,4,Bryan Balzano,
Indy Pro - IFBB,LightWeight,5,Noel Adame,
Indy Pro - IFBB,LightWeight,6,Justin Randall,
Indy Pro - IFBB,LightWeight,7,Sahar Kazes,
Indy Pro - IFBB,LightWeight,8,Thomas Lenihan,
Indy Pro - IFBB,LightWeight,9,Derik Oslan,
Indy Pro - IFBB,LightWeight,10,Ryan Walters,
Indy Pro - IFBB,LightWeight,11,Peter Castella,
Indy Pro - IFBB,LightWeight,12,Samir Troudi,
Indy Pro - IFBB,LightWeight,13,Devaughn Bartley,
Indy Pro - IFBB,LightWeight,14,Chad Merchant,
Indy Pro - IFBB,LightWeight,15,Nawar Kaabi,
New York Pro Championships - IFBB,Bodybuilding,1,Nicholas Walker,
New York Pro Championships - IFBB,Bodybuilding,2,Justin Rodriguez,
New York Pro Championships - IFBB,Bodybuilding,3,Hassan Mostafa,
New York Pro Championships - IFBB,Bodybuilding,4,Dorian Haywood,
New York Pro Championships - IFBB,Bodybuilding,5,Mokhamed El Emam,
New York Pro Championships - IFBB,Bodybuilding,6,Blessing Awodibu,
New York Pro Championships - IFBB,Bodybuilding,7,An Nguyen,
New York Pro Championships - IFBB,Bodybuilding,8,Morgan Aste,
New York Pro Championships - IFBB,Bodybuilding,9,Roy Evans,
New York Pro Championships - IFBB,Bodybuilding,10,Camilo Diaz,
New York Pro Championships - IFBB,LightWeight,1,Nathan Epler,
New York Pro Championships - IFBB,LightWeight,2,John Jewett,
New York Pro Championships - IFBB,LightWeight,3,Noel Adame,
New York Pro Championships - IFBB,LightWeight,4,Derik Oslan,
New York Pro Championships - IFBB,LightWeight,5,Justin Randall,
New York Pro Championships - IFBB,LightWeight,6,Sahar Kazes,
New York Pro Championships - IFBB,LightWeight,7,Oswaldo Gonzalez,
New York Pro Championships - IFBB,LightWeight,8,Peter Castella,
New York Pro Championships - IFBB,LightWeight,9,Samir Troudi,
New York Pro Championships - IFBB,LightWeight,10,Devaughn Bartley,
New York Pro Championships - IFBB,Classic,1,Dani Younan,
New York Pro Championships - IFBB,Classic,2,Zeek Andrews,
New York Pro Championships - IFBB,Classic,3,Sabur Favors,
New York Pro Championships - IFBB,Classic,4,Marco Ruz,
New York Pro Championships - IFBB,Classic,5,Brandon Kidd,
New York Pro Championships - IFBB,Classic,6,Jason Strayhand,
New York Pro Championships - IFBB,Classic,7,William Scott,
New York Pro Championships - IFBB,Classic,8,Dominic Semenza,
New York Pro Championships - IFBB,Classic,9,Bo Jones,
New York Pro Championships - IFBB,Classic,10,Leo Mayrhofer,
New York Pro Championships - IFBB,Classic,11,Darius Dillon,
New York Pro Championships - IFBB,Classic,12,Dmitrii Vorotyntsev,
New York Pro Championships - IFBB,Classic,13,Keith Lanier,
New York Pro Championships - IFBB,Classic,14,Herbert Sotillo,
New York Pro Championships - IFBB,Classic,15,Christopher Niemczyk,
Pittsburgh Pro - IFBB,Classic,1,Divine Wilson,
Pittsburgh Pro - IFBB,Classic,2,Mudbi Favors,
Pittsburgh Pro - IFBB,Classic,3,Dmitrii Vorotyntsev,
Pittsburgh Pro - IFBB,Classic,4,Tommy Clark,
Pittsburgh Pro - IFBB,Classic,5,Traveon Daniels,
Pittsburgh Pro - IFBB,Classic,6,Damion Ricketts,
Pittsburgh Pro - IFBB,Classic,7,David Robinson,
Pittsburgh Pro - IFBB,Classic,8,Darius Dillon,
Pittsburgh Pro - IFBB,Classic,9,Derek Duszynski,
Pittsburgh Pro - IFBB,Classic,10,Lenny Wicks,
Pittsburgh Pro - IFBB,Classic,11,Ahmed El Halawani,
Pittsburgh Pro - IFBB,Classic,12,Tyler Rose,
Pittsburgh Pro - IFBB,Classic,13,Mike Bell,
Pittsburgh Pro - IFBB,Classic,14,Leonard Mayrhofer,
Pittsburgh Pro - IFBB,Classic,15,Antonio Cummings,
Pittsburgh Pro - IFBB,Classic,-,Mark Knight,
Pittsburgh Pro - IFBB,Classic,-,Israel Leanos,
Pittsburgh Pro - IFBB,Classic,-,Marino Antonio Peralta,
Pittsburgh Pro - IFBB,Classic,-,Paige Russell,
