Competition,Category,Place,Name,Score
British Championships - IFBB,HeavyWeight,1,Beverly Hahn,
British Championships - IFBB,HeavyWeight,2,Colleen Yates,
British Championships - IFBB,HeavyWeight,3,Kathy Knopp,
British Championships - IFBB,HeavyWeight,4,Sarah Cutting,
British Championships - IFBB,HeavyWeight,5,Pam Davies,
British Championships - IFBB,HeavyWeight,6,Patricia Loker,
British Championships - IFBB,MiddleWeight,1,Sandra Berry,
British Championships - IFBB,MiddleWeight,2,Claire Wheeler,
British Championships - IFBB,MiddleWeight,3,Jackie Parrish,
British Championships - IFBB,MiddleWeight,4,Lesley Everitt,
British Championships - IFBB,MiddleWeight,5,Julie Avery,
British Championships - IFBB,MiddleWeight,6,Michelle Barber-Ebb,
British Championships - IFBB,LightWeight,1,Denise Clarke,
British Championships - IFBB,LightWeight,2,Janet Elliot,
British Championships - IFBB,LightWeight,3,Lorna Novak,
British Championships - IFBB,LightWeight,4,Joanne Martin,
European Amateur Championships - IFBB,HeavyWeight,1,Natalja Murnikoviene
  (Lithuania),
European Amateur Championships - IFBB,HeavyWeight,2,Maria Aicher
  (Germany),
European Amateur Championships - IFBB,HeavyWeight,3,Katalin Rubos
  (Hungary),
European Amateur Championships - IFBB,HeavyWeight,4,Cecillie Christensen,
European Amateur Championships - IFBB,HeavyWeight,5,Zdenka Tvrda
  (Serbia & Montenegro),
European Amateur Championships - IFBB,HeavyWeight,6,Zdenka Razymova
  (Czech Republic),
European Amateur Championships - IFBB,HeavyWeight,7,Nadia Kara
  (Algeria),
European Amateur Championships - IFBB,HeavyWeight,8,Beate Drabing
  (Austria),
European Amateur Championships - IFBB,HeavyWeight,9,Milena Cremis,
European Amateur Championships - IFBB,HeavyWeight,10,Madelaine Karlsson,
European Amateur Championships - IFBB,HeavyWeight,11,Sandra Waterschoot,
European Amateur Championships - IFBB,HeavyWeight,12,Angelique Dagniaux,
European Amateur Championships - IFBB,HeavyWeight,13,Ala Gousseva,
European Amateur Championships - IFBB,HeavyWeight,14,Erika Csurgo,
European Amateur Championships - IFBB,MiddleWeight,1,Patricia David
  (France),
European Amateur Championships - IFBB,MiddleWeight,2,Monica Riscoll
  (Sweden),
European Amateur Championships - IFBB,MiddleWeight,3,Valentina Chepiga
  (Ukraine),
European Amateur Championships - IFBB,MiddleWeight,4,Irene Cavalloro (1)
  (Italy),
European Amateur Championships - IFBB,MiddleWeight,5,Aase Svendheim
  (Norway),
European Amateur Championships - IFBB,MiddleWeight,6,Erika Taksony
  (Hungary),
European Amateur Championships - IFBB,MiddleWeight,7,Darina Gajovska
  (Czech Republic),
European Amateur Championships - IFBB,MiddleWeight,8,Vigdis Monsen,
European Amateur Championships - IFBB,MiddleWeight,9,Julia Stefanovitch
  (Russia),
European Amateur Championships - IFBB,MiddleWeight,10,Dorota Jadczak,
European Amateur Championships - IFBB,MiddleWeight,11,Margita Buganyova,
European Amateur Championships - IFBB,MiddleWeight,12,Katarina Musinova,
European Amateur Championships - IFBB,MiddleWeight,13,Inga Kozando,
European Amateur Championships - IFBB,MiddleWeight,14,Fatima Ertug,
European Amateur Championships - IFBB,MiddleWeight,15,Luminita Muresan,
European Amateur Championships - IFBB,LightWeight,1,Andrulla Blanchette
  (England),
European Amateur Championships - IFBB,LightWeight,2,Karin Petz
  (Germany),
European Amateur Championships - IFBB,LightWeight,3,Ljuba Zigalova
  (Finland),
European Amateur Championships - IFBB,LightWeight,4,Christine Noel
  (France),
European Amateur Championships - IFBB,LightWeight,5,Siv Anika Fors,
European Amateur Championships - IFBB,LightWeight,6,Esther Sydfox
  (Spain),
European Amateur Championships - IFBB,LightWeight,7,Astrid Gravenbeek,
European Amateur Championships - IFBB,LightWeight,8,Anna Balko
  (Hungary),
European Amateur Championships - IFBB,LightWeight,9,Lidia Kovacs,
European Amateur Championships - IFBB,LightWeight,10,Elisabeth Wendl,
European Amateur Championships - IFBB,LightWeight,11,Jana Sklarova,
European Amateur Championships - IFBB,LightWeight,12,Iryna Petrenko
  (Ukraine),
European Amateur Championships - IFBB,LightWeight,13,Nuray Ulug,
European Amateur Championships - IFBB,LightWeight,14,Andra Almane,
French Championships - IFBB,HeavyWeight,1,Nadia Kara,
French Championships - IFBB,MiddleWeight,1,Francesca Ferreira,
French Championships - IFBB,LightWeight,1,Catherine Pilain,
Ms International - IFBB,,1,Kim Chizevsky,
Ms International - IFBB,,2,Debbie Muggli,
Ms International - IFBB,,3,Sandy Riddell,
Ms International - IFBB,,4,Sue Gafner,
Ms International - IFBB,,5,Yolanda Hughes,
Ms International - IFBB,,6,Sharon Marvel,
Ms International - IFBB,,7,Sharon Bruneau,
Ms International - IFBB,,8,Zuzanna Korinkova,
Ms International - IFBB,,9,Shelley Beattie,
Ms International - IFBB,,10,Sally Gomez,
Ms International - IFBB,,11,Paula Bircumshaw,
Ms International - IFBB,,12,Claudia Montemaggi,
Ms International - IFBB,,13,Carla Dunlap,
Ms International - IFBB,,13,Meral Ertunc,
Ms International - IFBB,,13,Anita Gandol,
Ms International - IFBB,,13,Audrey Harris,
Ms International - IFBB,,13,Mary Ellen Jerumbo,
Ms International - IFBB,,13,Marjo Selin,
Ms International - IFBB,,13,Kathy Unger,
Jan Tana Pro Classic - IFBB,,1,Denise Rutkowski,
Jan Tana Pro Classic - IFBB,,2,Nancy Lewis,
Jan Tana Pro Classic - IFBB,,3,Tonya Knight,
Jan Tana Pro Classic - IFBB,,4,Drorit Kernes,
Jan Tana Pro Classic - IFBB,,5,Laura Carolan,
Jan Tana Pro Classic - IFBB,,6,Diana Gimmler,
Jan Tana Pro Classic - IFBB,,7,Christa Bauch,
Jan Tana Pro Classic - IFBB,,8,Zuzanna Korinkova,
Jan Tana Pro Classic - IFBB,,9,Gabriella Szikszay,
Jan Tana Pro Classic - IFBB,,10,Audrey Harris,
Jan Tana Pro Classic - IFBB,,11,Tazzie Colomb,
Jan Tana Pro Classic - IFBB,,12,Francesca Petitjean,
Jan Tana Pro Classic - IFBB,,13,Dorothy Herndon,
Jan Tana Pro Classic - IFBB,,14,Eva Sukupova,
Jan Tana Pro Classic - IFBB,,15,Loretta Lomax,
Jan Tana Pro Classic - IFBB,,16,Skye Ryland,
Jan Tana Pro Classic - IFBB,,17,Janet Marchi,
Jan Tana Pro Classic - IFBB,,18,Anita Gandol,
Jan Tana Pro Classic - IFBB,,-,Krista Anderson,
Jan Tana Pro Classic - IFBB,,-,Christiana DelBuono,
Jan Tana Pro Classic - IFBB,,-,Arminda DelRiviero,
Jan Tana Pro Classic - IFBB,,-,Astrid Falconi,
Jan Tana Pro Classic - IFBB,,-,Yurie Iijima    飯島ゆりえ,
Jan Tana Pro Classic - IFBB,,-,Mary Ellen Jerumbo,
Jan Tana Pro Classic - IFBB,,-,Neila Murray,
Jan Tana Pro Classic - IFBB,,-,Yvonne Rosell,
Jan Tana Pro Classic - IFBB,,-,Vicki Sims,
Jan Tana Pro Classic - IFBB,,-,Kathy Unger,
Jan Tana Pro Classic - IFBB,,-,Laura Vukov,
North American Championships - IFBB,HeavyWeight,1,Stacy Ross,
North American Championships - IFBB,HeavyWeight,2,Ann-Marie Crooks,
North American Championships - IFBB,HeavyWeight,3,Jackie Rogers,
North American Championships - IFBB,HeavyWeight,4,Kris Luebke,
North American Championships - IFBB,HeavyWeight,5,Sharyn Eckel,
North American Championships - IFBB,HeavyWeight,6,Rhonda Fuller,
North American Championships - IFBB,HeavyWeight,7,Suzanne Hamilton,
North American Championships - IFBB,HeavyWeight,8,Robin Parker,
North American Championships - IFBB,HeavyWeight,9,Vikki Cole,
North American Championships - IFBB,MiddleWeight,1,Jodi Friedman,
North American Championships - IFBB,MiddleWeight,2,Rachel Mathias,
North American Championships - IFBB,MiddleWeight,3,Jennifer White,
North American Championships - IFBB,MiddleWeight,4,Sherry Meyer,
North American Championships - IFBB,MiddleWeight,5,Andrea Paulik,
North American Championships - IFBB,MiddleWeight,6,Kristie Kelly,
North American Championships - IFBB,MiddleWeight,7,Pat Anderson,
North American Championships - IFBB,MiddleWeight,8,Denise Conan,
North American Championships - IFBB,MiddleWeight,9,Gabriela Garduno,
North American Championships - IFBB,MiddleWeight,10,Maria Aguirre,
North American Championships - IFBB,LightWeight,1,Lourdes Bermuda,
North American Championships - IFBB,LightWeight,2,Dawn Peterson,
Olympia - IFBB,,1,Lenda Murray,
Olympia - IFBB,,2,Denise Rutkowski,
Olympia - IFBB,,3,Laura Creavalle,
Olympia - IFBB,,4,Debbie Muggli,
Olympia - IFBB,,5,Kim Chizevsky,
Olympia - IFBB,,6,Sandy Riddell,
Olympia - IFBB,,7,Shelley Beattie,
Olympia - IFBB,,8,Sharon Marvel,
Olympia - IFBB,,9,Audrey Harris,
Olympia - IFBB,,10,Sharon Bruneau,
Olympia - IFBB,,11,Yolanda Hughes,
Olympia - IFBB,,12,Paula Bircumshaw,
Olympia - IFBB,,13,Nancy Lewis,
Olympia - IFBB,,14,Nikki Fuller,
Olympia - IFBB,,15,Diana Dennis,
