Competition,Location,Date,Competitor Name,Country,Judging,Finals,Round 2,Round 3,Routine,Total,Place,Competition Type
2008 New York Pro,"New York, USA","May 10, 2008",Zoran VEJIC,Serbia,160,80,,,,240,19,Men's Bodybuilding
2008 New York Pro,"New York, USA","May 10, 2008",Ben WHITE,USA,52,24,,,,76,6,Men's Bodybuilding
2008 New York Pro,"New York, USA","May 10, 2008",Kai GREENE,USA,10,5,5.0,,,20,1,Men's Bodybuilding
2008 New York Pro,"New York, USA","May 10, 2008",Mercedes BAZEMORE,,100,52,,,,152,11,Women's Bodybuilding - Open
2008 New York Pro,"New York, USA","May 10, 2008",Debbie BRAMWELL,,84,41,,,,125,7,Women's Bodybuilding - Open
2008 New York Pro,"New York, USA","May 10, 2008",Sarah BRIDGES,,160,80,,,,240,18,Women's Bodybuilding - Open
2008 New York Pro,"New York, USA","May 10, 2008",Kim BUCK,,142,71,,,,213,14,Women's Bodybuilding - Open
2008 New York Pro,"New York, USA","May 10, 2008",Mario CALO,,156,78,,,,234,15,Women's Bodybuilding - Open
2008 New York Pro,"New York, USA","May 10, 2008",Giusy CAPUTO,,156,78,,,,234,15,Women's Bodybuilding - Open
2008 New York Pro,"New York, USA","May 10, 2008",Tina CHANDLER,,82,43,,,,125,7,Women's Bodybuilding - Open
2008 New York Pro,"New York, USA","May 10, 2008",Angela DEBATIN,,128,65,,,,193,13,Women's Bodybuilding - Open
2008 New York Pro,"New York, USA","May 10, 2008",Aurelia GROZAJOVA,,158,79,,,,237,17,Women's Bodybuilding - Open
2008 New York Pro,"New York, USA","May 10, 2008",Rosemary JENNINGS,,28,15,14.0,,,57,3,Women's Bodybuilding - Open
2008 New York Pro,"New York, USA","May 10, 2008",Debi LASZEWSKI,,46,19,23.0,,,88,5,Women's Bodybuilding - Open
2008 New York Pro,"New York, USA","May 10, 2008",Cathy LEFRANCOIS,,10,5,5.0,,,20,1,Women's Bodybuilding - Open
2008 New York Pro,"New York, USA","May 10, 2008",Elizabeth Meza GOMEZ,,160,80,,,,240,18,Women's Bodybuilding - Open
2008 New York Pro,"New York, USA","May 10, 2008",Colette NELSON,,112,54,,,,166,12,Women's Bodybuilding - Open
2008 New York Pro,"New York, USA","May 10, 2008",Jeannie PAPARONE,,28,11,14.0,,,53,2,Women's Bodybuilding - Open
2008 New York Pro,"New York, USA","May 10, 2008",Annie RIVIECCIO,,60,31,,,,91,6,Women's Bodybuilding - Open
2008 New York Pro,"New York, USA","May 10, 2008",Saskia SALEMINK,,92,45,,,,137,9,Women's Bodybuilding - Open
2008 New York Pro,"New York, USA","May 10, 2008",Antoinette THOMPSON,,100,50,,,,150,10,Women's Bodybuilding - Open
2008 New York Pro,"New York, USA","May 10, 2008",Dena WESTERFIELD,,38,24,19.0,,,81,4,Women's Bodybuilding - Open
California Pro,"Culver City, California, USA","May 24, 2008",Huong ARCINAS,USA,10,11,,,,21,4,Figure
California Pro,"Culver City, California, USA","May 24, 2008",Darlina BROWN,USA,20,15,,,,35,5,Figure
