place,judging,finals,total,competitors_name,country,competition_type,competition,location,date,url,img_url
1,3,3,3,Ashlyn Little,"Tampa, FL",Women's Bikini - Open,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg
10,30,30,30,Erin Mayrhofer,"Venice, CA",Women's Bikini - Open,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg
2,6,6,6,Reyna Perez Mecalco,Mexico,Women's Bikini - Open,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg
11,33,33,33,Michelle Pirela,"Katy, TX",Women's Bikini - Open,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg
16,48,48,48,Rosada Plummer,"San Antonio, TX",Women's Bikini - Open,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg
9,27,27,27,Emily Pribula,"Austin, TX",Women's Bikini - Open,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg
17,47,47,47,Aspen Ranz,"Redmond, WA",Women's Bikini - Open,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg
5,16,16,16,Gavi Soni,"Seaford, VA",Women's Bikini - Open,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg
12,36,36,36,Carlee Stevenson,"Phoenix, AZ",Women's Bikini - Open,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg
7,21,21,21,Jessica Alvarado,"Odessa, TX",Women's Wellness - Open,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg
3,9,9,9,Sunny Andrews,"Miami, FL",Women's Wellness - Open,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg
5,15,15,15,Thais Cappelli,"West Columbia, SC",Women's Wellness - Open,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg
1,4,4,4,Jenna De Manincor,"San Antonio, TX",Women's Wellness - Open,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg
2,5,5,5,Grecia Hernandez,"San Juan, TX",Women's Wellness - Open,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg
6,18,18,18,Alejandra La Fonseca,Puerto Rico,Women's Wellness - Open,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg
4,12,12,12,Kathrine Maclaurin,"El Paso, TX",Women's Wellness - Open,2024-republic-of-texas-pro,"Austin,TXUnited States",2024-07-13,https://www.ifbbpro.com/competition/2024-republic-of-texas-pro/,https://www.ifbbpro.com/wp-content/uploads/2024/02/2024republicoftexasPRO_071324_resultsp2-800x982.jpg
