start_date,end_date,url,location,comp_type,divisions,division_type,promoter,promoter_website,eventName,name
22.06.2024,22.06.2024,https://www.ifbbpro.com/competition/2024-world-classic-pro-bikini/,"{'city': 'Chattanooga', 'state': 'TN', 'country': 'United States'}",IFBB Pro,"[""Women's Bikini""]",Open,Sandy Williamson,https://npcjrnats.com/,2024 World Classic Pro Bikini,World Classic Pro Bikini
22.06.2024,22.06.2024,https://www.ifbbpro.com/competition/2024-tanji-johnson-classic/,"{'city': 'Tacoma', 'state': 'WA', 'country': 'United States'}",IFBB Pro,"[""Women's Wellness""]",Open and Masters,Tanji Johnson,https://tjclassic.com/,2024 Tanji Johnson Classic,Tanji Johnson Classic
22.06.2024,22.06.2024,https://www.ifbbpro.com/competition/2024-body-be-1-classic/,"{'city': 'Montgomery', 'state': 'AL', 'country': 'United States'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Figure"", ""Women's Fitness""]",Open and Masters,Roland Huff (BodyBe1),https://www.bodybe1classic.com/,2024 Body Be 1 Classic,Body Be 1 Classic
22.06.2024,22.06.2024,https://www.ifbbpro.com/competition/2024-south-florida-pro/,"{'city': 'Boca Raton', 'state': 'FL', 'country': 'United States'}",IFBB Pro,"[""Men's 212 Bodybuilding""]",Open and Masters,John Hnatyschak,https://chzldclassic.com/,2024 South Florida Pro,South Florida Pro
15.06.2024,16.06.2024,https://www.ifbbpro.com/competition/2024-spain-empro-classic/,"{'city': 'Alicante', 'state': '', 'country': 'Spain'}",IFBB Pro,"[""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Bodybuilding"", ""Women's Figure"", ""Women's Physique"", ""Women's Wellness""]",Open,Emilio Martinez (Empro),https://emproclassic.com/,2024 Spain Empro Classic,Spain Empro Classic
15.06.2024,15.06.2024,https://www.ifbbpro.com/competition/2024-southern-california-pro/,"{'city': 'San Diego', 'state': 'CA', 'country': 'United States'}",IFBB Pro,"[""Women's Wellness""]",Open,Tamer El Guindy (USA),https://musclecontest.com/,2024 Southern California Pro,Southern California Pro
08.06.2024,09.06.2024,https://www.ifbbpro.com/competition/2024-toronto-pro-supershow/,"{'city': 'Toronto', 'state': '', 'country': 'Canada'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Men's Wheelchair"", ""Women's Bikini"", ""Women's Bodybuilding"", ""Women's Figure"", ""Women's Physique"", ""Women's Wellness""]",Open and Masters,Ron Hache,http://www.TorontoProSupershow.com,2024 Toronto Pro Supershow,Toronto Pro Supershow
08.06.2024,08.06.2024,https://www.ifbbpro.com/competition/2024-adela-garcia-pro-am/,"{'city': 'Bastrop', 'state': 'TX', 'country': 'United States'}",IFBB Pro,"[""Women's Fitness""]",Open,Adela Garcia,https://npcadelagarcia.com/,2024 Adela Garcia Pro Am,Adela Garcia Pro Am
08.06.2024,08.06.2024,https://www.ifbbpro.com/competition/2024-omaha-pro/,"{'city': 'Omaha', 'state': 'NE', 'country': 'United States'}",IFBB Pro,"[""Women's Physique""]",Open,Jack Titone,http://www.npcmidwest.com,2024 Omaha Pro,Omaha Pro
08.06.2024,08.06.2024,https://www.ifbbpro.com/competition/2024-dc-pro/,"{'city': 'Alexandria', 'state': 'VA', 'country': 'United States'}",IFBB Pro,"[""Men's Physique"", ""Women's Bikini""]",Open,,,2024 Dc Pro,Dc Pro
08.06.2024,08.06.2024,https://www.ifbbpro.com/competition/2024-oklahoma-pro/,"{'city': 'Tulsa', 'state': 'OK', 'country': 'United States'}",IFBB Pro,"[""Men's Classic Physique""]",Open and Masters,Eileen Calabrese,https://npcoklahoma.com/,2024 Oklahoma Pro,Oklahoma Pro
