start_date,end_date,url,location,comp_type,divisions,division_type,promoter,promoter_website,eventName,name
20.12.2024,22.12.2024,https://www.ifbbpro.com/competition/2024-taiwan-pro-finale/,"{'city': 'Kaohsiung', 'state': '', 'country': 'Taiwan'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini""]",Open,John Chen,https://www.ifbbpro.com.tw/,2024 Taiwan Pro Finale,Taiwan Pro Finale
20.12.2024,22.12.2024,https://www.ifbbpro.com/competition/2024-sheru-classic-mumbai-pro-show/,"{'city': 'Mumbai', 'state': '', 'country': 'India'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Men's Wheelchair"", ""Women's Bikini""]",Open,Sheru Aangrish (Mumbai),http://www.sheruclassic.com/,2024 Sheru Classic Mumbai Pro Show,Sheru Classic Mumbai Pro Show
14.12.2024,14.12.2024,https://www.ifbbpro.com/competition/2024-huanji-china-pro-2/,"{'city': 'Beijing', 'state': '', 'country': 'China'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini""]",Open,Kate Zou,https://pro.olympiacertificate.com/,2024 Huanji China Pro 2,Huanji China Pro 2
14.12.2024,15.12.2024,https://www.ifbbpro.com/competition/2024-ronnie-coleman-sur-pro-cup/,"{'city': 'Cuidad del Este', 'state': '', 'country': 'Paraguay'}",IFBB Pro,"[""Men's Physique"", ""Women's Bikini""]",Open,Fernando Loreiro (Sudamerica),https://www.npcsudamerica.com/,2024 Ronnie Coleman Sur Pro Cup,Ronnie Coleman Sur Pro Cup
14.12.2024,14.12.2024,https://www.ifbbpro.com/competition/2024-musclecontest-austria/,"{'city': 'Schwechat', 'state': '', 'country': 'Austria'}",IFBB Pro,"[""Men's Classic Physique""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com,2024 Musclecontest Austria,Musclecontest Austria
07.12.2024,07.12.2024,https://www.ifbbpro.com/competition/2024-musclecontest-nacional/,"{'city': 'Campinas', 'state': '', 'country': 'Brazil'}",IFBB Pro,"[""Women's Wellness""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com,2024 Musclecontest Nacional,Musclecontest Nacional
07.12.2024,07.12.2024,https://www.ifbbpro.com/competition/2024-battle-of-the-bay/,"{'city': 'Union City', 'state': 'CA', 'country': 'United States'}",IFBB Pro,"[""Women's Bikini""]",Open and Masters,Spectrum Fitness Productions,https://www.spectrumfitnessproductions.com/,2024 Battle Of The Bay,Battle Of The Bay
30.11.2024,30.11.2024,https://www.ifbbpro.com/competition/2024-luciano-cruz-juiz-de-fora-pro/,"{'city': 'Juiz de Fora', 'state': '', 'country': 'Brazil'}",IFBB Pro,"[""Women's Physique""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com,2024 Luciano Cruz Juiz De Fora Pro,Luciano Cruz Juiz De Fora Pro
30.11.2024,01.12.2024,https://www.ifbbpro.com/competition/2024-bigman-weekend-spain-pro/,"{'city': 'Alicante', 'state': '', 'country': 'Spain'}",IFBB Pro,"[""Men's Bodybuilding"", ""Women's Bikini""]",Open,Juan Carlos Beltran | Emilio Martinez,https://bigmanweekend.com/,2024 Bigman Weekend Spain Pro,Bigman Weekend Spain Pro
24.11.2024,24.11.2024,https://www.ifbbpro.com/competition/2024-japan-pro/,"{'city': 'Tokyo', 'state': '', 'country': 'Japan'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Physique"", ""Women's Bikini""]",Open,Takayuki Shoji (PRO),https://www.ifbbpro-japan.com/,2024 Japan Pro,Japan Pro
24.11.2024,24.11.2024,https://www.ifbbpro.com/competition/2024-spanish-grand-prix-pro/,"{'city': 'Madrid', 'state': '', 'country': 'Spain'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Wellness""]",Open,Gabriel Opare,https://npcworldwidespain.es/,2024 Spanish Grand Prix Pro,Spanish Grand Prix Pro
23.11.2024,23.11.2024,https://www.ifbbpro.com/competition/2024-kc-pro/,"{'city': 'Kansas City', 'state': 'MO', 'country': 'United States'}",IFBB Pro,"[""Women's Bikini""]",Open,Jack Titone,http://www.npcmidwest.com,2024 Kc Pro,Kc Pro
23.11.2024,23.11.2024,https://www.ifbbpro.com/competition/2024-international-denmark/,"{'city': 'Odense', 'state': '', 'country': 'Denmark'}",IFBB Pro,"[""Women's Bikini""]",Open,2 Bros Pros,https://www.2bpevents.com/,2024 International Denmark,International Denmark
18.11.2024,18.11.2024,https://www.ifbbpro.com/competition/2024-dragon-physique-china-dms-pro-2/,"{'city': 'Changsha', 'state': '', 'country': 'China'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique""]",Open,Sara Lan,https://www.dms-sports.com/en/,2024 Dragon Physique China Dms Pro 2,Dragon Physique China Dms Pro 2
16.11.2024,16.11.2024,https://www.ifbbpro.com/competition/2024-shawn-rays-hawaiian-classic-pro-am/,"{'city': 'Honolulu', 'state': 'HI', 'country': 'United States'}",IFBB Pro,"[""Men's Physique"", ""Women's Bikini""]",Open,Shawn Ray,https://www.srhawaiianclassic.com/,2024 Shawn Rays Hawaiian Classic Pro Am,Shawn Rays Hawaiian Classic Pro Am
16.11.2024,17.11.2024,https://www.ifbbpro.com/competition/2024-atlantic-coast-pro/,"{'city': 'Fort Lauderdale', 'state': 'FL', 'country': 'United States'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Figure"", ""Women's Physique""]",Open and Masters,Tim Gardner,http://www.timgardnerproductions.com,2024 Atlantic Coast Pro,Atlantic Coast Pro
16.11.2024,17.11.2024,https://www.ifbbpro.com/competition/2024-evls-prague-pro/,"{'city': 'Prague', 'state': '', 'country': 'Czech Republic'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Figure"", ""Women's Wellness""]",Open,Adam Kindl,https://evls.cz/,2024 Evls Prague Pro,Evls Prague Pro
15.11.2024,16.11.2024,https://www.ifbbpro.com/competition/2024-ben-weider-naturals/,"{'city': 'Alexandria', 'state': 'VA', 'country': 'United States'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Figure"", ""Women's Fitness"", ""Women's Physique"", ""Women's Wellness""]",Open,Gary Udit & Ron Hache,https://garyudit.com/new/contest/ifbb-pro-league-npc-worldwide-ben-weider-naturals-pro-am/,2024 Ben Weider Naturals,Ben Weider Naturals
09.11.2024,10.11.2024,https://www.ifbbpro.com/competition/2024-romania-muscle-fest-pro/,"{'city': 'Bucharest', 'state': '', 'country': 'Romania'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Bodybuilding"", ""Women's Figure"", ""Women's Physique"", ""Women's Wellness""]",Open,Wings of Strength | Alina Popa,https://wingsofstrength.net/,2024 Romania Muscle Fest Pro,Romania Muscle Fest Pro
09.11.2024,09.11.2024,https://www.ifbbpro.com/competition/2024-iron-games-pro/,"{'city': 'San Diego', 'state': 'CA', 'country': 'United States'}",IFBB Pro,"[""Women's Bikini""]",Open,Tamer El Guindy (USA),https://musclecontest.com/,2024 Iron Games Pro,Iron Games Pro
09.11.2024,09.11.2024,https://www.ifbbpro.com/competition/2024-texas-state-pro/,"{'city': 'San Marcos', 'state': 'TX', 'country': 'United States'}",IFBB Pro,"[""Men's Classic Physique"", ""Women's Figure""]",Open and Masters,Bernadette Galvan,https://galvanizedproductions.com/,2024 Texas State Pro,Texas State Pro
08.11.2024,10.11.2024,https://www.ifbbpro.com/competition/2024-musclecontest-fit-pira/,"{'city': 'Piracicaba', 'state': '', 'country': 'Brazil'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com,2024 Musclecontest Fit Pira,Musclecontest Fit Pira
08.11.2024,10.11.2024,https://www.ifbbpro.com/competition/2024-colombia-pro/,"{'city': 'Bogota', 'state': '', 'country': 'Colombia'}",IFBB Pro,"[""Men's Classic Physique"", ""Women's Wellness""]",Open,Maz Ali,,2024 Colombia Pro,Colombia Pro
03.11.2024,03.11.2024,https://www.ifbbpro.com/competition/2024-everest-muscle-games/,"{'city': 'Warsaw', 'state': '', 'country': 'Poland'}",IFBB Pro,"[""Men's Classic Physique"", ""Women's Bikini""]",Open,Robert Piotrkowicz,https://ifbbpro.com.pl/,2024 Everest Muscle Games,Everest Muscle Games
02.11.2024,03.11.2024,https://www.ifbbpro.com/competition/2024-world-of-monsterzym-pro/,"{'city': 'Gwangmyeong', 'state': '', 'country': 'South Korea'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini""]",Open,Sungyeob Steve Kim,https://event.monsterzym.com/,2024 World Of Monsterzym Pro,World Of Monsterzym Pro
02.11.2024,02.11.2024,https://www.ifbbpro.com/competition/2024-invictus-pro/,"{'city': 'Almaty', 'state': '', 'country': 'Kazakhstan'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Figure""]",Open,Chris Minnes,https://centerpodium.com/,2024 Invictus Pro,Invictus Pro
02.11.2024,02.11.2024,https://www.ifbbpro.com/competition/2024-new-zealand-pro/,"{'city': 'Auckland', 'state': '', 'country': 'New Zealand'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique""]",Open,Moe Elmoussawi,https://nzifbb.co.nz/,2024 New Zealand Pro,New Zealand Pro
02.11.2024,02.11.2024,https://www.ifbbpro.com/competition/2024-musclecontest-vietnam/,"{'city': 'Ho Chi Minh City', 'state': '', 'country': 'Vietnam'}",IFBB Pro,"[""Women's Bikini""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com,2024 Musclecontest Vietnam,Musclecontest Vietnam
02.11.2024,02.11.2024,https://www.ifbbpro.com/competition/2024-klash-series-all-south-championships/,"{'city': 'Orlando', 'state': 'FL', 'country': 'United States'}",IFBB Pro,"[""Women's Physique""]",Open and Masters,Joe Pishkula,https://theklash.com/,2024 Klash Series All South Championships,Klash Series All South Championships
27.10.2024,27.10.2024,https://www.ifbbpro.com/competition/2024-nutriyummy-pro-cup/,"{'city': 'Alicante', 'state': '', 'country': 'Spain'}",IFBB Pro,"[""Men's Classic Physique"", ""Women's Bikini""]",Open,Emilio Martinez (NYPC),http://www.nutriyummyprocup.com,2024 Nutriyummy Pro Cup,Nutriyummy Pro Cup
26.10.2024,26.10.2024,https://www.ifbbpro.com/competition/2024-musclecontest-philippines/,"{'city': 'Manila', 'state': '', 'country': 'Philippines'}",IFBB Pro,"[""Men's Physique""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com,2024 Musclecontest Philippines,Musclecontest Philippines
26.10.2024,26.10.2024,https://www.ifbbpro.com/competition/2024-dennis-james-classic-germany/,"{'city': 'Frankfurt', 'state': '', 'country': 'Germany'}",IFBB Pro,"[""Men's Classic Physique""]",Open,Dennis James,https://www.ifbbproleaguegermany.de/,2024 Dennis James Classic Germany,Dennis James Classic Germany
26.10.2024,26.10.2024,https://www.ifbbpro.com/competition/2024-chattanooga-night-of-champions/,"{'city': 'Chattanooga', 'state': 'TN', 'country': 'United States'}",IFBB Pro,"[""Women's Fitness""]",Open and Masters,Allen Sizemore,https://npcifbbpronightofchampions.com/,2024 Chattanooga Night Of Champions,Chattanooga Night Of Champions
25.10.2024,25.10.2024,https://www.ifbbpro.com/competition/2024-moscow-showdown-pro-am/,"{'city': 'Moscow', 'state': '', 'country': 'Russia'}",IFBB Pro,"[""Women's Bikini""]",Open,Oksana Grishina,https://www.npcworldwiderussia.ru/,2024 Moscow Showdown Pro Am,Moscow Showdown Pro Am
19.10.2024,19.10.2024,https://www.ifbbpro.com/competition/2024-british-championships/,"{'city': 'Rotherham', 'state': '', 'country': 'United Kingdom'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique""]",Open,2 Bros Pros,https://www.2bpevents.com/,2024 British Championships,British Championships
19.10.2024,20.10.2024,https://www.ifbbpro.com/competition/2024-fitparade-pro/,"{'city': 'Budapest', 'state': '', 'country': 'Hungary'}",IFBB Pro,"[""Women's Bikini"", ""Women's Figure""]",,Ildiko Buranits (FitParade),https://www.fitparade.hu/en/home-page/,2024 Fitparade Pro,Fitparade Pro
19.10.2024,19.10.2024,https://www.ifbbpro.com/competition/2024-border-states-xlv-pro/,"{'city': 'San Diego', 'state': 'CA', 'country': 'United States'}",IFBB Pro,"[""Men's Physique""]",Open,Tamer El Guindy (USA),https://musclecontest.com/,2024 Border States Xlv Pro,Border States Xlv Pro
18.10.2024,20.10.2024,https://www.ifbbpro.com/competition/2024-musclecontest-brazil-2/,"{'city': 'Sao Paulo', 'state': '', 'country': 'Brazil'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Classic Physique"", ""Women's Bikini"", ""Women's Wellness""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com,2024 Musclecontest Brazil 2,Musclecontest Brazil 2
18.10.2024,19.10.2024,https://www.ifbbpro.com/competition/2024-hurricane-pro/,"{'city': 'St. Petersburg', 'state': 'FL', 'country': 'United States'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Figure""]",Open and Masters,Tim Gardner,http://www.timgardnerproductions.com,2024 Hurricane Pro,Hurricane Pro
10.10.2024,13.10.2024,https://www.ifbbpro.com/competition/2024-joe-weiders-olympia-fitness-performance-weekend/,"{'city': 'Las Vegas', 'state': 'NV', 'country': 'United States'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Men's Wheelchair"", ""Women's Bikini"", ""Women's Bodybuilding"", ""Women's Figure"", ""Women's Fitness"", ""Women's Physique"", ""Women's Wellness""]",Open,"OLYMPIA, LLC (Pro)",https://mrolympia.com/,2024 Joe Weiders Olympia Fitness Performance Weekend,Joe Weiders Olympia Fitness Performance Weekend
06.10.2024,06.10.2024,https://www.ifbbpro.com/competition/2024-koloseum-pro/,"{'city': 'Milan', 'state': '', 'country': 'Italy'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini""]",Open,Barbara Bagnuolo,https://ifbbproitaly.info/,2024 Koloseum Pro,Koloseum Pro
05.10.2024,05.10.2024,https://www.ifbbpro.com/competition/2024-musclecontest-fortaleza/,"{'city': 'Fortaleza', 'state': '', 'country': 'Brazil'}",IFBB Pro,"[""Men's Physique""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com,2024 Musclecontest Fortaleza,Musclecontest Fortaleza
05.10.2024,05.10.2024,https://www.ifbbpro.com/competition/2024-balkan-grand-prix-pro/,"{'city': 'Plovdiv', 'state': '', 'country': 'Bulgaria'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Women's Figure"", ""Women's Wellness""]",Open,Martin Rusanov,https://balkangrandprix.com/,2024 Balkan Grand Prix Pro,Balkan Grand Prix Pro
05.10.2024,05.10.2024,https://www.ifbbpro.com/competition/2024-southern-muscle-showdown/,"{'city': 'Dalton', 'state': 'GA', 'country': 'United States'}",IFBB Pro,"[""Men's Classic Physique"", ""Women's Bikini""]",Open and Masters,Steve Payne,https://southernmuscleshowdown.com/,2024 Southern Muscle Showdown,Southern Muscle Showdown
29.09.2024,29.09.2024,https://www.ifbbpro.com/competition/2024-agp-pro-all-stars/,"{'city': '', 'state': 'Gyeonggi', 'country': 'South Korea'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Figure""]",Open,,,2024 Agp Pro All Stars,Agp Pro All Stars
28.09.2024,28.09.2024,https://www.ifbbpro.com/competition/2024-legion-sports-fest-pro/,"{'city': 'Reno', 'state': 'NV', 'country': 'United States'}",IFBB Pro,"[""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Figure"", ""Women's Fitness"", ""Women's Physique""]",Open and Masters,Chris Minnes,https://centerpodium.com/,2024 Legion Sports Fest Pro,Legion Sports Fest Pro
28.09.2024,29.09.2024,https://www.ifbbpro.com/competition/2024-daytona-pro-am-championships/,"{'city': 'Daytona Beach', 'state': 'FL', 'country': 'United States'}",IFBB Pro,"[""Men's Physique"", ""Women's Bikini"", ""Women's Figure"", ""Women's Physique""]",Open and Masters,Michael Matassa,http://www.npcdbc.com/,2024 Daytona Pro Am Championships,Daytona Pro Am Championships
28.09.2024,28.09.2024,https://www.ifbbpro.com/competition/2024-tsunami-nutrition-showdown/,"{'city': 'Metz', 'state': '', 'country': 'France'}",IFBB Pro,"[""Men's Bodybuilding"", ""Men's Classic Physique"", ""Women's Bikini""]",Open,APDF France,https://www.apdffrance.com/,2024 Tsunami Nutrition Showdown,Tsunami Nutrition Showdown
28.09.2024,28.09.2024,https://www.ifbbpro.com/competition/2024-musclecontest-rio/,"{'city': 'Rio de Janeiro', 'state': '', 'country': 'Brazil'}",IFBB Pro,"[""Men's Physique""]",Open and Masters,Tamer El Guindy (International),http://www.musclecontestinternational.com,2024 Musclecontest Rio,Musclecontest Rio
28.09.2024,28.09.2024,https://www.ifbbpro.com/competition/2024-everest-muscle-fest/,"{'city': 'Warsaw', 'state': '', 'country': 'Poland'}",IFBB Pro,"[""Women's Figure""]",Open,Robert Piotrkowicz,https://ifbbpro.com.pl/,2024 Everest Muscle Fest,Everest Muscle Fest
21.09.2024,21.09.2024,https://www.ifbbpro.com/competition/2024-titans-grand-prix-pro/,"{'city': 'Anaheim', 'state': 'CA', 'country': 'United States'}",IFBB Pro,"[""Men's Classic Physique"", ""Women's Bodybuilding"", ""Women's Fitness""]",Open,Tamer El Guindy (USA),https://musclecontest.com/,2024 Titans Grand Prix Pro,Titans Grand Prix Pro
21.09.2024,21.09.2024,https://www.ifbbpro.com/competition/2024-sasquatch-pro-am/,"{'city': 'Federal Way', 'state': 'WA', 'country': 'United States'}",IFBB Pro,"[""Men's Physique"", ""Women's Bikini"", ""Women's Figure""]",Open and Masters,Michele Mayberry & Christopher Algeo,https://sasquatchproam.com/,2024 Sasquatch Pro Am,Sasquatch Pro Am
19.09.2024,22.09.2024,https://www.ifbbpro.com/competition/13199/,"{'city': 'Ixmir', 'state': '', 'country': 'Turkey'}",IFBB Pro,"[""Men's Physique""]",Open,Mo Barakat | Expo Sport Izmir,https://npcturkey.com/,13199,13199
14.09.2024,15.09.2024,https://www.ifbbpro.com/competition/2024-europa-pro/,"{'city': 'London', 'state': '', 'country': 'United Kingdom'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Men's Wheelchair"", ""Women's Bikini"", ""Women's Bodybuilding"", ""Women's Figure"", ""Women's Fitness"", ""Women's Physique"", ""Women's Wellness""]",Open,2 Bros Pros | Barbara Bagnuolo,https://www.2bpevents.com/,2024 Europa Pro,Europa Pro
14.09.2024,14.09.2024,https://www.ifbbpro.com/competition/2024-san-antonio-pro/,"{'city': 'San Antonio', 'state': 'TX', 'country': 'United States'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Figure""]",Open and Masters,Tim Gardner,http://www.timgardnerproductions.com,2024 San Antonio Pro,San Antonio Pro
14.09.2024,14.09.2024,https://www.ifbbpro.com/competition/2024-janet-layugs-battle-of-the-bodies/,"{'city': 'Fort Lauderdale', 'state': 'FL', 'country': 'United States'}",IFBB Pro,"[""Women's Bikini""]",Open and Masters,Janet Layug,https://www.janetsbattleofthebodies.com/,2024 Janet Layugs Battle Of The Bodies,Janet Layugs Battle Of The Bodies
08.09.2024,08.09.2024,https://www.ifbbpro.com/competition/2024-promuscle-italy-pro/,"{'city': 'Milan', 'state': '', 'country': 'Italy'}",IFBB Pro,"[""Men's Bodybuilding"", ""Men's Physique"", ""Women's Bikini""]",Open,Barbara Bagnuolo,https://ifbbproitaly.info/,2024 Promuscle Italy Pro,Promuscle Italy Pro
07.09.2024,07.09.2024,https://www.ifbbpro.com/competition/2024-heart-of-texas-pro/,"{'city': 'Frisco', 'state': 'TX', 'country': 'United States'}",IFBB Pro,"[""Women's Wellness""]",Open and Masters,Prince Harrison,https://optimumfitness.com/,2024 Heart Of Texas Pro,Heart Of Texas Pro
07.09.2024,07.09.2024,https://www.ifbbpro.com/competition/2024-florida-pro/,"{'city': 'Sarasota', 'state': 'FL', 'country': 'United States'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Figure""]",Open and Masters,Stacy Taylor,https://ifbbproleaguefloridapro.com/,2024 Florida Pro,Florida Pro
07.09.2024,07.09.2024,https://www.ifbbpro.com/competition/2024-everest-muscle-classic/,"{'city': 'Warsaw', 'state': '', 'country': 'Poland'}",IFBB Pro,"[""Men's Classic Physique""]",Open,Robert Piotrkowicz,https://ifbbpro.com.pl/,2024 Everest Muscle Classic,Everest Muscle Classic
04.09.2024,04.09.2024,https://www.ifbbpro.com/competition/2024-global-classic-hong-kong-pro-show/,"{'city': 'Hong Kong', 'state': '', 'country': 'China'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini""]",Open,Hugo Chan,,2024 Global Classic Hong Kong Pro Show,Global Classic Hong Kong Pro Show
01.09.2024,01.09.2024,https://www.ifbbpro.com/competition/2024-alina-popa-classic/,"{'city': 'Cluj', 'state': '', 'country': 'Romania'}",IFBB Pro,"[""Women's Bodybuilding""]",Open,Wings of Strength | Alina Popa,https://wingsofstrength.net/,2024 Alina Popa Classic,Alina Popa Classic
31.08.2024,01.09.2024,https://www.ifbbpro.com/competition/2024-pharlabs-mexico-grand-battle-pro-am/,"{'city': 'Monterrey', 'state': '', 'country': 'Mexico'}",IFBB Pro,"[""Men's Physique"", ""Women's Bikini""]",Open,M&M Promotions (MGB),https://mexicograndbattle.com/en/,2024 Pharlabs Mexico Grand Battle Pro Am,Pharlabs Mexico Grand Battle Pro Am
31.08.2024,31.08.2024,https://www.ifbbpro.com/competition/2024-musclecontest-goiania/,"{'city': 'Goiania', 'state': '', 'country': 'Brazil'}",IFBB Pro,"[""Men's Physique""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com,2024 Musclecontest Goiania,Musclecontest Goiania
31.08.2024,31.08.2024,https://www.ifbbpro.com/competition/2024-rgv-classic/,"{'city': 'McAllen', 'state': 'TX', 'country': 'United States'}",IFBB Pro,"[""Men's Classic Physique"", ""Women's Bikini"", ""Women's Wellness""]",Open,Bernadette Galvan,https://galvanizedproductions.com/,2024 Rgv Classic,Rgv Classic
25.08.2024,25.08.2024,https://www.ifbbpro.com/competition/2024-tokyo-pro-supershow/,"{'city': 'Tokyo', 'state': '', 'country': 'Japan'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini""]",Open,Takayuki Shoji (PRO),https://www.ifbbpro-japan.com/,2024 Tokyo Pro Supershow,Tokyo Pro Supershow
24.08.2024,24.08.2024,https://www.ifbbpro.com/competition/2024-rising-phoenix-arizona-pro/,"{'city': 'Phoenix', 'state': 'AZ', 'country': 'United States'}",IFBB Pro,"[""Women's Bikini"", ""Women's Bodybuilding"", ""Women's Figure"", ""Women's Fitness"", ""Women's Physique"", ""Women's Wellness""]",Open and Masters,Alex Sacasa,https://wingsofstrength.net/event_schedule/risingphx23/,2024 Rising Phoenix Arizona Pro,Rising Phoenix Arizona Pro
24.08.2024,24.08.2024,https://www.ifbbpro.com/competition/2024-musclecontest-belo-horizonte/,"{'city': 'Curitiba', 'state': '', 'country': 'Brazil'}",IFBB Pro,"[""Men's 212 Bodybuilding""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com,2024 Musclecontest Belo Horizonte,Musclecontest Belo Horizonte
24.08.2024,24.08.2024,https://www.ifbbpro.com/competition/2024-sin-city-showdown/,"{'city': 'Las Vegas', 'state': 'NV', 'country': 'United States'}",IFBB Pro,"[""Women's Wellness""]",Open,Tamer El Guindy (USA),https://musclecontest.com/,2024 Sin City Showdown,Sin City Showdown
24.08.2024,24.08.2024,https://www.ifbbpro.com/competition/2024-world-klash-championships/,"{'city': 'Charleston', 'state': 'SC', 'country': 'United States'}",IFBB Pro,"[""Women's Bikini""]",Open and Masters,Joe Pishkula,https://theklash.com/,2024 World Klash Championships,World Klash Championships
17.08.2024,17.08.2024,https://www.ifbbpro.com/competition/2024-musclecontest-muscleworld-pro/,"{'city': 'Campinas', 'state': '', 'country': 'Brazil'}",IFBB Pro,"[""Men's Classic Physique""]",Open,Tamer El Guindy (International),http://www.musclecontestinternational.com,2024 Musclecontest Muscleworld Pro,Musclecontest Muscleworld Pro
17.08.2024,17.08.2024,https://www.ifbbpro.com/competition/2024-nashville-fit-show/,"{'city': 'Nashville', 'state': 'TN', 'country': 'United States'}",IFBB Pro,"[""Women's Bikini""]",Open and Masters,Whitney Wiser-Savage,http://nashvillefitshow.com/,2024 Nashville Fit Show,Nashville Fit Show
16.08.2024,17.08.2024,https://www.ifbbpro.com/competition/2024-tupelo-pro/,"{'city': 'Tupelo', 'state': 'MS', 'country': 'United States'}",IFBB Pro,"[""Men's Classic Physique"", ""Women's Figure"", ""Women's Physique"", ""Women's Wellness""]",Open and Masters,Timmy & Judy Gaillard,https://www.totalbodygym.net/,2024 Tupelo Pro,Tupelo Pro
10.08.2024,10.08.2024,https://www.ifbbpro.com/competition/2024-pacific-usa-xxx-pro/,"{'city': 'San Diego', 'state': 'CA', 'country': 'United States'}",IFBB Pro,"[""Men's Physique""]",Open,Tamer El Guindy (USA),https://musclecontest.com/,2024 Pacific Usa Xxx Pro,Pacific Usa Xxx Pro
10.08.2024,10.08.2024,https://www.ifbbpro.com/competition/2024-dragon-physique-china-dms-pro/,"{'city': 'Ningjin', 'state': '', 'country': 'China'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique""]",Open,Sara Lan,https://www.dms-sports.com/en/,2024 Dragon Physique China Dms Pro,Dragon Physique China Dms Pro
10.08.2024,10.08.2024,https://www.ifbbpro.com/competition/2024-tahoe-show/,"{'city': 'Stateline', 'state': 'NV', 'country': 'United States'}",IFBB Pro,"[""Women's Bikini""]",Open and Masters,Chris Minnes,https://centerpodium.com/,2024 Tahoe Show,Tahoe Show
09.08.2024,10.08.2024,https://www.ifbbpro.com/competition/2024-texas-pro/,"{'city': 'Irving', 'state': 'TX', 'country': 'United States'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Figure"", ""Women's Physique"", ""Women's Wellness""]",Open,Freddy Naidu,https://battleupproductions.com/,2024 Texas Pro,Texas Pro
01.08.2024,03.08.2024,https://www.ifbbpro.com/competition/2024-tampa-pro/,"{'city': 'Tampa', 'state': 'FL', 'country': 'United States'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Bodybuilding"", ""Women's Figure"", ""Women's Fitness"", ""Women's Physique"", ""Women's Wellness""]",Open and Masters,Tim Gardner,http://www.timgardnerproductions.com,2024 Tampa Pro,Tampa Pro
