url,start_date,end_date,location,comp_type,divisions,division_type,promoter,promoter_website,year,eventName,name,name_key
https://www.ifbbpro.com/competition/2025-daytona-pro-am-championships/,27.09.2025,27.09.2025,"{'city': 'Daytona Beach', 'state': 'FL', 'country': 'United States'}",IFBB Pro,"[""Men's Physique"", ""Women's Bikini""]",Open and Masters,Michael Matassa,http://www.npcdbc.com/,2025,2025_daytona_pro_am_championships,daytona_pro_am_championships,daytona_pro_am
https://www.ifbbpro.com/competition/2025-dc-pro-am/,07.06.2025,07.06.2025,"{'city': 'Manassas', 'state': 'VA', 'country': 'United States'}",IFBB Pro,"[""Men's Physique"", ""Women's Bikini""]",Open,Gary Udit,https://www.garyudit.com/,2025,2025_dc_pro_am,dc_pro_am,dc_pro
https://www.ifbbpro.com/competition/2025-detroit-pro-am/,29.03.2025,29.03.2025,"{'city': 'Detroit', 'state': 'MI', 'country': 'United States'}",IFBB Pro,"[""Men's Bodybuilding"", ""Men's Classic Physique""]",Open,Fouad Abiad,https://hosstile.com/pages/detroit-pro,2025,2025_detroit_pro_am,detroit_pro_am,detroit_pro
https://www.ifbbpro.com/competition/2025-dms-china-pro-2/,15.06.2025,15.06.2025,"{'city': 'Ningjin', 'state': '', 'country': 'China'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique""]",Open,DMS China,https://www.dms-sports.com/en/,2025,2025_dms_china_pro_2,dms_china_pro_2,china_dms_pro
https://www.ifbbpro.com/competition/2025-dms-china-pro-3/,11.05.2025,11.05.2025,"{'city': 'Jiangyin', 'state': '', 'country': 'China'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique""]",Open,DMS China,https://www.dms-sports.com/en/,2025,2025_dms_china_pro_3,dms_china_pro_3,china_dms_pro
https://www.ifbbpro.com/competition/2025-dms-china-pro-4/,31.08.2025,31.08.2025,"{'city': 'Tianjin', 'state': '', 'country': 'China'}",IFBB Pro,"[""Men's Physique"", ""Women's Bikini""]",Open,DMS China,https://www.dms-sports.com/en/,2025,2025_dms_china_pro_4,dms_china_pro_4,china_dms_pro
https://www.ifbbpro.com/competition/2025-dms-china-pro-5/,16.11.2025,16.11.2025,"{'city': 'Changsha', 'state': '', 'country': 'China'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini""]",Open,DMS China,https://www.dms-sports.com/en/,2025,2025_dms_china_pro_5,dms_china_pro_5,china_dms_pro
https://www.ifbbpro.com/competition/2025-dms-china-pro/,30.03.2025,30.03.2025,"{'city': 'Shanghai', 'state': '', 'country': 'China'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini""]",Open,DMS China,https://www.dms-sports.com/en/,2025,2025_dms_china_pro,dms_china_pro,china_dms_pro
https://www.ifbbpro.com/competition/2025-dubai-pro/,20.06.2025,22.06.2025,"{'city': 'Dubai', 'state': '', 'country': 'United Arab Emirates'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique""]",Open,Mo Barakat & Adel Al Ali,,2025,2025_dubai_pro,dubai_pro,dubai_pro
https://www.ifbbpro.com/competition/2025-empro-classic-spain-pro/,15.06.2025,15.06.2025,"{'city': 'Alicante', 'state': '', 'country': 'Spain'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Men's Wheelchair"", ""Women's Bikini"", ""Women's Bodybuilding"", ""Women's Figure"", ""Women's Physique"", ""Women's Wellness""]",Open,Emilio Martinez,https://emproclassic.com/,2025,2025_empro_classic_spain_pro,empro_classic_spain_pro,spain_empro_classic
https://www.ifbbpro.com/competition/2025-everest-muscle-games-poland-pro/,25.05.2025,25.05.2025,"{'city': 'Warsaw', 'state': '', 'country': 'Poland'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Wellness""]",Open,Robert Piotrkowicz,https://ifbbpro.com.pl/,2025,2025_everest_muscle_games_poland_pro,everest_muscle_games_poland_pro,everest_muscle_games
https://www.ifbbpro.com/competition/2025-everest-muscle-stars-poland-pro/,01.11.2025,02.11.2025,"{'city': 'Warsaw', 'state': '', 'country': 'Poland'}",IFBB Pro,"[""Men's Bodybuilding""]",Open,Robert Piotrkowicz,https://ifbbpro.com.pl/,2025,2025_everest_muscle_stars_poland_pro,everest_muscle_stars_poland_pro,everest_muscle_stars
https://www.ifbbpro.com/competition/2025-evls-prague-pro/,26.10.2025,26.10.2025,"{'city': 'Prague', 'state': '', 'country': 'Czech Republic'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Figure"", ""Women's Wellness""]",Open,Adam Kindl,https://evls.cz/,2025,2025_evls_prague_pro,evls_prague_pro,evls_prague_pro
https://www.ifbbpro.com/competition/2025-fibo-pro-championships/,12.04.2025,12.04.2025,"{'city': 'Cologne', 'state': '', 'country': 'Germany'}",IFBB Pro,"[""Men's Bodybuilding"", ""Men's Classic Physique"", ""Women's Bikini"", ""Women's Figure""]",Open,Jens Thieme & Michael Kohler,,2025,2025_fibo_pro_championships,fibo_pro_championships,fibo_pro
https://www.ifbbpro.com/competition/2025-fitworld/,22.03.2025,22.03.2025,"{'city': 'Anaheim', 'state': 'CA', 'country': 'United States'}",IFBB Pro,"[""Men's Classic Physique""]",Open,Tamer El Guindy,https://musclecontest.com/,2025,2025_fitworld,fitworld,musclecontest_fitworld
https://www.ifbbpro.com/competition/2025-flex-weekend-italy-pro/,29.06.2025,29.06.2025,"{'city': 'Milan', 'state': '', 'country': 'Italy'}",IFBB Pro,"[""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique""]",Open and Masters,Barbara Bagnuolo,https://ifbbproitaly.info/,2025,2025_flex_weekend_italy_pro,flex_weekend_italy_pro,italy_flex_weekend
https://www.ifbbpro.com/competition/2025-florida-pro/,05.09.2025,06.09.2025,"{'city': 'Sarasota', 'state': 'FL', 'country': 'United States'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Figure""]",Open and Masters,Stacy Taylor,https://ifbbproleaguefloridapro.com/,2025,2025_florida_pro,florida_pro,florida_pro
https://www.ifbbpro.com/competition/2025-grl-pwr-championships/,26.04.2025,26.04.2025,"{'city': 'Orlando', 'state': 'FL', 'country': 'United States'}",IFBB Pro,"[""Women's Bikini"", ""Women's Wellness""]",Open and Masters,Shannon Dey,,2025,2025_grl_pwr_championships,grl_pwr_championships,grl_pwr_championships
https://www.ifbbpro.com/competition/2025-huanji-china-pro-2/,22.06.2025,22.06.2025,"{'city': 'Beijing', 'state': '', 'country': 'China'}",IFBB Pro,"[""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Figure""]",Open,George Zhang,https://www.instagram.com/ifbb_huanji_china_pro/,2025,2025_huanji_china_pro_2,huanji_china_pro_2,huanji_china_pro
https://www.ifbbpro.com/competition/2025-huanji-china-pro-3/,21.09.2025,21.09.2025,"{'city': ""Xi'an"", 'state': '', 'country': 'China'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini""]",Open,George Zhang,https://www.instagram.com/ifbb_huanji_china_pro/,2025,2025_huanji_china_pro_3,huanji_china_pro_3,huanji_china_pro
https://www.ifbbpro.com/competition/2025-huanji-china-pro-4/,14.12.2025,14.12.2025,"{'city': 'Beijing', 'state': '', 'country': 'China'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Physique"", ""Women's Wellness""]",Open,George Zhang,https://www.instagram.com/ifbb_huanji_china_pro/,2025,2025_huanji_china_pro_4,huanji_china_pro_4,huanji_china_pro
https://www.ifbbpro.com/competition/2025-huanji-china-pro/,20.04.2025,20.04.2025,"{'city': 'Shanghai', 'state': '', 'country': 'China'}",IFBB Pro,"[""Men's Physique"", ""Women's Bikini""]",Open,George Zhang,https://www.instagram.com/ifbb_huanji_china_pro/,2025,2025_huanji_china_pro,huanji_china_pro,huanji_china_pro
https://www.ifbbpro.com/competition/2025-indy-supershow/,28.06.2025,28.06.2025,"{'city': 'Carmel', 'state': 'IN', 'country': 'United States'}",IFBB Pro,"[""Men's Classic Physique"", ""Women's Bikini""]",Open and Masters,Gary Udit,https://www.garyudit.com/,2025,2025_indy_supershow,indy_supershow,indy_pro
https://www.ifbbpro.com/competition/2025-invictus-pro/,01.11.2025,01.11.2025,"{'city': 'Almaty', 'state': '', 'country': 'Kazakhstan'}",IFBB Pro,"[""Men's Classic Physique"", ""Women's Bikini"", ""Women's Wellness""]",Open,Chris Minnes,https://centerpodium.com/,2025,2025_invictus_pro,invictus_pro,invictus_pro
https://www.ifbbpro.com/competition/2025-janet-layugs-battle-of-the-bodies-pro/,13.09.2025,13.09.2025,"{'city': 'Fort Lauderdale', 'state': 'FL', 'country': 'United States'}",IFBB Pro,"[""Women's Bikini""]",,Janet Layug,https://www.janetsbattleofthebodies.com/,2025,2025_janet_layugs_battle_of_the_bodies_pro,janet_layugs_battle_of_the_bodies_pro,janet_layugs_battle_of_the_bodies
https://www.ifbbpro.com/competition/2025-japan-pro/,24.11.2025,24.11.2025,"{'city': 'Tokyo', 'state': '', 'country': 'Japan'}",IFBB Pro,"[""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Wellness""]",Open,Takayuki Shoji,https://www.ifbbpro-japan.com/,2025,2025_japan_pro,japan_pro,japan_pro
https://www.ifbbpro.com/competition/2025-kokeny-classic-hungary-pro/,10.05.2025,10.05.2025,"{'city': 'Budapest', 'state': '', 'country': 'Hungary'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Classic Physique"", ""Women's Bikini""]",Open,Ildiko Buranits,https://www.ifbbproleaguehungary.hu/,2025,2025_kokeny_classic_hungary_pro,kokeny_classic_hungary_pro,hungary_pro
https://www.ifbbpro.com/competition/2025-koloseum-italy-pro/,05.10.2025,05.10.2025,"{'city': 'Milan', 'state': '', 'country': 'Italy'}",IFBB Pro,"[""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini""]",Open,Barbara Bagnuolo,https://ifbbproitaly.info/,2025,2025_koloseum_italy_pro,koloseum_italy_pro,koloseum_pro
https://www.ifbbpro.com/competition/2025-legion-sports-fest/,31.05.2025,31.05.2025,"{'city': 'Reno', 'state': 'NV', 'country': 'United States'}",IFBB Pro,"[""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Fitness"", ""Women's Wellness""]",Open,Chris Minnes,https://centerpodium.com/,2025,2025_legion_sports_fest,legion_sports_fest,legion_sports_fest
https://www.ifbbpro.com/competition/2025-los-angles-grand-prix/,26.04.2025,26.04.2025,"{'city': 'Anaheim', 'state': 'CA', 'country': 'United States'}",IFBB Pro,"[""Men's Physique""]",Open,Tamer El Guindy,https://musclecontest.com/,2025,2025_los_angles_grand_prix,los_angles_grand_prix,los_angeles_grand_prix
https://www.ifbbpro.com/competition/2025-miami-pro/,24.05.2025,24.05.2025,"{'city': 'Miami', 'state': 'FL', 'country': 'United States'}",IFBB Pro,"[""Men's Physique"", ""Women's Bikini"", ""Women's Wellness""]",Open and Masters,Geobanny Paula,https://miamifitexpo.com/,2025,2025_miami_pro,miami_pro,miami_pro
https://www.ifbbpro.com/competition/2025-mile-high-pro/,07.06.2025,07.06.2025,"{'city': 'Denver', 'state': 'CO', 'country': 'United States'}",IFBB Pro,"[""Men's Physique"", ""Women's Bikini""]",Open and Masters,Jeff Taylor,https://musclequest.com/,2025,2025_mile_high_pro,mile_high_pro,mile_high_pro
https://www.ifbbpro.com/competition/2025-mr-big-evolution-portugal-pro/,06.07.2025,06.07.2025,"{'city': 'Estoril', 'state': '', 'country': 'Portugal'}",IFBB Pro,"[""Men's 212 Bodybuilding"", ""Men's Bodybuilding"", ""Men's Classic Physique"", ""Men's Physique"", ""Women's Bikini"", ""Women's Bodybuilding"", ""Women's Figure"", ""Women's Physique"", ""Women's Wellness""]",Open,Mr. Big Evolution,https://www.ifbbpro-portugal.pt/,2025,2025_mr_big_evolution_portugal_pro,mr_big_evolution_portugal_pro,mr_big_evolution_pro
